Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:30.342000,,0 days 00:00:18.652000,0 days 00:00:36.822000,MEDIUM,1.0,,
VER,0 days 00:01:24.831000,0 days 00:00:29.719000,0 days 00:00:18.536000,0 days 00:00:36.576000,MEDIUM,2.0,,
VER,0 days 00:01:46.175000,0 days 00:00:29.540000,0 days 00:00:27.197000,0 days 00:00:49.438000,MEDIUM,3.0,,
VER,0 days 00:02:14.272000,0 days 00:00:40.308000,0 days 00:00:30.646000,0 days 00:01:03.318000,MEDIUM,4.0,,
VER,0 days 00:02:13.529000,0 days 00:00:44.387000,0 days 00:00:30.247000,0 days 00:00:58.895000,MEDIUM,5.0,,
VER,0 days 00:02:24.064000,0 days 00:00:44.760000,0 days 00:00:31.637000,0 days 00:01:07.667000,MEDIUM,6.0,,
VER,0 days 00:01:24.167000,0 days 00:00:29.265000,0 days 00:00:18.606000,0 days 00:00:36.296000,MEDIUM,7.0,,
VER,0 days 00:01:23.966000,0 days 00:00:29.356000,0 days 00:00:18.449000,0 days 00:00:36.161000,MEDIUM,8.0,,
VER,0 days 00:01:23.780000,0 days 00:00:29.161000,0 days 00:00:18.447000,0 days 00:00:36.172000,MEDIUM,9.0,,
VER,0 days 00:01:23.754000,0 days 00:00:29.252000,0 days 00:00:18.483000,0 days 00:00:36.019000,MEDIUM,10.0,,
VER,0 days 00:01:24.634000,0 days 00:00:29.144000,0 days 00:00:18.337000,0 days 00:00:37.153000,MEDIUM,11.0,,
VER,0 days 00:01:24.554000,0 days 00:00:29.347000,0 days 00:00:18.431000,0 days 00:00:36.776000,MEDIUM,12.0,,
VER,0 days 00:01:24.658000,0 days 00:00:29.370000,0 days 00:00:18.524000,0 days 00:00:36.764000,MEDIUM,13.0,,
VER,0 days 00:01:24.525000,0 days 00:00:29.339000,0 days 00:00:18.561000,0 days 00:00:36.625000,MEDIUM,14.0,,
VER,0 days 00:01:24.556000,0 days 00:00:29.267000,0 days 00:00:18.549000,0 days 00:00:36.740000,MEDIUM,15.0,,
VER,0 days 00:01:24.572000,0 days 00:00:29.241000,0 days 00:00:18.610000,0 days 00:00:36.721000,MEDIUM,16.0,,
VER,0 days 00:01:24.508000,0 days 00:00:29.283000,0 days 00:00:18.576000,0 days 00:00:36.649000,MEDIUM,17.0,,
VER,0 days 00:01:39.466000,0 days 00:00:29.368000,0 days 00:00:18.600000,0 days 00:00:51.498000,MEDIUM,18.0,,0 days 01:30:37.751000
VER,0 days 00:01:29.085000,0 days 00:00:34.759000,0 days 00:00:18.542000,0 days 00:00:35.784000,HARD,1.0,0 days 01:30:56.023000,
VER,0 days 00:01:23.217000,0 days 00:00:28.832000,0 days 00:00:18.376000,0 days 00:00:36.009000,HARD,2.0,,
VER,0 days 00:01:23.129000,0 days 00:00:28.886000,0 days 00:00:18.348000,0 days 00:00:35.895000,HARD,3.0,,
VER,0 days 00:01:22.533000,0 days 00:00:28.436000,0 days 00:00:18.391000,0 days 00:00:35.706000,HARD,4.0,,
VER,0 days 00:01:29.765000,0 days 00:00:28.838000,0 days 00:00:18.343000,0 days 00:00:42.584000,HARD,5.0,,
VER,,0 days 00:00:54.111000,0 days 00:00:38.383000,0 days 00:00:58.957000,HARD,6.0,,
VER,0 days 00:02:29.037000,0 days 00:00:55.401000,0 days 00:00:35.310000,0 days 00:00:58.326000,HARD,7.0,,
VER,,0 days 00:00:55.223000,0 days 00:00:31.182000,0 days 00:01:12.658000,HARD,8.0,,
VER,0 days 00:01:26.331000,0 days 00:00:31.242000,0 days 00:00:18.616000,0 days 00:00:36.473000,HARD,9.0,,
VER,0 days 00:01:24.187000,0 days 00:00:29.330000,0 days 00:00:18.426000,0 days 00:00:36.431000,HARD,10.0,,
VER,0 days 00:01:23.448000,0 days 00:00:29.181000,0 days 00:00:18.371000,0 days 00:00:35.896000,HARD,11.0,,
VER,0 days 00:01:23.125000,0 days 00:00:29.010000,0 days 00:00:18.366000,0 days 00:00:35.749000,HARD,12.0,,
VER,0 days 00:01:22.981000,0 days 00:00:28.803000,0 days 00:00:18.335000,0 days 00:00:35.843000,HARD,13.0,,
VER,0 days 00:01:22.657000,0 days 00:00:28.760000,0 days 00:00:18.280000,0 days 00:00:35.617000,HARD,14.0,,
VER,0 days 00:01:22.752000,0 days 00:00:28.769000,0 days 00:00:18.398000,0 days 00:00:35.585000,HARD,15.0,,
VER,0 days 00:01:22.460000,0 days 00:00:28.583000,0 days 00:00:18.342000,0 days 00:00:35.535000,HARD,16.0,,
VER,0 days 00:01:22.846000,0 days 00:00:28.673000,0 days 00:00:18.374000,0 days 00:00:35.799000,HARD,17.0,,
VER,0 days 00:01:22.335000,0 days 00:00:28.842000,0 days 00:00:18.274000,0 days 00:00:35.219000,HARD,18.0,,
VER,0 days 00:01:21.677000,0 days 00:00:28.416000,0 days 00:00:18.142000,0 days 00:00:35.119000,HARD,19.0,,
VER,0 days 00:01:23.306000,0 days 00:00:28.449000,0 days 00:00:18.331000,0 days 00:00:36.526000,HARD,20.0,,
VER,,,,,HARD,21.0,,
GAS,0 days 00:01:36.461000,,0 days 00:00:19.162000,0 days 00:00:38.737000,MEDIUM,1.0,,
GAS,0 days 00:01:26.622000,0 days 00:00:30.388000,0 days 00:00:18.886000,0 days 00:00:37.348000,MEDIUM,2.0,,
GAS,0 days 00:01:52.958000,0 days 00:00:30.371000,0 days 00:00:29.167000,0 days 00:00:53.420000,MEDIUM,3.0,,
GAS,0 days 00:02:13.647000,0 days 00:00:37.862000,0 days 00:00:29.621000,0 days 00:01:06.164000,MEDIUM,4.0,,
GAS,0 days 00:02:15.616000,0 days 00:00:42.483000,0 days 00:00:28.091000,0 days 00:01:05.042000,MEDIUM,5.0,,
GAS,0 days 00:02:11.756000,0 days 00:00:40.461000,0 days 00:00:31.439000,0 days 00:00:59.856000,MEDIUM,6.0,,
GAS,0 days 00:01:26.503000,0 days 00:00:30.085000,0 days 00:00:18.735000,0 days 00:00:37.683000,MEDIUM,7.0,,
GAS,0 days 00:01:26.125000,0 days 00:00:30.032000,0 days 00:00:18.702000,0 days 00:00:37.391000,MEDIUM,8.0,,
GAS,0 days 00:01:25.603000,0 days 00:00:29.961000,0 days 00:00:18.782000,0 days 00:00:36.860000,MEDIUM,9.0,,
GAS,0 days 00:01:25.297000,0 days 00:00:29.756000,0 days 00:00:18.691000,0 days 00:00:36.850000,MEDIUM,10.0,,
GAS,0 days 00:01:25.314000,0 days 00:00:29.628000,0 days 00:00:18.728000,0 days 00:00:36.958000,MEDIUM,11.0,,
GAS,0 days 00:01:25.377000,0 days 00:00:29.781000,0 days 00:00:18.728000,0 days 00:00:36.868000,MEDIUM,12.0,,
GAS,0 days 00:01:25.399000,0 days 00:00:29.717000,0 days 00:00:18.685000,0 days 00:00:36.997000,MEDIUM,13.0,,
GAS,0 days 00:01:25.773000,0 days 00:00:29.859000,0 days 00:00:18.776000,0 days 00:00:37.138000,MEDIUM,14.0,,
GAS,0 days 00:01:25.716000,0 days 00:00:29.881000,0 days 00:00:18.800000,0 days 00:00:37.035000,MEDIUM,15.0,,
GAS,0 days 00:01:25.813000,0 days 00:00:29.878000,0 days 00:00:18.804000,0 days 00:00:37.131000,MEDIUM,16.0,,
GAS,0 days 00:01:26.060000,0 days 00:00:29.964000,0 days 00:00:18.781000,0 days 00:00:37.315000,MEDIUM,17.0,,
GAS,0 days 00:01:25.194000,0 days 00:00:29.538000,0 days 00:00:18.791000,0 days 00:00:36.865000,MEDIUM,18.0,,
GAS,0 days 00:01:27.177000,0 days 00:00:30.958000,0 days 00:00:18.926000,0 days 00:00:37.293000,MEDIUM,19.0,,
GAS,0 days 00:01:25.790000,0 days 00:00:29.849000,0 days 00:00:18.750000,0 days 00:00:37.191000,MEDIUM,20.0,,
GAS,0 days 00:01:40.851000,0 days 00:00:29.837000,0 days 00:00:18.768000,0 days 00:00:52.246000,MEDIUM,21.0,,0 days 01:35:15.819000
GAS,0 days 00:01:30.210000,0 days 00:00:35.099000,0 days 00:00:18.851000,0 days 00:00:36.260000,HARD,1.0,0 days 01:35:34.728000,
GAS,0 days 00:01:50.785000,0 days 00:00:31.562000,0 days 00:00:29.376000,0 days 00:00:49.847000,HARD,2.0,,
GAS,0 days 00:01:59.812000,0 days 00:00:42.142000,0 days 00:00:21.915000,0 days 00:00:55.755000,HARD,3.0,,
GAS,,0 days 00:00:49.111000,0 days 00:00:36.847000,0 days 00:01:04.376000,HARD,4.0,,
GAS,0 days 00:02:23.987000,0 days 00:00:53.958000,0 days 00:00:27.429000,0 days 00:01:02.600000,HARD,5.0,,
GAS,0 days 00:01:26.977000,0 days 00:00:30.583000,0 days 00:00:18.872000,0 days 00:00:37.522000,HARD,6.0,,
GAS,0 days 00:01:26.828000,0 days 00:00:29.822000,0 days 00:00:18.532000,0 days 00:00:38.474000,HARD,7.0,,
