Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:02:13.396000,1.0
VER,1.0,MEDIUM,0 days 01:03:43.963000,2.0
VER,1.0,MEDIUM,0 days 01:05:08.794000,3.0
VER,1.0,MEDIUM,0 days 01:06:54.969000,4.0
VER,1.0,MEDIUM,0 days 01:09:09.241000,5.0
VER,1.0,MEDIUM,0 days 01:11:22.770000,6.0
VER,1.0,MEDIUM,0 days 01:13:46.834000,7.0
VER,1.0,MEDIUM,0 days 01:15:11.001000,8.0
VER,1.0,MEDIUM,0 days 01:16:34.967000,9.0
VER,1.0,MEDIUM,0 days 01:17:58.747000,10.0
VER,1.0,MEDIUM,0 days 01:19:22.501000,11.0
VER,1.0,MEDIUM,0 days 01:20:47.135000,12.0
VER,1.0,MEDIUM,0 days 01:22:11.689000,13.0
VER,1.0,MEDIUM,0 days 01:23:36.347000,14.0
VER,1.0,MEDIUM,0 days 01:25:00.872000,15.0
VER,1.0,MEDIUM,0 days 01:26:25.428000,16.0
VER,1.0,MEDIUM,0 days 01:27:50,17.0
VER,1.0,MEDIUM,0 days 01:29:14.508000,18.0
VER,2.0,HARD,0 days 01:30:53.974000,1.0
VER,2.0,HARD,0 days 01:32:23.059000,2.0
VER,2.0,HARD,0 days 01:33:46.276000,3.0
VER,2.0,HARD,0 days 01:35:09.405000,4.0
VER,2.0,HARD,0 days 01:36:31.938000,5.0
VER,2.0,HARD,0 days 01:38:01.703000,6.0
VER,2.0,HARD,0 days 01:40:33.220000,7.0
VER,2.0,HARD,0 days 01:43:02.257000,8.0
VER,2.0,HARD,0 days 01:45:41.313000,9.0
VER,2.0,HARD,0 days 01:47:07.644000,10.0
VER,2.0,HARD,0 days 01:48:31.831000,11.0
VER,2.0,HARD,0 days 01:49:55.279000,12.0
VER,2.0,HARD,0 days 01:51:18.404000,13.0
VER,2.0,HARD,0 days 01:52:41.385000,14.0
VER,2.0,HARD,0 days 01:54:04.042000,15.0
VER,2.0,HARD,0 days 01:55:26.794000,16.0
VER,2.0,HARD,0 days 01:56:49.254000,17.0
VER,2.0,HARD,0 days 01:58:12.100000,18.0
VER,2.0,HARD,0 days 01:59:34.435000,19.0
VER,2.0,HARD,0 days 02:00:56.112000,20.0
VER,2.0,HARD,0 days 02:02:19.418000,21.0
GAS,1.0,MEDIUM,0 days 01:02:13.396000,1.0
GAS,1.0,MEDIUM,0 days 01:03:50.082000,2.0
GAS,1.0,MEDIUM,0 days 01:05:16.704000,3.0
GAS,1.0,MEDIUM,0 days 01:07:09.662000,4.0
GAS,1.0,MEDIUM,0 days 01:09:23.309000,5.0
GAS,1.0,MEDIUM,0 days 01:11:38.925000,6.0
GAS,1.0,MEDIUM,0 days 01:13:50.681000,7.0
GAS,1.0,MEDIUM,0 days 01:15:17.184000,8.0
GAS,1.0,MEDIUM,0 days 01:16:43.309000,9.0
GAS,1.0,MEDIUM,0 days 01:18:08.912000,10.0
GAS,1.0,MEDIUM,0 days 01:19:34.209000,11.0
GAS,1.0,MEDIUM,0 days 01:20:59.523000,12.0
GAS,1.0,MEDIUM,0 days 01:22:24.900000,13.0
GAS,1.0,MEDIUM,0 days 01:23:50.299000,14.0
GAS,1.0,MEDIUM,0 days 01:25:16.072000,15.0
GAS,1.0,MEDIUM,0 days 01:26:41.788000,16.0
GAS,1.0,MEDIUM,0 days 01:28:07.601000,17.0
GAS,1.0,MEDIUM,0 days 01:29:33.661000,18.0
GAS,1.0,MEDIUM,0 days 01:30:58.855000,19.0
GAS,1.0,MEDIUM,0 days 01:32:26.032000,20.0
GAS,1.0,MEDIUM,0 days 01:33:51.822000,21.0
GAS,2.0,HARD,0 days 01:35:32.673000,1.0
GAS,2.0,HARD,0 days 01:37:02.883000,2.0
GAS,2.0,HARD,0 days 01:38:53.668000,3.0
GAS,2.0,HARD,0 days 01:40:53.480000,4.0
GAS,2.0,HARD,0 days 01:43:23.796000,5.0
GAS,2.0,HARD,0 days 01:45:47.783000,6.0
GAS,2.0,HARD,0 days 01:47:14.760000,7.0
GAS,2.0,HARD,0 days 01:48:41.588000,8.0
GAS,2.0,HARD,0 days 01:50:06.483000,9.0
GAS,2.0,HARD,0 days 01:51:31.030000,10.0
GAS,2.0,HARD,0 days 01:52:55.912000,11.0
GAS,2.0,HARD,0 days 01:54:20.277000,12.0
GAS,2.0,HARD,0 days 01:55:44.843000,13.0
GAS,2.0,HARD,0 days 01:57:09.239000,14.0
GAS,2.0,HARD,0 days 01:58:34.171000,15.0
GAS,2.0,HARD,0 days 01:59:58.980000,16.0
GAS,2.0,HARD,0 days 02:01:23.640000,17.0
GAS,2.0,HARD,0 days 02:02:48.129000,18.0
GAS,2.0,HARD,0 days 02:04:40.949000,19.0
GAS,2.0,HARD,0 days 02:06:09.787000,20.0
GAS,2.0,HARD,0 days 02:07:33.473000,21.0
GAS,2.0,HARD,0 days 02:08:57.529000,22.0
GAS,2.0,HARD,0 days 02:10:21.288000,23.0
GAS,2.0,HARD,0 days 02:11:45.496000,24.0
GAS,2.0,HARD,0 days 02:13:09.983000,25.0
GAS,2.0,HARD,0 days 02:14:33.803000,26.0
GAS,2.0,HARD,0 days 02:15:57.631000,27.0
GAS,2.0,HARD,0 days 02:17:21.030000,28.0
GAS,2.0,HARD,0 days 02:18:44.620000,29.0
GAS,2.0,HARD,0 days 02:20:08.382000,30.0
GAS,2.0,HARD,0 days 02:21:31.643000,31.0
GAS,2.0,HARD,0 days 02:22:54.374000,32.0
GAS,2.0,HARD,0 days 02:24:19.993000,33.0
GAS,2.0,HARD,0 days 02:25:43.524000,34.0
GAS,2.0,HARD,0 days 02:27:06.706000,35.0
GAS,2.0,HARD,0 days 02:28:29.737000,36.0
GAS,2.0,HARD,0 days 02:29:53.039000,37.0
PER,1.0,MEDIUM,0 days 01:02:13.396000,1.0
PER,1.0,MEDIUM,0 days 01:03:45.886000,2.0
PER,1.0,MEDIUM,0 days 01:05:11.176000,3.0
PER,1.0,MEDIUM,0 days 01:07:01.545000,4.0
PER,1.0,MEDIUM,0 days 01:09:13.972000,5.0
PER,1.0,MEDIUM,0 days 01:11:27.118000,6.0
PER,1.0,MEDIUM,0 days 01:13:47.821000,7.0
PER,1.0,MEDIUM,0 days 01:15:12.946000,8.0
PER,1.0,MEDIUM,0 days 01:16:37.636000,9.0
PER,1.0,MEDIUM,0 days 01:18:02.762000,10.0
PER,1.0,MEDIUM,0 days 01:19:27.056000,11.0
PER,1.0,MEDIUM,0 days 01:20:51.557000,12.0
PER,1.0,MEDIUM,0 days 01:22:16.017000,13.0
PER,1.0,MEDIUM,0 days 01:23:40.625000,14.0
PER,1.0,MEDIUM,0 days 01:25:05.186000,15.0
PER,1.0,MEDIUM,0 days 01:26:29.885000,16.0
PER,1.0,MEDIUM,0 days 01:27:54.798000,17.0
PER,1.0,MEDIUM,0 days 01:29:20.065000,18.0
PER,1.0,MEDIUM,0 days 01:30:45.029000,19.0
PER,1.0,MEDIUM,0 days 01:32:10.483000,20.0
PER,2.0,HARD,0 days 01:33:49.582000,1.0
PER,2.0,HARD,0 days 01:35:21.257000,2.0
PER,2.0,HARD,0 days 01:36:44.902000,3.0
PER,2.0,HARD,0 days 01:38:19.960000,4.0
PER,2.0,HARD,0 days 01:40:37.708000,5.0
PER,2.0,HARD,0 days 01:43:06.748000,6.0
PER,2.0,HARD,0 days 01:45:43.267000,7.0
PER,2.0,HARD,0 days 01:47:10.134000,8.0
PER,2.0,HARD,0 days 01:48:34.966000,9.0
PER,2.0,HARD,0 days 01:49:58.984000,10.0
PER,2.0,HARD,0 days 01:51:22.099000,11.0
PER,2.0,HARD,0 days 01:52:44.904000,12.0
PER,2.0,HARD,0 days 01:54:07.622000,13.0
PER,2.0,HARD,0 days 01:55:30.257000,14.0
PER,2.0,HARD,0 days 01:56:53.026000,15.0
PER,2.0,HARD,0 days 01:58:16.231000,16.0
PER,2.0,HARD,0 days 01:59:39.756000,17.0
PER,2.0,HARD,0 days 02:01:01.992000,18.0
PER,2.0,HARD,0 days 02:02:24.398000,19.0
PER,2.0,HARD,0 days 02:04:07.726000,20.0
PER,2.0,HARD,0 days 02:05:44.074000,21.0
PER,2.0,HARD,0 days 02:07:06.353000,22.0
PER,2.0,HARD,0 days 02:08:28.542000,23.0
PER,2.0,HARD,0 days 02:09:50.577000,24.0
PER,2.0,HARD,0 days 02:11:12.507000,25.0
PER,2.0,HARD,0 days 02:12:34.268000,26.0
PER,2.0,HARD,0 days 02:13:56.239000,27.0
PER,2.0,HARD,0 days 02:15:18.400000,28.0
PER,2.0,HARD,0 days 02:16:40.287000,29.0
PER,2.0,HARD,0 days 02:18:02.211000,30.0
PER,2.0,HARD,0 days 02:19:26.185000,31.0
PER,2.0,HARD,0 days 02:20:48.610000,32.0
PER,2.0,HARD,0 days 02:22:10.519000,33.0
PER,2.0,HARD,0 days 02:23:32.272000,34.0
PER,2.0,HARD,0 days 02:24:54.231000,35.0
PER,2.0,HARD,0 days 02:26:16.142000,36.0
PER,2.0,HARD,0 days 02:27:37.933000,37.0
PER,2.0,HARD,0 days 02:28:59.623000,38.0
ALO,1.0,HARD,0 days 01:02:13.396000,1.0
ALO,1.0,HARD,0 days 01:03:50.756000,2.0
ALO,1.0,HARD,0 days 01:05:17.815000,3.0
ALO,1.0,HARD,0 days 01:07:11.334000,4.0
ALO,1.0,HARD,0 days 01:09:23.930000,5.0
ALO,1.0,HARD,0 days 01:11:40.258000,6.0
ALO,1.0,HARD,0 days 01:13:51.165000,7.0
ALO,1.0,HARD,0 days 01:15:18.214000,8.0
ALO,1.0,HARD,0 days 01:16:44.157000,9.0
ALO,1.0,HARD,0 days 01:18:09.559000,10.0
ALO,1.0,HARD,0 days 01:19:34.805000,11.0
ALO,1.0,HARD,0 days 01:21:00.095000,12.0
ALO,1.0,HARD,0 days 01:22:25.340000,13.0
ALO,1.0,HARD,0 days 01:23:51.303000,14.0
ALO,1.0,HARD,0 days 01:25:16.900000,15.0
ALO,1.0,HARD,0 days 01:26:42.444000,16.0
ALO,1.0,HARD,0 days 01:28:07.991000,17.0
ALO,1.0,HARD,0 days 01:29:34.200000,18.0
ALO,1.0,HARD,0 days 01:30:59.265000,19.0
ALO,1.0,HARD,0 days 01:32:25.299000,20.0
ALO,1.0,HARD,0 days 01:33:50.091000,21.0
ALO,1.0,HARD,0 days 01:35:14.730000,22.0
ALO,1.0,HARD,0 days 01:36:39.356000,23.0
ALO,1.0,HARD,0 days 01:38:11.929000,24.0
ALO,1.0,HARD,0 days 01:40:37.030000,25.0
ALO,1.0,HARD,0 days 01:43:05.174000,26.0
ALO,1.0,HARD,0 days 01:45:42.324000,27.0
ALO,1.0,HARD,0 days 01:47:09.552000,28.0
ALO,1.0,HARD,0 days 01:48:34.425000,29.0
ALO,1.0,HARD,0 days 01:49:58.630000,30.0
ALO,1.0,HARD,0 days 01:51:24.057000,31.0
ALO,1.0,HARD,0 days 01:52:49.217000,32.0
ALO,1.0,HARD,0 days 01:54:13.348000,33.0
ALO,1.0,HARD,0 days 01:55:37.607000,34.0
ALO,1.0,HARD,0 days 01:57:01.812000,35.0
ALO,1.0,HARD,0 days 01:58:25.963000,36.0
ALO,1.0,HARD,0 days 01:59:50.129000,37.0
ALO,1.0,HARD,0 days 02:01:14.596000,38.0
ALO,1.0,HARD,0 days 02:02:38.896000,39.0
ALO,2.0,MEDIUM,0 days 02:04:41.303000,1.0
ALO,2.0,MEDIUM,0 days 02:06:12.260000,2.0
ALO,2.0,MEDIUM,0 days 02:07:36.031000,3.0
ALO,2.0,MEDIUM,0 days 02:08:59.649000,4.0
ALO,2.0,MEDIUM,0 days 02:10:23.530000,5.0
ALO,2.0,MEDIUM,0 days 02:11:47.060000,6.0
ALO,2.0,MEDIUM,0 days 02:13:11.206000,7.0
ALO,2.0,MEDIUM,0 days 02:14:35.040000,8.0
ALO,2.0,MEDIUM,0 days 02:15:58.851000,9.0
ALO,2.0,MEDIUM,0 days 02:17:22.542000,10.0
ALO,2.0,MEDIUM,0 days 02:18:47.160000,11.0
ALO,2.0,MEDIUM,0 days 02:20:12.110000,12.0
ALO,2.0,MEDIUM,0 days 02:21:37.438000,13.0
ALO,2.0,MEDIUM,0 days 02:23:04.388000,14.0
ALO,3.0,MEDIUM,0 days 02:24:45.251000,1.0
ALO,3.0,MEDIUM,0 days 02:26:18.140000,2.0
ALO,3.0,MEDIUM,0 days 02:27:39.462000,3.0
ALO,3.0,MEDIUM,0 days 02:29:09.829000,4.0
LEC,1.0,MEDIUM,0 days 01:02:13.396000,1.0
LEC,1.0,MEDIUM,0 days 01:03:43.316000,2.0
LEC,1.0,MEDIUM,0 days 01:05:08.062000,3.0
LEC,1.0,MEDIUM,0 days 01:06:51.407000,4.0
LEC,1.0,MEDIUM,0 days 01:09:06.509000,5.0
LEC,1.0,MEDIUM,0 days 01:11:21.445000,6.0
LEC,1.0,MEDIUM,0 days 01:13:46.398000,7.0
LEC,1.0,MEDIUM,0 days 01:15:10.355000,8.0
LEC,1.0,MEDIUM,0 days 01:16:33.944000,9.0
LEC,1.0,MEDIUM,0 days 01:17:57.334000,10.0
LEC,1.0,MEDIUM,0 days 01:19:20.694000,11.0
LEC,1.0,MEDIUM,0 days 01:20:44.050000,12.0
LEC,1.0,MEDIUM,0 days 01:22:07.375000,13.0
LEC,1.0,MEDIUM,0 days 01:23:30.960000,14.0
LEC,1.0,MEDIUM,0 days 01:24:54.865000,15.0
LEC,1.0,MEDIUM,0 days 01:26:18.440000,16.0
LEC,1.0,MEDIUM,0 days 01:27:42.155000,17.0
LEC,1.0,MEDIUM,0 days 01:29:06.199000,18.0
LEC,1.0,MEDIUM,0 days 01:30:30.082000,19.0
LEC,1.0,MEDIUM,0 days 01:31:54.143000,20.0
LEC,1.0,MEDIUM,0 days 01:33:18.241000,21.0
LEC,1.0,MEDIUM,0 days 01:34:42.271000,22.0
LEC,2.0,HARD,0 days 01:36:20.611000,1.0
LEC,2.0,HARD,0 days 01:37:54.759000,2.0
LEC,2.0,HARD,0 days 01:40:32.052000,3.0
LEC,2.0,HARD,0 days 01:43:01.227000,4.0
LEC,2.0,HARD,0 days 01:45:41.224000,5.0
LEC,2.0,HARD,0 days 01:47:06.421000,6.0
LEC,2.0,HARD,0 days 01:48:29.953000,7.0
LEC,2.0,HARD,0 days 01:49:52.810000,8.0
LEC,2.0,HARD,0 days 01:51:15.452000,9.0
LEC,2.0,HARD,0 days 01:52:37.902000,10.0
LEC,2.0,HARD,0 days 01:54:00.296000,11.0
LEC,2.0,HARD,0 days 01:55:22.319000,12.0
LEC,2.0,HARD,0 days 01:56:44.764000,13.0
LEC,2.0,HARD,0 days 01:58:06.888000,14.0
LEC,2.0,HARD,0 days 01:59:28.874000,15.0
LEC,2.0,HARD,0 days 02:00:50.869000,16.0
LEC,2.0,HARD,0 days 02:02:12.160000,17.0
LEC,2.0,HARD,0 days 02:03:49.293000,18.0
LEC,2.0,HARD,0 days 02:05:32.383000,19.0
LEC,2.0,HARD,0 days 02:06:54.344000,20.0
LEC,2.0,HARD,0 days 02:08:15.889000,21.0
LEC,2.0,HARD,0 days 02:09:37.448000,22.0
LEC,2.0,HARD,0 days 02:10:59.401000,23.0
LEC,2.0,HARD,0 days 02:12:20.828000,24.0
LEC,2.0,HARD,0 days 02:13:42.454000,25.0
LEC,2.0,HARD,0 days 02:15:04.182000,26.0
LEC,2.0,HARD,0 days 02:16:25.671000,27.0
LEC,2.0,HARD,0 days 02:17:46.637000,28.0
LEC,2.0,HARD,0 days 02:19:07.654000,29.0
LEC,2.0,HARD,0 days 02:20:29.158000,30.0
LEC,2.0,HARD,0 days 02:21:50.428000,31.0
LEC,2.0,HARD,0 days 02:23:11.987000,32.0
LEC,2.0,HARD,0 days 02:24:34.061000,33.0
LEC,2.0,HARD,0 days 02:25:56.188000,34.0
LEC,2.0,HARD,0 days 02:27:17.817000,35.0
LEC,2.0,HARD,0 days 02:28:39.917000,36.0
STR,1.0,HARD,0 days 01:02:13.396000,2.0
STR,1.0,HARD,0 days 01:03:54.856000,3.0
STR,1.0,HARD,0 days 01:05:23.790000,4.0
STR,2.0,MEDIUM,0 days 01:07:32.533000,3.0
STR,3.0,HARD,0 days 01:09:46.055000,1.0
STR,3.0,HARD,0 days 01:11:50.951000,2.0
STR,3.0,HARD,0 days 01:13:55.150000,3.0
STR,3.0,HARD,0 days 01:15:23.424000,4.0
STR,3.0,HARD,0 days 01:16:50.392000,5.0
STR,3.0,HARD,0 days 01:18:16.903000,6.0
STR,3.0,HARD,0 days 01:19:42.903000,7.0
STR,3.0,HARD,0 days 01:21:09.912000,8.0
STR,3.0,HARD,0 days 01:22:37.163000,9.0
STR,3.0,HARD,0 days 01:24:03.695000,10.0
STR,3.0,HARD,0 days 01:25:29.247000,11.0
STR,3.0,HARD,0 days 01:26:54.764000,12.0
STR,3.0,HARD,0 days 01:28:20.371000,13.0
STR,3.0,HARD,0 days 01:29:45.913000,14.0
STR,3.0,HARD,0 days 01:31:11.263000,15.0
STR,3.0,HARD,0 days 01:32:37.088000,16.0
STR,3.0,HARD,0 days 01:34:02.724000,17.0
STR,3.0,HARD,0 days 01:35:28.674000,18.0
STR,3.0,HARD,0 days 01:36:55.801000,19.0
STR,4.0,HARD,0 days 01:38:48.821000,5.0
STR,4.0,HARD,0 days 01:40:50.420000,6.0
