driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:05.852000,0 days 00:01:05.374000,0 days 00:01:04.984000
LEC,Ferrari,2.0,0 days 00:01:05.419000,0 days 00:01:05.287000,0 days 00:01:05.013000
SAI,Ferrari,3.0,0 days 00:01:05.660000,0 days 00:01:05.576000,0 days 00:01:05.066000
RUS,Mercedes,4.0,0 days 00:01:06.235000,0 days 00:01:05.697000,0 days 00:01:05.431000
OCO,Alpine,5.0,0 days 00:01:06.468000,0 days 00:01:05.993000,0 days 00:01:05.726000
MAG,Haas F1 Team,6.0,0 days 00:01:06.366000,0 days 00:01:05.894000,0 days 00:01:05.879000
MSC,Haas F1 Team,7.0,0 days 00:01:06.405000,0 days 00:01:06.151000,0 days 00:01:06.011000
ALO,Alpine,8.0,0 days 00:01:06.016000,0 days 00:01:06.082000,0 days 00:01:06.103000
HAM,Mercedes,9.0,0 days 00:01:06.079000,0 days 00:01:05.475000,0 days 00:01:13.151000
GAS,AlphaTauri,10.0,0 days 00:01:06.589000,0 days 00:01:06.160000,
ALB,Williams,11.0,0 days 00:01:06.516000,0 days 00:01:06.230000,
BOT,Alfa Romeo,12.0,0 days 00:01:06.442000,0 days 00:01:06.319000,
PER,Red Bull Racing,13.0,0 days 00:01:06.143000,0 days 00:01:06.458000,
TSU,AlphaTauri,14.0,0 days 00:01:06.463000,0 days 00:01:06.851000,
NOR,McLaren,15.0,0 days 00:01:06.330000,0 days 00:01:25.847000,
RIC,McLaren,16.0,0 days 00:01:06.613000,,
STR,Aston Martin,17.0,0 days 00:01:06.847000,,
ZHO,Alfa Romeo,18.0,0 days 00:01:06.901000,,
LAT,Williams,19.0,0 days 00:01:07.003000,,
VET,Aston Martin,20.0,0 days 00:01:07.083000,,
