driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
LEC,Ferrari,2.0,1.0,25.0,Finished,,
VER,Red Bull Racing,1.0,2.0,19.0,Finished,,
HAM,Mercedes,8.0,3.0,15.0,Finished,,
RUS,Mercedes,4.0,4.0,12.0,Finished,,
OCO,Alpine,6.0,5.0,10.0,Finished,,
MSC,Haas F1 Team,9.0,6.0,8.0,+1 Lap,,
NOR,McLaren,10.0,7.0,6.0,+1 Lap,,
MAG,Haas F1 Team,7.0,8.0,4.0,+1 Lap,,
RIC,McLaren,11.0,9.0,2.0,+1 Lap,,
ALO,Alpine,19.0,10.0,1.0,+1 Lap,,
BOT,Alfa Romeo,0.0,11.0,0.0,+1 Lap,,
ALB,Williams,15.0,12.0,0.0,+1 Lap,,
STR,Aston Martin,12.0,13.0,0.0,+1 Lap,,
ZHO,Alfa Romeo,13.0,14.0,0.0,+1 Lap,,
GAS,AlphaTauri,14.0,15.0,0.0,+1 Lap,,
TSU,AlphaTauri,16.0,16.0,0.0,+1 Lap,,
VET,Aston Martin,18.0,17.0,0.0,+1 Lap,,
SAI,Ferrari,3.0,18.0,0.0,Power Unit,,
LAT,Williams,17.0,19.0,0.0,Undertray,,
PER,Red Bull Racing,5.0,20.0,0.0,Collision damage,,
