Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:52.920000,,0 days 00:00:44.008000,0 days 00:00:25.574000,MEDIUM,1.0,,
VER,0 days 00:01:48.954000,0 days 00:00:39.324000,0 days 00:00:44.058000,0 days 00:00:25.572000,MEDIUM,2.0,,
VER,0 days 00:01:48.690000,0 days 00:00:39.084000,0 days 00:00:44.010000,0 days 00:00:25.596000,MEDIUM,3.0,,
VER,0 days 00:01:48.248000,0 days 00:00:38.711000,0 days 00:00:44.142000,0 days 00:00:25.395000,MEDIUM,4.0,,
VER,0 days 00:01:48.312000,0 days 00:00:38.829000,0 days 00:00:44.115000,0 days 00:00:25.368000,MEDIUM,5.0,,
VER,0 days 00:01:48.566000,0 days 00:00:38.928000,0 days 00:00:44.225000,0 days 00:00:25.413000,MEDIUM,6.0,,
VER,0 days 00:01:48.775000,0 days 00:00:39.029000,0 days 00:00:44.349000,0 days 00:00:25.397000,MEDIUM,7.0,,
VER,0 days 00:01:48.907000,0 days 00:00:39.152000,0 days 00:00:44.366000,0 days 00:00:25.389000,MEDIUM,8.0,,
VER,0 days 00:01:58.315000,0 days 00:00:39.177000,0 days 00:00:44.720000,0 days 00:00:34.418000,MEDIUM,9.0,,
VER,0 days 00:02:16.036000,0 days 00:00:51.620000,0 days 00:00:58.402000,0 days 00:00:26.014000,MEDIUM,10.0,,
VER,0 days 00:01:48.416000,0 days 00:00:38.952000,0 days 00:00:43.799000,0 days 00:00:25.665000,MEDIUM,11.0,,
VER,0 days 00:01:48.502000,0 days 00:00:38.981000,0 days 00:00:43.908000,0 days 00:00:25.613000,MEDIUM,12.0,,
VER,0 days 00:01:48.507000,0 days 00:00:38.822000,0 days 00:00:44.020000,0 days 00:00:25.665000,MEDIUM,13.0,,
VER,0 days 00:01:48.692000,0 days 00:00:38.991000,0 days 00:00:44.208000,0 days 00:00:25.493000,MEDIUM,14.0,,
VER,0 days 00:01:49.087000,0 days 00:00:38.994000,0 days 00:00:44.214000,0 days 00:00:25.879000,MEDIUM,15.0,,
VER,0 days 00:01:49.274000,0 days 00:00:39.022000,0 days 00:00:44.357000,0 days 00:00:25.895000,MEDIUM,16.0,,
VER,0 days 00:01:49.131000,0 days 00:00:39.050000,0 days 00:00:44.206000,0 days 00:00:25.875000,MEDIUM,17.0,,
VER,0 days 00:01:53.486000,0 days 00:00:39.097000,0 days 00:00:44.319000,0 days 00:00:30.070000,MEDIUM,18.0,,0 days 01:36:18.250000
VER,0 days 00:02:04.139000,0 days 00:00:55.372000,0 days 00:00:43.207000,0 days 00:00:25.560000,HARD,1.0,0 days 01:36:39.733000,
VER,0 days 00:01:46.898000,0 days 00:00:38.243000,0 days 00:00:43.088000,0 days 00:00:25.567000,HARD,2.0,,
VER,0 days 00:01:47.366000,0 days 00:00:38.365000,0 days 00:00:43.510000,0 days 00:00:25.491000,HARD,3.0,,
VER,0 days 00:01:48.153000,0 days 00:00:38.631000,0 days 00:00:43.883000,0 days 00:00:25.639000,HARD,4.0,,
VER,0 days 00:01:47.927000,0 days 00:00:38.567000,0 days 00:00:43.742000,0 days 00:00:25.618000,HARD,5.0,,
VER,0 days 00:01:47.886000,0 days 00:00:38.526000,0 days 00:00:43.733000,0 days 00:00:25.627000,HARD,6.0,,
VER,0 days 00:01:47.631000,0 days 00:00:38.412000,0 days 00:00:43.671000,0 days 00:00:25.548000,HARD,7.0,,
VER,0 days 00:01:47.713000,0 days 00:00:38.442000,0 days 00:00:43.827000,0 days 00:00:25.444000,HARD,8.0,,
VER,0 days 00:01:47.801000,0 days 00:00:38.465000,0 days 00:00:43.835000,0 days 00:00:25.501000,HARD,9.0,,
VER,0 days 00:01:47.643000,0 days 00:00:38.532000,0 days 00:00:43.625000,0 days 00:00:25.486000,HARD,10.0,,
VER,0 days 00:01:47.493000,0 days 00:00:38.414000,0 days 00:00:43.567000,0 days 00:00:25.512000,HARD,11.0,,
VER,0 days 00:01:47.459000,0 days 00:00:38.299000,0 days 00:00:43.686000,0 days 00:00:25.474000,HARD,12.0,,
VER,0 days 00:01:47.700000,0 days 00:00:38.441000,0 days 00:00:43.803000,0 days 00:00:25.456000,HARD,13.0,,
VER,0 days 00:01:47.522000,0 days 00:00:38.391000,0 days 00:00:43.789000,0 days 00:00:25.342000,HARD,14.0,,
VER,0 days 00:01:59.285000,0 days 00:00:38.451000,0 days 00:00:45.040000,0 days 00:00:35.794000,HARD,15.0,,0 days 02:03:40.886000
VER,,0 days 00:01:04.673000,0 days 00:01:01.815000,0 days 00:00:37.362000,HARD,1.0,0 days 02:04:01.564000,
VER,0 days 00:02:07.685000,0 days 00:00:51.262000,0 days 00:00:51.007000,0 days 00:00:25.416000,HARD,2.0,,
VER,0 days 00:01:46.523000,0 days 00:00:38.074000,0 days 00:00:43.153000,0 days 00:00:25.296000,HARD,3.0,,
VER,0 days 00:01:46.367000,0 days 00:00:37.976000,0 days 00:00:43.069000,0 days 00:00:25.322000,HARD,4.0,,
VER,0 days 00:01:46.929000,0 days 00:00:38.115000,0 days 00:00:43.251000,0 days 00:00:25.563000,HARD,5.0,,
VER,0 days 00:01:46.918000,0 days 00:00:38.141000,0 days 00:00:43.392000,0 days 00:00:25.385000,HARD,6.0,,
VER,0 days 00:01:46.959000,0 days 00:00:38.307000,0 days 00:00:43.503000,0 days 00:00:25.149000,HARD,7.0,,
VER,0 days 00:01:47.257000,0 days 00:00:38.235000,0 days 00:00:43.715000,0 days 00:00:25.307000,HARD,8.0,,
VER,0 days 00:01:46.549000,0 days 00:00:38.209000,0 days 00:00:43.189000,0 days 00:00:25.151000,HARD,9.0,,
VER,0 days 00:01:46.480000,0 days 00:00:38.072000,0 days 00:00:43.300000,0 days 00:00:25.108000,HARD,10.0,,
VER,0 days 00:01:46.494000,0 days 00:00:38.067000,0 days 00:00:43.267000,0 days 00:00:25.160000,HARD,11.0,,
VER,0 days 00:01:46.846000,0 days 00:00:38.270000,0 days 00:00:43.447000,0 days 00:00:25.129000,HARD,12.0,,
VER,0 days 00:01:47.090000,0 days 00:00:38.242000,0 days 00:00:43.681000,0 days 00:00:25.167000,HARD,13.0,,
VER,0 days 00:01:46.863000,0 days 00:00:38.194000,0 days 00:00:43.470000,0 days 00:00:25.199000,HARD,14.0,,
VER,0 days 00:01:47.018000,0 days 00:00:38.083000,0 days 00:00:43.637000,0 days 00:00:25.298000,HARD,15.0,,
VER,0 days 00:01:46.855000,0 days 00:00:38.101000,0 days 00:00:43.483000,0 days 00:00:25.271000,HARD,16.0,,
VER,0 days 00:01:46.050000,0 days 00:00:37.846000,0 days 00:00:42.964000,0 days 00:00:25.240000,HARD,17.0,,
VER,0 days 00:01:47.774000,0 days 00:00:38.401000,0 days 00:00:43.703000,0 days 00:00:25.670000,HARD,18.0,,
GAS,0 days 00:01:56.234000,,0 days 00:00:45.319000,0 days 00:00:25.923000,MEDIUM,1.0,,
GAS,0 days 00:01:50.338000,0 days 00:00:39.752000,0 days 00:00:44.635000,0 days 00:00:25.951000,MEDIUM,2.0,,
GAS,0 days 00:01:49.848000,0 days 00:00:39.350000,0 days 00:00:44.579000,0 days 00:00:25.919000,MEDIUM,3.0,,
GAS,0 days 00:01:49.997000,0 days 00:00:39.478000,0 days 00:00:44.579000,0 days 00:00:25.940000,MEDIUM,4.0,,
GAS,0 days 00:01:50.293000,0 days 00:00:39.634000,0 days 00:00:44.711000,0 days 00:00:25.948000,MEDIUM,5.0,,
