driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,3.0,1.0,25.0,Finished,,
PER,Red Bull Racing,2.0,2.0,19.0,Finished,,
RUS,Mercedes,5.0,3.0,15.0,Finished,,
HAM,Mercedes,7.0,4.0,12.0,Finished,,
GAS,AlphaTauri,6.0,5.0,10.0,Finished,,
VET,Aston Martin,9.0,6.0,8.0,Finished,,
ALO,Alpine,10.0,7.0,6.0,Finished,,
RIC,McLaren,12.0,8.0,4.0,Finished,,
NOR,McLaren,11.0,9.0,2.0,Finished,,
OCO,Alpine,13.0,10.0,1.0,Finished,,
BOT,Alfa Romeo,15.0,11.0,0.0,+1 Lap,,
ALB,Williams,17.0,12.0,0.0,+1 Lap,,
TSU,AlphaTauri,8.0,13.0,0.0,+1 Lap,,
MSC,Haas F1 Team,20.0,14.0,0.0,+1 Lap,,
LAT,Williams,18.0,15.0,0.0,+1 Lap,,
STR,Aston Martin,19.0,16.0,0.0,Vibrations,,
MAG,Haas F1 Team,16.0,17.0,0.0,Power Unit,,
ZHO,Alfa Romeo,14.0,18.0,0.0,Hydraulics,,
LEC,Ferrari,1.0,19.0,0.0,Power Unit,,
SAI,Ferrari,4.0,20.0,0.0,Hydraulics,,
