🏎️ AZERBAIJAN GRAND PRIX 2022

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. PER (Red Bull Racing) - 19.0 pts - Status: Finished
3.0. RUS (Mercedes) - 15.0 pts - Status: Finished
4.0. HAM (Mercedes) - 12.0 pts - Status: Finished
5.0. GAS (AlphaTauri) - 10.0 pts - Status: Finished
6.0. VET (Aston Martin) - 8.0 pts - Status: Finished
7.0. ALO (Alpine) - 6.0 pts - Status: Finished
8.0. RIC (McLaren) - 4.0 pts - Status: Finished
9.0. NOR (McLaren) - 2.0 pts - Status: Finished
10.0. OCO (Alpine) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. LEC (Ferrari) - Q3: 0 days 00:01:41.359000
2.0. PER (Red Bull Racing) - Q3: 0 days 00:01:41.641000
3.0. VER (Red Bull Racing) - Q3: 0 days 00:01:41.706000
4.0. SAI (Ferrari) - Q3: 0 days 00:01:41.814000
5.0. RUS (Mercedes) - Q3: 0 days 00:01:42.712000

🛞 Tire Stints:
Driver Compound  Stint
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
