Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:02:56.466000,1.0
VER,1.0,MEDIUM,0 days 01:04:49.654000,2.0
VER,1.0,MEDIUM,0 days 01:06:38.608000,3.0
VER,1.0,MEDIUM,0 days 01:08:27.298000,4.0
VER,1.0,MEDIUM,0 days 01:10:15.546000,5.0
VER,1.0,MEDIUM,0 days 01:12:03.858000,6.0
VER,1.0,MEDIUM,0 days 01:13:52.424000,7.0
VER,1.0,MEDIUM,0 days 01:15:41.199000,8.0
VER,1.0,MEDIUM,0 days 01:17:30.106000,9.0
VER,1.0,MEDIUM,0 days 01:19:28.421000,10.0
VER,1.0,MEDIUM,0 days 01:21:44.457000,11.0
VER,1.0,MEDIUM,0 days 01:23:32.873000,12.0
VER,1.0,MEDIUM,0 days 01:25:21.375000,13.0
VER,1.0,MEDIUM,0 days 01:27:09.882000,14.0
VER,1.0,MEDIUM,0 days 01:28:58.574000,15.0
VER,1.0,MEDIUM,0 days 01:30:47.661000,16.0
VER,1.0,MEDIUM,0 days 01:32:36.935000,17.0
VER,1.0,MEDIUM,0 days 01:34:26.066000,18.0
VER,2.0,HARD,0 days 01:36:19.552000,1.0
VER,2.0,HARD,0 days 01:38:23.691000,2.0
VER,2.0,HARD,0 days 01:40:10.589000,3.0
VER,2.0,HARD,0 days 01:41:57.955000,4.0
VER,2.0,HARD,0 days 01:43:46.108000,5.0
VER,2.0,HARD,0 days 01:45:34.035000,6.0
VER,2.0,HARD,0 days 01:47:21.921000,7.0
VER,2.0,HARD,0 days 01:49:09.552000,8.0
VER,2.0,HARD,0 days 01:50:57.265000,9.0
VER,2.0,HARD,0 days 01:52:45.066000,10.0
VER,2.0,HARD,0 days 01:54:32.709000,11.0
VER,2.0,HARD,0 days 01:56:20.202000,12.0
VER,2.0,HARD,0 days 01:58:07.661000,13.0
VER,2.0,HARD,0 days 01:59:55.361000,14.0
VER,2.0,HARD,0 days 02:01:42.883000,15.0
VER,3.0,HARD,0 days 02:03:42.168000,1.0
VER,3.0,HARD,0 days 02:06:26.050000,2.0
VER,3.0,HARD,0 days 02:08:33.735000,3.0
VER,3.0,HARD,0 days 02:10:20.258000,4.0
VER,3.0,HARD,0 days 02:12:06.625000,5.0
VER,3.0,HARD,0 days 02:13:53.554000,6.0
VER,3.0,HARD,0 days 02:15:40.472000,7.0
VER,3.0,HARD,0 days 02:17:27.431000,8.0
VER,3.0,HARD,0 days 02:19:14.688000,9.0
VER,3.0,HARD,0 days 02:21:01.237000,10.0
VER,3.0,HARD,0 days 02:22:47.717000,11.0
VER,3.0,HARD,0 days 02:24:34.211000,12.0
VER,3.0,HARD,0 days 02:26:21.057000,13.0
VER,3.0,HARD,0 days 02:28:08.147000,14.0
VER,3.0,HARD,0 days 02:29:55.010000,15.0
VER,3.0,HARD,0 days 02:31:42.028000,16.0
VER,3.0,HARD,0 days 02:33:28.883000,17.0
VER,3.0,HARD,0 days 02:35:14.933000,18.0
GAS,1.0,MEDIUM,0 days 01:02:56.466000,1.0
GAS,1.0,MEDIUM,0 days 01:04:52.968000,2.0
GAS,1.0,MEDIUM,0 days 01:06:43.306000,3.0
GAS,1.0,MEDIUM,0 days 01:08:33.154000,4.0
GAS,1.0,MEDIUM,0 days 01:10:23.151000,5.0
GAS,1.0,MEDIUM,0 days 01:12:13.444000,6.0
GAS,1.0,MEDIUM,0 days 01:14:03.628000,7.0
GAS,1.0,MEDIUM,0 days 01:15:53.921000,8.0
GAS,1.0,MEDIUM,0 days 01:17:44.151000,9.0
GAS,2.0,HARD,0 days 01:19:51.543000,1.0
GAS,2.0,HARD,0 days 01:22:14.996000,2.0
GAS,2.0,HARD,0 days 01:24:05.418000,3.0
GAS,2.0,HARD,0 days 01:25:55.034000,4.0
GAS,2.0,HARD,0 days 01:27:45.162000,5.0
GAS,2.0,HARD,0 days 01:29:35.085000,6.0
GAS,2.0,HARD,0 days 01:31:24.963000,7.0
GAS,2.0,HARD,0 days 01:33:15.613000,8.0
GAS,2.0,HARD,0 days 01:35:06.322000,9.0
GAS,2.0,HARD,0 days 01:36:57.639000,10.0
GAS,2.0,HARD,0 days 01:38:49.038000,11.0
GAS,2.0,HARD,0 days 01:40:40.041000,12.0
GAS,2.0,HARD,0 days 01:42:30.350000,13.0
GAS,2.0,HARD,0 days 01:44:20.530000,14.0
GAS,2.0,HARD,0 days 01:46:10.439000,15.0
GAS,2.0,HARD,0 days 01:48:00.058000,16.0
GAS,2.0,HARD,0 days 01:49:49.619000,17.0
GAS,2.0,HARD,0 days 01:51:38.920000,18.0
GAS,2.0,HARD,0 days 01:53:27.966000,19.0
GAS,2.0,HARD,0 days 01:55:16.893000,20.0
GAS,2.0,HARD,0 days 01:57:05.925000,21.0
GAS,2.0,HARD,0 days 01:58:55.109000,22.0
GAS,2.0,HARD,0 days 02:00:44.102000,23.0
GAS,2.0,HARD,0 days 02:02:33.071000,24.0
GAS,2.0,HARD,0 days 02:04:46.820000,25.0
GAS,2.0,HARD,0 days 02:07:18.549000,26.0
GAS,2.0,HARD,0 days 02:09:15.776000,27.0
GAS,2.0,HARD,0 days 02:11:05.095000,28.0
GAS,2.0,HARD,0 days 02:12:53.867000,29.0
GAS,2.0,HARD,0 days 02:14:42.536000,30.0
GAS,2.0,HARD,0 days 02:16:31.055000,31.0
GAS,2.0,HARD,0 days 02:18:19.781000,32.0
GAS,2.0,HARD,0 days 02:20:08.768000,33.0
GAS,2.0,HARD,0 days 02:21:58.030000,34.0
GAS,2.0,HARD,0 days 02:23:47.385000,35.0
GAS,2.0,HARD,0 days 02:25:38.056000,36.0
GAS,2.0,HARD,0 days 02:27:26.978000,37.0
GAS,2.0,HARD,0 days 02:29:15.873000,38.0
GAS,2.0,HARD,0 days 02:31:04.596000,39.0
GAS,2.0,HARD,0 days 02:32:53.329000,40.0
GAS,2.0,HARD,0 days 02:34:41.927000,41.0
GAS,2.0,HARD,0 days 02:36:30.870000,42.0
PER,1.0,MEDIUM,0 days 01:02:56.466000,1.0
PER,1.0,MEDIUM,0 days 01:04:47.661000,2.0
PER,1.0,MEDIUM,0 days 01:06:35.964000,3.0
PER,1.0,MEDIUM,0 days 01:08:24.209000,4.0
PER,1.0,MEDIUM,0 days 01:10:12.726000,5.0
PER,1.0,MEDIUM,0 days 01:12:01.165000,6.0
PER,1.0,MEDIUM,0 days 01:13:49.816000,7.0
PER,1.0,MEDIUM,0 days 01:15:38.595000,8.0
PER,1.0,MEDIUM,0 days 01:17:27.419000,9.0
PER,1.0,MEDIUM,0 days 01:19:22.418000,10.0
PER,1.0,MEDIUM,0 days 01:21:42.361000,11.0
PER,1.0,MEDIUM,0 days 01:23:31.154000,12.0
PER,1.0,MEDIUM,0 days 01:25:19.781000,13.0
PER,1.0,MEDIUM,0 days 01:27:08.616000,14.0
PER,1.0,MEDIUM,0 days 01:28:58.301000,15.0
PER,1.0,MEDIUM,0 days 01:30:50.019000,16.0
PER,2.0,HARD,0 days 01:32:45.013000,1.0
PER,2.0,HARD,0 days 01:34:52.537000,2.0
PER,2.0,HARD,0 days 01:36:40.059000,3.0
PER,2.0,HARD,0 days 01:38:27.617000,4.0
PER,2.0,HARD,0 days 01:40:15.088000,5.0
PER,2.0,HARD,0 days 01:42:03.155000,6.0
PER,2.0,HARD,0 days 01:43:51.346000,7.0
PER,2.0,HARD,0 days 01:45:40.387000,8.0
PER,2.0,HARD,0 days 01:47:28.257000,9.0
PER,2.0,HARD,0 days 01:49:16.292000,10.0
PER,2.0,HARD,0 days 01:51:04.481000,11.0
PER,2.0,HARD,0 days 01:52:52.537000,12.0
PER,2.0,HARD,0 days 01:54:40.301000,13.0
PER,2.0,HARD,0 days 01:56:28.100000,14.0
PER,2.0,HARD,0 days 01:58:16.593000,15.0
PER,2.0,HARD,0 days 02:00:04.781000,16.0
PER,2.0,HARD,0 days 02:01:52.932000,17.0
PER,3.0,HARD,0 days 02:03:58.593000,1.0
PER,3.0,HARD,0 days 02:06:43.246000,2.0
PER,3.0,HARD,0 days 02:08:46.560000,3.0
PER,3.0,HARD,0 days 02:10:32.606000,4.0
PER,3.0,HARD,0 days 02:12:20.774000,5.0
PER,3.0,HARD,0 days 02:14:08.551000,6.0
PER,3.0,HARD,0 days 02:15:56.099000,7.0
PER,3.0,HARD,0 days 02:17:43.219000,8.0
PER,3.0,HARD,0 days 02:19:30.185000,9.0
PER,3.0,HARD,0 days 02:21:17.170000,10.0
PER,3.0,HARD,0 days 02:23:04.373000,11.0
PER,3.0,HARD,0 days 02:24:51.806000,12.0
PER,3.0,HARD,0 days 02:26:39.040000,13.0
PER,3.0,HARD,0 days 02:28:26.244000,14.0
PER,3.0,HARD,0 days 02:30:14.045000,15.0
PER,3.0,HARD,0 days 02:32:01.327000,16.0
PER,3.0,HARD,0 days 02:33:48.495000,17.0
PER,3.0,HARD,0 days 02:35:35.692000,18.0
ALO,1.0,MEDIUM,0 days 01:02:56.466000,1.0
ALO,1.0,MEDIUM,0 days 01:04:55.277000,2.0
ALO,1.0,MEDIUM,0 days 01:06:46.967000,3.0
ALO,1.0,MEDIUM,0 days 01:08:37.877000,4.0
ALO,1.0,MEDIUM,0 days 01:10:28.824000,5.0
ALO,1.0,MEDIUM,0 days 01:12:19.357000,6.0
ALO,1.0,MEDIUM,0 days 01:14:09.980000,7.0
ALO,1.0,MEDIUM,0 days 01:16:00.602000,8.0
ALO,1.0,MEDIUM,0 days 01:17:51.346000,9.0
ALO,1.0,MEDIUM,0 days 01:19:59.564000,10.0
ALO,1.0,MEDIUM,0 days 01:22:09.455000,11.0
ALO,1.0,MEDIUM,0 days 01:23:59.363000,12.0
ALO,1.0,MEDIUM,0 days 01:25:49.739000,13.0
ALO,1.0,MEDIUM,0 days 01:27:40.177000,14.0
ALO,1.0,MEDIUM,0 days 01:29:30.731000,15.0
ALO,1.0,MEDIUM,0 days 01:31:21.479000,16.0
ALO,1.0,MEDIUM,0 days 01:33:12.650000,17.0
ALO,1.0,MEDIUM,0 days 01:35:04.426000,18.0
ALO,2.0,HARD,0 days 01:37:00.729000,1.0
ALO,2.0,HARD,0 days 01:39:06.994000,2.0
ALO,2.0,HARD,0 days 01:40:57.035000,3.0
ALO,2.0,HARD,0 days 01:42:47.052000,4.0
ALO,2.0,HARD,0 days 01:44:36.681000,5.0
ALO,2.0,HARD,0 days 01:46:26.477000,6.0
ALO,2.0,HARD,0 days 01:48:16.018000,7.0
ALO,2.0,HARD,0 days 01:50:04.976000,8.0
ALO,2.0,HARD,0 days 01:51:54.130000,9.0
ALO,2.0,HARD,0 days 01:53:43.818000,10.0
ALO,2.0,HARD,0 days 01:55:33.240000,11.0
ALO,2.0,HARD,0 days 01:57:22.588000,12.0
ALO,2.0,HARD,0 days 01:59:12.092000,13.0
ALO,2.0,HARD,0 days 02:01:01.439000,14.0
ALO,2.0,HARD,0 days 02:02:50.863000,15.0
ALO,2.0,HARD,0 days 02:05:11.426000,16.0
ALO,2.0,HARD,0 days 02:07:43.777000,17.0
ALO,2.0,HARD,0 days 02:09:33.886000,18.0
ALO,2.0,HARD,0 days 02:11:22.890000,19.0
ALO,2.0,HARD,0 days 02:13:11.711000,20.0
ALO,2.0,HARD,0 days 02:15:00.380000,21.0
ALO,2.0,HARD,0 days 02:16:48.787000,22.0
ALO,2.0,HARD,0 days 02:18:37.169000,23.0
ALO,2.0,HARD,0 days 02:20:25.885000,24.0
ALO,2.0,HARD,0 days 02:22:14.626000,25.0
ALO,2.0,HARD,0 days 02:24:03.347000,26.0
ALO,2.0,HARD,0 days 02:25:52.138000,27.0
ALO,2.0,HARD,0 days 02:27:40.614000,28.0
ALO,2.0,HARD,0 days 02:29:28.908000,29.0
ALO,2.0,HARD,0 days 02:31:17.277000,30.0
ALO,2.0,HARD,0 days 02:33:05.784000,31.0
ALO,2.0,HARD,0 days 02:34:53.773000,32.0
ALO,2.0,HARD,0 days 02:36:42.105000,33.0
LEC,1.0,MEDIUM,0 days 01:02:56.466000,1.0
LEC,1.0,MEDIUM,0 days 01:04:48.998000,2.0
LEC,1.0,MEDIUM,0 days 01:06:37.843000,3.0
LEC,1.0,MEDIUM,0 days 01:08:26.444000,4.0
LEC,1.0,MEDIUM,0 days 01:10:14.963000,5.0
LEC,1.0,MEDIUM,0 days 01:12:03.393000,6.0
LEC,1.0,MEDIUM,0 days 01:13:51.935000,7.0
LEC,1.0,MEDIUM,0 days 01:15:40.703000,8.0
LEC,1.0,MEDIUM,0 days 01:17:29.544000,9.0
LEC,2.0,HARD,0 days 01:19:28.589000,1.0
LEC,2.0,HARD,0 days 01:21:57.258000,2.0
LEC,2.0,HARD,0 days 01:23:45.947000,3.0
LEC,2.0,HARD,0 days 01:25:34.207000,4.0
LEC,2.0,HARD,0 days 01:27:21.738000,5.0
LEC,2.0,HARD,0 days 01:29:09.676000,6.0
LEC,2.0,HARD,0 days 01:30:57.971000,7.0
LEC,2.0,HARD,0 days 01:32:46.077000,8.0
