driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
LEC,Ferrari,1.0,1.0,26.0,Finished,,
SAI,Ferrari,3.0,2.0,18.0,Finished,,
HAM,Mercedes,5.0,3.0,15.0,Finished,,
RUS,Mercedes,9.0,4.0,12.0,Finished,,
MAG,Haas F1 Team,7.0,5.0,10.0,Finished,,
BOT,Alfa Romeo,6.0,6.0,8.0,Finished,,
OCO,Alpine,11.0,7.0,6.0,Finished,,
TSU,AlphaTauri,16.0,8.0,4.0,Finished,,
ALO,Alpine,8.0,9.0,2.0,Finished,,
ZHO,Alfa Romeo,15.0,10.0,1.0,Finished,,
MSC,Haas F1 Team,12.0,11.0,0.0,Finished,,
STR,Aston Martin,19.0,12.0,0.0,Finished,,
ALB,Williams,14.0,13.0,0.0,Finished,,
RIC,McLaren,18.0,14.0,0.0,Finished,,
NOR,McLaren,13.0,15.0,0.0,Finished,,
LAT,Williams,20.0,16.0,0.0,Finished,,
HUL,Aston Martin,17.0,17.0,0.0,Finished,,
PER,Red Bull Racing,4.0,18.0,0.0,Fuel pressure,,
VER,Red Bull Racing,2.0,19.0,0.0,Fuel pressure,,
GAS,AlphaTauri,10.0,20.0,0.0,Power Unit,,
