driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
LEC,Ferrari,1.0,0 days 00:01:31.471000,0 days 00:01:30.932000,0 days 00:01:30.558000
VER,Red Bull Racing,2.0,0 days 00:01:31.785000,0 days 00:01:30.757000,0 days 00:01:30.681000
SAI,Ferrari,3.0,0 days 00:01:31.567000,0 days 00:01:30.787000,0 days 00:01:30.687000
PER,Red Bull Racing,4.0,0 days 00:01:32.311000,0 days 00:01:31.008000,0 days 00:01:30.921000
HAM,Mercedes,5.0,0 days 00:01:32.285000,0 days 00:01:31.048000,0 days 00:01:31.238000
BOT,Alfa Romeo,6.0,0 days 00:01:31.919000,0 days 00:01:31.717000,0 days 00:01:31.560000
MAG,Haas F1 Team,7.0,0 days 00:01:31.955000,0 days 00:01:31.461000,0 days 00:01:31.808000
ALO,Alpine,8.0,0 days 00:01:32.346000,0 days 00:01:31.621000,0 days 00:01:32.195000
RUS,Mercedes,9.0,0 days 00:01:32.269000,0 days 00:01:31.252000,0 days 00:01:32.216000
GAS,AlphaTauri,10.0,0 days 00:01:32.096000,0 days 00:01:31.635000,0 days 00:01:32.338000
OCO,Alpine,11.0,0 days 00:01:32.041000,0 days 00:01:31.782000,
MSC,Haas F1 Team,12.0,0 days 00:01:32.380000,0 days 00:01:31.998000,
NOR,McLaren,13.0,0 days 00:01:32.239000,0 days 00:01:32.008000,
ALB,Williams,14.0,0 days 00:01:32.726000,0 days 00:01:32.664000,
ZHO,Alfa Romeo,15.0,0 days 00:01:32.493000,0 days 00:01:33.543000,
TSU,AlphaTauri,16.0,0 days 00:01:32.750000,,
HUL,Aston Martin,17.0,0 days 00:01:32.777000,,
RIC,McLaren,18.0,0 days 00:01:32.945000,,
STR,Aston Martin,19.0,0 days 00:01:33.032000,,
LAT,Williams,20.0,0 days 00:01:33.634000,,
