🏎️ BAHRAIN GRAND PRIX 2022

🏆 Race Results:
1.0. LEC (Ferrari) - 26.0 pts - Status: Finished
2.0. SAI (Ferrari) - 18.0 pts - Status: Finished
3.0. HAM (Mercedes) - 15.0 pts - Status: Finished
4.0. RUS (Mercedes) - 12.0 pts - Status: Finished
5.0. MAG (Haas F1 Team) - 10.0 pts - Status: Finished
6.0. BOT (Alfa Romeo) - 8.0 pts - Status: Finished
7.0. OCO (Alpine) - 6.0 pts - Status: Finished
8.0. TSU (AlphaTauri) - 4.0 pts - Status: Finished
9.0. ALO (Alpine) - 2.0 pts - Status: Finished
10.0. ZHO (Alfa Romeo) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. LEC (Ferrari) - Q3: 0 days 00:01:30.558000
2.0. VER (Red Bull Racing) - Q3: 0 days 00:01:30.681000
3.0. SAI (Ferrari) - Q3: 0 days 00:01:30.687000
4.0. PER (Red Bull Racing) - Q3: 0 days 00:01:30.921000
5.0. HAM (Mercedes) - Q3: 0 days 00:01:31.238000

🛞 Tire Stints:
Driver Compound  Stint
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   GAS     HARD    3.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
