Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,SOFT,0 days 01:02:34.872000,4.0
VER,1.0,SOFT,0 days 01:04:15.340000,5.0
VER,1.0,SOFT,0 days 01:05:53.220000,6.0
VER,1.0,SOFT,0 days 01:07:31.577000,7.0
VER,1.0,SOFT,0 days 01:09:10.143000,8.0
VER,1.0,SOFT,0 days 01:10:49.020000,9.0
VER,1.0,SOFT,0 days 01:12:27.960000,10.0
VER,1.0,SOFT,0 days 01:14:07.022000,11.0
VER,1.0,SOFT,0 days 01:15:46.114000,12.0
VER,1.0,SOFT,0 days 01:17:25.365000,13.0
VER,1.0,SOFT,0 days 01:19:04.757000,14.0
VER,1.0,SOFT,0 days 01:20:44.236000,15.0
VER,1.0,SOFT,0 days 01:22:23.646000,16.0
VER,1.0,SOFT,0 days 01:24:03.180000,17.0
VER,2.0,SOFT,0 days 01:25:45.230000,1.0
VER,2.0,SOFT,0 days 01:27:42.639000,2.0
VER,2.0,SOFT,0 days 01:29:19.544000,3.0
VER,2.0,SOFT,0 days 01:30:57.131000,4.0
VER,2.0,SOFT,0 days 01:32:34.848000,5.0
VER,2.0,SOFT,0 days 01:34:12.576000,6.0
VER,2.0,SOFT,0 days 01:35:50.833000,7.0
VER,2.0,SOFT,0 days 01:37:29.127000,8.0
VER,2.0,SOFT,0 days 01:39:07.370000,9.0
VER,2.0,SOFT,0 days 01:40:45.461000,10.0
VER,2.0,SOFT,0 days 01:42:23.648000,11.0
VER,2.0,SOFT,0 days 01:44:02.020000,12.0
VER,2.0,SOFT,0 days 01:45:40.496000,13.0
VER,2.0,SOFT,0 days 01:47:19.319000,14.0
VER,2.0,SOFT,0 days 01:48:58.101000,15.0
VER,2.0,SOFT,0 days 01:50:37.485000,16.0
VER,3.0,MEDIUM,0 days 01:52:19.022000,1.0
VER,3.0,MEDIUM,0 days 01:54:16.261000,2.0
VER,3.0,MEDIUM,0 days 01:55:52.788000,3.0
VER,3.0,MEDIUM,0 days 01:57:29.135000,4.0
VER,3.0,MEDIUM,0 days 01:59:05.519000,5.0
VER,3.0,MEDIUM,0 days 02:00:42.250000,6.0
VER,3.0,MEDIUM,0 days 02:02:19.170000,7.0
VER,3.0,MEDIUM,0 days 02:03:56.132000,8.0
VER,3.0,MEDIUM,0 days 02:05:33.030000,9.0
VER,3.0,MEDIUM,0 days 02:07:10.285000,10.0
VER,3.0,MEDIUM,0 days 02:08:47.593000,11.0
VER,3.0,MEDIUM,0 days 02:10:24.877000,12.0
VER,3.0,MEDIUM,0 days 02:12:02.732000,13.0
VER,4.0,SOFT,0 days 02:13:42.519000,4.0
VER,4.0,SOFT,0 days 02:15:39.761000,5.0
VER,4.0,SOFT,0 days 02:17:15.508000,6.0
VER,4.0,SOFT,0 days 02:19:25.449000,7.0
VER,4.0,SOFT,0 days 02:21:40.231000,8.0
VER,4.0,SOFT,0 days 02:24:12.049000,9.0
VER,4.0,SOFT,0 days 02:26:37.423000,10.0
VER,4.0,SOFT,0 days 02:29:01.931000,11.0
VER,4.0,SOFT,0 days 02:30:37.371000,12.0
VER,4.0,SOFT,0 days 02:32:12.833000,13.0
VER,4.0,SOFT,0 days 02:33:48.760000,14.0
GAS,1.0,SOFT,0 days 01:02:34.872000,4.0
GAS,1.0,SOFT,0 days 01:04:19.374000,5.0
GAS,1.0,SOFT,0 days 01:05:59.543000,6.0
GAS,1.0,SOFT,0 days 01:07:39.511000,7.0
GAS,1.0,SOFT,0 days 01:09:19.669000,8.0
GAS,1.0,SOFT,0 days 01:10:59.918000,9.0
GAS,1.0,SOFT,0 days 01:12:40.392000,10.0
GAS,1.0,SOFT,0 days 01:14:20.825000,11.0
GAS,1.0,SOFT,0 days 01:16:01.509000,12.0
GAS,1.0,SOFT,0 days 01:17:42.353000,13.0
GAS,1.0,SOFT,0 days 01:19:23.334000,14.0
GAS,1.0,SOFT,0 days 01:21:04.423000,15.0
GAS,1.0,SOFT,0 days 01:22:45.770000,16.0
GAS,1.0,SOFT,0 days 01:24:27.026000,17.0
GAS,2.0,MEDIUM,0 days 01:26:11.031000,1.0
GAS,2.0,MEDIUM,0 days 01:28:12.428000,2.0
GAS,2.0,MEDIUM,0 days 01:29:51.133000,3.0
GAS,2.0,MEDIUM,0 days 01:31:30.001000,4.0
GAS,2.0,MEDIUM,0 days 01:33:08.889000,5.0
GAS,2.0,MEDIUM,0 days 01:34:48.305000,6.0
GAS,2.0,MEDIUM,0 days 01:36:27.439000,7.0
GAS,2.0,MEDIUM,0 days 01:38:06.522000,8.0
GAS,2.0,MEDIUM,0 days 01:39:45.674000,9.0
GAS,2.0,MEDIUM,0 days 01:41:24.984000,10.0
GAS,2.0,MEDIUM,0 days 01:43:04.347000,11.0
GAS,2.0,MEDIUM,0 days 01:44:43.832000,12.0
GAS,2.0,MEDIUM,0 days 01:46:23.345000,13.0
GAS,2.0,MEDIUM,0 days 01:48:03.264000,14.0
GAS,2.0,MEDIUM,0 days 01:49:42.929000,15.0
GAS,2.0,MEDIUM,0 days 01:51:22.606000,16.0
GAS,2.0,MEDIUM,0 days 01:53:02.406000,17.0
GAS,2.0,MEDIUM,0 days 01:54:43.280000,18.0
GAS,3.0,HARD,0 days 01:56:25.585000,1.0
GAS,3.0,HARD,0 days 01:58:26.393000,2.0
GAS,3.0,HARD,0 days 02:00:03.717000,3.0
GAS,3.0,HARD,0 days 02:01:41.257000,4.0
GAS,3.0,HARD,0 days 02:03:21.084000,5.0
GAS,3.0,HARD,0 days 02:05:00.680000,6.0
GAS,3.0,HARD,0 days 02:06:38.901000,7.0
GAS,3.0,HARD,0 days 02:08:17.453000,8.0
GAS,3.0,HARD,0 days 02:09:55.657000,9.0
GAS,3.0,HARD,0 days 02:11:33.958000,10.0
GAS,3.0,HARD,0 days 02:13:12.287000,11.0
GAS,3.0,HARD,0 days 02:14:50.765000,12.0
GAS,3.0,HARD,0 days 02:16:29.469000,13.0
PER,1.0,SOFT,0 days 01:02:34.872000,4.0
PER,1.0,SOFT,0 days 01:04:18.097000,5.0
PER,1.0,SOFT,0 days 01:05:57.189000,6.0
PER,1.0,SOFT,0 days 01:07:36.662000,7.0
PER,1.0,SOFT,0 days 01:09:15.403000,8.0
PER,1.0,SOFT,0 days 01:10:54.264000,9.0
PER,1.0,SOFT,0 days 01:12:33.482000,10.0
PER,1.0,SOFT,0 days 01:14:12.746000,11.0
PER,1.0,SOFT,0 days 01:15:52.571000,12.0
PER,1.0,SOFT,0 days 01:17:32.786000,13.0
PER,1.0,SOFT,0 days 01:19:12.592000,14.0
PER,1.0,SOFT,0 days 01:20:52.523000,15.0
PER,1.0,SOFT,0 days 01:22:32.277000,16.0
PER,1.0,SOFT,0 days 01:24:12.269000,17.0
PER,1.0,SOFT,0 days 01:25:52.304000,18.0
PER,2.0,MEDIUM,0 days 01:27:34.749000,1.0
PER,2.0,MEDIUM,0 days 01:29:33.607000,2.0
PER,2.0,MEDIUM,0 days 01:31:10.241000,3.0
PER,2.0,MEDIUM,0 days 01:32:47.093000,4.0
PER,2.0,MEDIUM,0 days 01:34:24.307000,5.0
PER,2.0,MEDIUM,0 days 01:36:01.839000,6.0
PER,2.0,MEDIUM,0 days 01:37:39.468000,7.0
PER,2.0,MEDIUM,0 days 01:39:17.330000,8.0
PER,2.0,MEDIUM,0 days 01:40:55.290000,9.0
PER,2.0,MEDIUM,0 days 01:42:33.445000,10.0
PER,2.0,MEDIUM,0 days 01:44:11.864000,11.0
PER,2.0,MEDIUM,0 days 01:45:50.557000,12.0
PER,2.0,MEDIUM,0 days 01:47:29.120000,13.0
PER,2.0,MEDIUM,0 days 01:49:07.817000,14.0
PER,2.0,MEDIUM,0 days 01:50:46.807000,15.0
PER,2.0,MEDIUM,0 days 01:52:25.686000,16.0
PER,2.0,MEDIUM,0 days 01:54:04.978000,17.0
PER,2.0,MEDIUM,0 days 01:55:44.200000,18.0
PER,3.0,SOFT,0 days 01:57:26.068000,4.0
PER,3.0,SOFT,0 days 01:59:23.124000,5.0
PER,3.0,SOFT,0 days 02:00:59.426000,6.0
PER,3.0,SOFT,0 days 02:02:35.937000,7.0
PER,3.0,SOFT,0 days 02:04:13.056000,8.0
PER,3.0,SOFT,0 days 02:05:49.811000,9.0
PER,3.0,SOFT,0 days 02:07:26.798000,10.0
PER,3.0,SOFT,0 days 02:09:03.976000,11.0
PER,3.0,SOFT,0 days 02:10:41.615000,12.0
PER,3.0,SOFT,0 days 02:12:18.870000,13.0
PER,4.0,SOFT,0 days 02:13:59.098000,4.0
PER,4.0,SOFT,0 days 02:15:55.619000,5.0
PER,4.0,SOFT,0 days 02:17:39.181000,6.0
PER,4.0,SOFT,0 days 02:19:47.581000,7.0
PER,4.0,SOFT,0 days 02:21:59.631000,8.0
PER,4.0,SOFT,0 days 02:24:15.716000,9.0
PER,4.0,SOFT,0 days 02:26:40.814000,10.0
PER,4.0,SOFT,0 days 02:29:02.561000,11.0
PER,4.0,SOFT,0 days 02:30:38.950000,12.0
PER,4.0,SOFT,0 days 02:32:15.039000,13.0
PER,4.0,SOFT,0 days 02:33:51.152000,14.0
PER,4.0,SOFT,0 days 02:35:27.907000,15.0
PER,4.0,SOFT,0 days 02:37:04.343000,16.0
PER,4.0,SOFT,0 days 02:38:40.629000,17.0
ALO,1.0,SOFT,0 days 01:02:34.872000,4.0
ALO,1.0,SOFT,0 days 01:04:20.278000,5.0
ALO,1.0,SOFT,0 days 01:06:00.690000,6.0
ALO,1.0,SOFT,0 days 01:07:40.916000,7.0
ALO,1.0,SOFT,0 days 01:09:21.013000,8.0
ALO,1.0,SOFT,0 days 01:11:01.478000,9.0
ALO,1.0,SOFT,0 days 01:12:42.136000,10.0
ALO,1.0,SOFT,0 days 01:14:22.959000,11.0
ALO,1.0,SOFT,0 days 01:16:05.330000,12.0
ALO,1.0,SOFT,0 days 01:17:46.778000,13.0
ALO,1.0,SOFT,0 days 01:19:28.651000,14.0
ALO,2.0,MEDIUM,0 days 01:21:12.916000,1.0
ALO,2.0,MEDIUM,0 days 01:23:12.969000,2.0
ALO,2.0,MEDIUM,0 days 01:24:52.019000,3.0
ALO,2.0,MEDIUM,0 days 01:26:31.723000,4.0
ALO,2.0,MEDIUM,0 days 01:28:11.979000,5.0
ALO,2.0,MEDIUM,0 days 01:29:52.551000,6.0
ALO,2.0,MEDIUM,0 days 01:31:31.985000,7.0
ALO,2.0,MEDIUM,0 days 01:33:11.794000,8.0
ALO,2.0,MEDIUM,0 days 01:34:51.579000,9.0
ALO,2.0,MEDIUM,0 days 01:36:31.453000,10.0
ALO,2.0,MEDIUM,0 days 01:38:11.540000,11.0
ALO,2.0,MEDIUM,0 days 01:39:52.044000,12.0
ALO,2.0,MEDIUM,0 days 01:41:31.966000,13.0
ALO,2.0,MEDIUM,0 days 01:43:12.462000,14.0
ALO,3.0,HARD,0 days 01:44:55.298000,1.0
ALO,3.0,HARD,0 days 01:46:56.220000,2.0
ALO,3.0,HARD,0 days 01:48:34.215000,3.0
ALO,3.0,HARD,0 days 01:50:13.123000,4.0
ALO,3.0,HARD,0 days 01:51:51.803000,5.0
ALO,3.0,HARD,0 days 01:53:30.429000,6.0
ALO,3.0,HARD,0 days 01:55:09.387000,7.0
ALO,3.0,HARD,0 days 01:56:48.540000,8.0
ALO,3.0,HARD,0 days 01:58:28.226000,9.0
ALO,3.0,HARD,0 days 02:00:07.434000,10.0
ALO,3.0,HARD,0 days 02:01:46.648000,11.0
ALO,3.0,HARD,0 days 02:03:26.037000,12.0
ALO,3.0,HARD,0 days 02:05:05.463000,13.0
ALO,3.0,HARD,0 days 02:06:45.497000,14.0
ALO,3.0,HARD,0 days 02:08:25.506000,15.0
ALO,3.0,HARD,0 days 02:10:05.801000,16.0
ALO,3.0,HARD,0 days 02:11:45.655000,17.0
ALO,4.0,SOFT,0 days 02:13:28.580000,1.0
ALO,4.0,SOFT,0 days 02:15:25.946000,2.0
ALO,4.0,SOFT,0 days 02:17:02.679000,3.0
ALO,4.0,SOFT,0 days 02:19:10.546000,4.0
ALO,4.0,SOFT,0 days 02:21:21.260000,5.0
ALO,4.0,SOFT,0 days 02:23:12.723000,6.0
ALO,4.0,SOFT,0 days 02:24:58.297000,7.0
ALO,4.0,SOFT,0 days 02:26:52.274000,8.0
ALO,4.0,SOFT,0 days 02:29:05.535000,9.0
ALO,4.0,SOFT,0 days 02:30:44.541000,10.0
ALO,4.0,SOFT,0 days 02:32:22.079000,11.0
ALO,4.0,SOFT,0 days 02:33:59.475000,12.0
ALO,4.0,SOFT,0 days 02:35:36.778000,13.0
ALO,4.0,SOFT,0 days 02:37:14.450000,14.0
ALO,4.0,SOFT,0 days 02:38:52.092000,15.0
LEC,1.0,SOFT,0 days 01:02:34.872000,1.0
LEC,1.0,SOFT,0 days 01:04:14.174000,2.0
LEC,1.0,SOFT,0 days 01:05:52.027000,3.0
LEC,1.0,SOFT,0 days 01:07:30.299000,4.0
LEC,1.0,SOFT,0 days 01:09:08.713000,5.0
LEC,1.0,SOFT,0 days 01:10:47.184000,6.0
LEC,1.0,SOFT,0 days 01:12:25.896000,7.0
LEC,1.0,SOFT,0 days 01:14:04.731000,8.0
LEC,1.0,SOFT,0 days 01:15:43.682000,9.0
LEC,1.0,SOFT,0 days 01:17:22.489000,10.0
LEC,1.0,SOFT,0 days 01:19:01.612000,11.0
LEC,1.0,SOFT,0 days 01:20:40.918000,12.0
