driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:44.581000,0 days 00:01:44.723000,0 days 00:01:43.665000
SAI,Ferrari,2.0,0 days 00:01:45.050000,0 days 00:01:45.418000,0 days 00:01:44.297000
PER,Red Bull Racing,3.0,0 days 00:01:45.377000,0 days 00:01:44.794000,0 days 00:01:44.462000
LEC,Ferrari,4.0,0 days 00:01:45.572000,0 days 00:01:44.551000,0 days 00:01:44.553000
OCO,Alpine,5.0,0 days 00:01:46.039000,0 days 00:01:45.475000,0 days 00:01:45.180000
ALO,Alpine,6.0,0 days 00:01:46.075000,0 days 00:01:45.552000,0 days 00:01:45.368000
HAM,Mercedes,7.0,0 days 00:01:45.736000,0 days 00:01:45.420000,0 days 00:01:45.503000
RUS,Mercedes,8.0,0 days 00:01:45.650000,0 days 00:01:45.461000,0 days 00:01:45.776000
ALB,Williams,9.0,0 days 00:01:45.672000,0 days 00:01:45.675000,0 days 00:01:45.837000
NOR,McLaren,10.0,0 days 00:01:45.745000,0 days 00:01:45.603000,0 days 00:01:46.178000
RIC,McLaren,11.0,0 days 00:01:46.212000,0 days 00:01:45.767000,
GAS,AlphaTauri,12.0,0 days 00:01:46.183000,0 days 00:01:45.827000,
ZHO,Alfa Romeo,13.0,0 days 00:01:46.178000,0 days 00:01:46.085000,
STR,Aston Martin,14.0,0 days 00:01:46.256000,0 days 00:01:46.611000,
MSC,Haas F1 Team,15.0,0 days 00:01:46.342000,0 days 00:01:47.718000,
VET,Aston Martin,16.0,0 days 00:01:46.344000,,
LAT,Williams,17.0,0 days 00:01:46.401000,,
MAG,Haas F1 Team,18.0,0 days 00:01:46.557000,,
TSU,AlphaTauri,19.0,0 days 00:01:46.692000,,
BOT,Alfa Romeo,20.0,0 days 00:01:47.866000,,
