Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:02:03.282000,,0 days 00:00:55.474000,0 days 00:00:31.348000,SOFT,1.0,,
VER,0 days 00:02:19.517000,0 days 00:00:32.009000,0 days 00:01:04.504000,0 days 00:00:43.004000,SOFT,2.0,,
VER,,0 days 00:00:47.227000,0 days 00:01:23.243000,0 days 00:00:53.575000,SOFT,3.0,,
VER,,0 days 00:00:48.681000,0 days 00:01:18.407000,0 days 00:00:49.372000,SOFT,4.0,,
VER,0 days 00:01:53.951000,0 days 00:00:32.124000,0 days 00:00:51.490000,0 days 00:00:30.337000,SOFT,5.0,,
VER,0 days 00:01:53.748000,0 days 00:00:32.150000,0 days 00:00:51.344000,0 days 00:00:30.254000,SOFT,6.0,,
VER,0 days 00:01:51.954000,0 days 00:00:31.671000,0 days 00:00:49.935000,0 days 00:00:30.348000,SOFT,7.0,,
VER,0 days 00:01:52.641000,0 days 00:00:31.665000,0 days 00:00:50.392000,0 days 00:00:30.584000,SOFT,8.0,,
VER,0 days 00:01:53.532000,0 days 00:00:32.256000,0 days 00:00:50.630000,0 days 00:00:30.646000,SOFT,9.0,,
VER,0 days 00:01:53.969000,0 days 00:00:32.284000,0 days 00:00:50.975000,0 days 00:00:30.710000,SOFT,10.0,,
VER,0 days 00:01:54.634000,0 days 00:00:31.967000,0 days 00:00:51.966000,0 days 00:00:30.701000,SOFT,11.0,,
VER,0 days 00:01:53.158000,0 days 00:00:32.002000,0 days 00:00:50.429000,0 days 00:00:30.727000,SOFT,12.0,,
VER,0 days 00:01:53.728000,0 days 00:00:32.375000,0 days 00:00:50.545000,0 days 00:00:30.808000,SOFT,13.0,,
VER,0 days 00:01:53.898000,0 days 00:00:32.403000,0 days 00:00:50.608000,0 days 00:00:30.887000,SOFT,14.0,,
VER,0 days 00:01:57.820000,0 days 00:00:32.398000,0 days 00:00:50.474000,0 days 00:00:34.948000,SOFT,15.0,,0 days 01:33:57.329000
VER,0 days 00:02:05.124000,0 days 00:00:46.178000,0 days 00:00:48.816000,0 days 00:00:30.130000,MEDIUM,1.0,0 days 01:34:20.284000,
VER,0 days 00:01:50.747000,0 days 00:00:31.876000,0 days 00:00:48.828000,0 days 00:00:30.043000,MEDIUM,2.0,,
VER,0 days 00:01:51.048000,0 days 00:00:31.597000,0 days 00:00:49.219000,0 days 00:00:30.232000,MEDIUM,3.0,,
VER,0 days 00:01:51.913000,0 days 00:00:32.163000,0 days 00:00:49.387000,0 days 00:00:30.363000,MEDIUM,4.0,,
VER,0 days 00:01:52.208000,0 days 00:00:32.156000,0 days 00:00:49.617000,0 days 00:00:30.435000,MEDIUM,5.0,,
VER,0 days 00:01:52.175000,0 days 00:00:32.197000,0 days 00:00:49.551000,0 days 00:00:30.427000,MEDIUM,6.0,,
VER,0 days 00:01:52.382000,0 days 00:00:32.258000,0 days 00:00:49.647000,0 days 00:00:30.477000,MEDIUM,7.0,,
VER,0 days 00:01:52.273000,0 days 00:00:32.250000,0 days 00:00:49.641000,0 days 00:00:30.382000,MEDIUM,8.0,,
VER,0 days 00:01:52.467000,0 days 00:00:32.197000,0 days 00:00:49.849000,0 days 00:00:30.421000,MEDIUM,9.0,,
VER,0 days 00:01:52.555000,0 days 00:00:32.154000,0 days 00:00:49.856000,0 days 00:00:30.545000,MEDIUM,10.0,,
VER,0 days 00:01:52.526000,0 days 00:00:32.130000,0 days 00:00:49.803000,0 days 00:00:30.593000,MEDIUM,11.0,,
VER,0 days 00:01:52.869000,0 days 00:00:32.261000,0 days 00:00:50.079000,0 days 00:00:30.529000,MEDIUM,12.0,,
VER,0 days 00:01:52.710000,0 days 00:00:32.101000,0 days 00:00:50.024000,0 days 00:00:30.585000,MEDIUM,13.0,,
VER,0 days 00:01:52.762000,0 days 00:00:32.189000,0 days 00:00:49.960000,0 days 00:00:30.613000,MEDIUM,14.0,,
VER,0 days 00:01:57.131000,0 days 00:00:32.104000,0 days 00:00:50.167000,0 days 00:00:34.860000,MEDIUM,15.0,,0 days 02:02:18.225000
VER,0 days 00:02:03.664000,0 days 00:00:45.614000,0 days 00:00:48.045000,0 days 00:00:30.005000,MEDIUM,1.0,0 days 02:02:40.574000,
VER,0 days 00:01:49.354000,0 days 00:00:31.680000,0 days 00:00:47.810000,0 days 00:00:29.864000,MEDIUM,2.0,,
VER,0 days 00:01:51.144000,0 days 00:00:31.870000,0 days 00:00:49.122000,0 days 00:00:30.152000,MEDIUM,3.0,,
VER,0 days 00:01:51.034000,0 days 00:00:31.831000,0 days 00:00:49.139000,0 days 00:00:30.064000,MEDIUM,4.0,,
VER,0 days 00:01:51.469000,0 days 00:00:32.051000,0 days 00:00:49.129000,0 days 00:00:30.289000,MEDIUM,5.0,,
VER,0 days 00:01:51.551000,0 days 00:00:32.022000,0 days 00:00:49.168000,0 days 00:00:30.361000,MEDIUM,6.0,,
