🏎️ BELGIAN GRAND PRIX 2022

🏆 Race Results:
1.0. VER (Red Bull Racing) - 26.0 pts - Status: Finished
2.0. PER (Red Bull Racing) - 18.0 pts - Status: Finished
3.0. SAI (Ferrari) - 15.0 pts - Status: Finished
4.0. RUS (Mercedes) - 12.0 pts - Status: Finished
5.0. ALO (Alpine) - 10.0 pts - Status: Finished
6.0. LEC (Ferrari) - 8.0 pts - Status: Finished
7.0. OCO (Alpine) - 6.0 pts - Status: Finished
8.0. VET (Aston Martin) - 4.0 pts - Status: Finished
9.0. GAS (AlphaTauri) - 2.0 pts - Status: Finished
10.0. ALB (Williams) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:43.665000
2.0. SAI (Ferrari) - Q3: 0 days 00:01:44.297000
3.0. PER (Red Bull Racing) - Q3: 0 days 00:01:44.462000
4.0. LEC (Ferrari) - Q3: 0 days 00:01:44.553000
5.0. OCO (Alpine) - Q3: 0 days 00:01:45.180000

🛞 Tire Stints:
Driver Compound  Stint
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    1.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   PER     HARD    3.0
   ALO   MEDIUM    1.0
   ALO   MEDIUM    1.0
