Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:23.396000,,0 days 00:00:25.320000,0 days 00:00:31.346000,MEDIUM,1.0,,
VER,0 days 00:01:18.960000,0 days 00:00:22.137000,0 days 00:00:25.309000,0 days 00:00:31.514000,MEDIUM,2.0,,
VER,0 days 00:01:18.818000,0 days 00:00:22.112000,0 days 00:00:25.390000,0 days 00:00:31.316000,MEDIUM,3.0,,
VER,0 days 00:01:18.393000,0 days 00:00:21.980000,0 days 00:00:25.135000,0 days 00:00:31.278000,MEDIUM,4.0,,
VER,0 days 00:01:18.293000,0 days 00:00:21.830000,0 days 00:00:25.200000,0 days 00:00:31.263000,MEDIUM,5.0,,
VER,0 days 00:01:18.275000,0 days 00:00:22.040000,0 days 00:00:25.039000,0 days 00:00:31.196000,MEDIUM,6.0,,
VER,0 days 00:01:17.828000,0 days 00:00:21.671000,0 days 00:00:24.985000,0 days 00:00:31.172000,MEDIUM,7.0,,
VER,0 days 00:01:17.757000,0 days 00:00:21.774000,0 days 00:00:24.910000,0 days 00:00:31.073000,MEDIUM,8.0,,
VER,0 days 00:01:52.842000,0 days 00:00:21.827000,0 days 00:00:34.680000,0 days 00:00:56.335000,MEDIUM,9.0,,0 days 01:14:15.857000
VER,0 days 00:01:44.647000,0 days 00:00:30.729000,0 days 00:00:34.611000,0 days 00:00:39.307000,HARD,1.0,0 days 01:14:40.101000,
VER,0 days 00:01:17.808000,0 days 00:00:21.891000,0 days 00:00:24.889000,0 days 00:00:31.028000,HARD,2.0,,
VER,0 days 00:01:17.370000,0 days 00:00:21.634000,0 days 00:00:24.808000,0 days 00:00:30.928000,HARD,3.0,,
VER,0 days 00:01:17.518000,0 days 00:00:21.687000,0 days 00:00:24.807000,0 days 00:00:31.024000,HARD,4.0,,
VER,0 days 00:01:17.791000,0 days 00:00:21.675000,0 days 00:00:24.827000,0 days 00:00:31.289000,HARD,5.0,,
VER,0 days 00:01:18.076000,0 days 00:00:22.033000,0 days 00:00:25.360000,0 days 00:00:30.683000,HARD,6.0,,
VER,0 days 00:01:17.457000,0 days 00:00:21.595000,0 days 00:00:24.767000,0 days 00:00:31.095000,HARD,7.0,,
VER,0 days 00:01:17.356000,0 days 00:00:21.517000,0 days 00:00:24.809000,0 days 00:00:31.030000,HARD,8.0,,
VER,0 days 00:01:17.450000,0 days 00:00:21.607000,0 days 00:00:24.771000,0 days 00:00:31.072000,HARD,9.0,,
VER,0 days 00:01:17.458000,0 days 00:00:21.646000,0 days 00:00:24.785000,0 days 00:00:31.027000,HARD,10.0,,
VER,0 days 00:01:46.720000,0 days 00:00:28.180000,0 days 00:00:35.377000,0 days 00:00:43.163000,HARD,11.0,,
VER,0 days 00:01:19.307000,0 days 00:00:23.203000,0 days 00:00:24.993000,0 days 00:00:31.111000,HARD,12.0,,
VER,0 days 00:01:17.592000,0 days 00:00:21.766000,0 days 00:00:24.813000,0 days 00:00:31.013000,HARD,13.0,,
VER,0 days 00:01:17.634000,0 days 00:00:21.777000,0 days 00:00:24.859000,0 days 00:00:30.998000,HARD,14.0,,
VER,0 days 00:01:17.581000,0 days 00:00:21.684000,0 days 00:00:24.863000,0 days 00:00:31.034000,HARD,15.0,,
VER,0 days 00:01:17.676000,0 days 00:00:21.828000,0 days 00:00:24.687000,0 days 00:00:31.161000,HARD,16.0,,
VER,0 days 00:01:17.418000,0 days 00:00:21.646000,0 days 00:00:24.708000,0 days 00:00:31.064000,HARD,17.0,,
VER,0 days 00:01:17.528000,0 days 00:00:21.734000,0 days 00:00:24.730000,0 days 00:00:31.064000,HARD,18.0,,
VER,0 days 00:01:17.430000,0 days 00:00:21.767000,0 days 00:00:24.699000,0 days 00:00:30.964000,HARD,19.0,,
VER,0 days 00:01:17.426000,0 days 00:00:21.586000,0 days 00:00:24.906000,0 days 00:00:30.934000,HARD,20.0,,
VER,0 days 00:01:17.541000,0 days 00:00:21.783000,0 days 00:00:24.741000,0 days 00:00:31.017000,HARD,21.0,,
VER,0 days 00:01:17.458000,0 days 00:00:21.808000,0 days 00:00:24.993000,0 days 00:00:30.657000,HARD,22.0,,
VER,0 days 00:01:17.866000,0 days 00:00:21.962000,0 days 00:00:24.842000,0 days 00:00:31.062000,HARD,23.0,,
VER,0 days 00:01:17.724000,0 days 00:00:21.924000,0 days 00:00:24.805000,0 days 00:00:30.995000,HARD,24.0,,
VER,0 days 00:01:17.595000,0 days 00:00:21.715000,0 days 00:00:24.832000,0 days 00:00:31.048000,HARD,25.0,,
VER,0 days 00:01:17.634000,0 days 00:00:21.823000,0 days 00:00:24.791000,0 days 00:00:31.020000,HARD,26.0,,
VER,0 days 00:01:17.817000,0 days 00:00:21.880000,0 days 00:00:24.921000,0 days 00:00:31.016000,HARD,27.0,,
VER,0 days 00:01:17.722000,0 days 00:00:21.860000,0 days 00:00:24.991000,0 days 00:00:30.871000,HARD,28.0,,
VER,0 days 00:01:17.695000,0 days 00:00:21.832000,0 days 00:00:24.903000,0 days 00:00:30.960000,HARD,29.0,,
VER,0 days 00:01:17.707000,0 days 00:00:21.772000,0 days 00:00:24.907000,0 days 00:00:31.028000,HARD,30.0,,
VER,0 days 00:01:17.809000,0 days 00:00:21.781000,0 days 00:00:24.879000,0 days 00:00:31.149000,HARD,31.0,,
VER,0 days 00:01:18.371000,0 days 00:00:21.948000,0 days 00:00:24.809000,0 days 00:00:31.614000,HARD,32.0,,
VER,0 days 00:01:18.191000,0 days 00:00:22.043000,0 days 00:00:24.907000,0 days 00:00:31.241000,HARD,33.0,,
VER,0 days 00:01:33.478000,0 days 00:00:21.756000,0 days 00:00:24.865000,0 days 00:00:46.857000,HARD,34.0,,0 days 01:59:30.251000
VER,0 days 00:01:19.629000,0 days 00:00:24.610000,0 days 00:00:24.646000,0 days 00:00:30.373000,HARD,1.0,0 days 01:59:53.942000,
VER,0 days 00:01:16.959000,0 days 00:00:21.409000,0 days 00:00:24.630000,0 days 00:00:30.920000,HARD,2.0,,
VER,0 days 00:01:16.830000,0 days 00:00:21.518000,0 days 00:00:24.508000,0 days 00:00:30.804000,HARD,3.0,,
VER,0 days 00:01:17.087000,0 days 00:00:21.666000,0 days 00:00:24.641000,0 days 00:00:30.780000,HARD,4.0,,
VER,0 days 00:01:16.759000,0 days 00:00:21.432000,0 days 00:00:24.680000,0 days 00:00:30.647000,HARD,5.0,,
VER,0 days 00:01:25.267000,0 days 00:00:21.743000,0 days 00:00:24.586000,0 days 00:00:38.938000,HARD,6.0,,
VER,0 days 00:01:58.968000,0 days 00:00:30.454000,0 days 00:00:38.515000,0 days 00:00:49.999000,HARD,7.0,,
VER,0 days 00:02:00.304000,0 days 00:00:35.108000,0 days 00:00:37.405000,0 days 00:00:47.791000,HARD,8.0,,
VER,0 days 00:02:07.872000,0 days 00:00:36.295000,0 days 00:00:40.358000,0 days 00:00:51.219000,HARD,9.0,,
VER,0 days 00:02:04.402000,0 days 00:00:35.474000,0 days 00:00:40.483000,0 days 00:00:48.445000,HARD,10.0,,
VER,0 days 00:02:20.984000,0 days 00:00:32.175000,0 days 00:00:40.026000,0 days 00:01:08.783000,HARD,11.0,,
VER,0 days 00:01:16.971000,0 days 00:00:21.629000,0 days 00:00:24.475000,0 days 00:00:30.867000,HARD,12.0,,
VER,0 days 00:01:16.293000,0 days 00:00:21.184000,0 days 00:00:24.417000,0 days 00:00:30.692000,HARD,13.0,,
VER,0 days 00:01:16.389000,0 days 00:00:21.207000,0 days 00:00:24.370000,0 days 00:00:30.812000,HARD,14.0,,
VER,0 days 00:01:16.268000,0 days 00:00:21.159000,0 days 00:00:24.382000,0 days 00:00:30.727000,HARD,15.0,,
VER,0 days 00:01:16.196000,0 days 00:00:21.164000,0 days 00:00:24.321000,0 days 00:00:30.711000,HARD,16.0,,
VER,0 days 00:01:16.063000,0 days 00:00:21.147000,0 days 00:00:24.279000,0 days 00:00:30.637000,HARD,17.0,,
VER,0 days 00:01:16.027000,0 days 00:00:21.189000,0 days 00:00:24.255000,0 days 00:00:30.583000,HARD,18.0,,
VER,0 days 00:01:16.090000,0 days 00:00:21.072000,0 days 00:00:24.313000,0 days 00:00:30.705000,HARD,19.0,,
VER,0 days 00:01:16.062000,0 days 00:00:21.137000,0 days 00:00:24.238000,0 days 00:00:30.687000,HARD,20.0,,
VER,0 days 00:01:15.839000,0 days 00:00:21.084000,0 days 00:00:24.147000,0 days 00:00:30.608000,HARD,21.0,,
VER,0 days 00:01:15.924000,0 days 00:00:21.061000,0 days 00:00:24.186000,0 days 00:00:30.677000,HARD,22.0,,
VER,0 days 00:01:15.980000,0 days 00:00:21.256000,0 days 00:00:24.116000,0 days 00:00:30.608000,HARD,23.0,,
VER,0 days 00:01:15.930000,0 days 00:00:21.081000,0 days 00:00:24.210000,0 days 00:00:30.639000,HARD,24.0,,
VER,0 days 00:01:16.338000,0 days 00:00:21.319000,0 days 00:00:24.304000,0 days 00:00:30.715000,HARD,25.0,,
VER,0 days 00:01:15.997000,0 days 00:00:21.117000,0 days 00:00:24.292000,0 days 00:00:30.588000,HARD,26.0,,
VER,0 days 00:01:15.916000,0 days 00:00:21.145000,0 days 00:00:24.087000,0 days 00:00:30.684000,HARD,27.0,,
GAS,0 days 00:01:33.394000,,0 days 00:00:27.445000,0 days 00:00:32.725000,MEDIUM,1.0,,
GAS,0 days 00:01:23.231000,0 days 00:00:24.637000,0 days 00:00:26.465000,0 days 00:00:32.129000,MEDIUM,2.0,,
GAS,0 days 00:01:20.406000,0 days 00:00:22.887000,0 days 00:00:25.884000,0 days 00:00:31.635000,MEDIUM,3.0,,
GAS,0 days 00:01:20.010000,0 days 00:00:22.837000,0 days 00:00:25.675000,0 days 00:00:31.498000,MEDIUM,4.0,,
GAS,0 days 00:01:35.629000,0 days 00:00:22.674000,0 days 00:00:25.535000,0 days 00:00:47.420000,MEDIUM,5.0,,0 days 01:09:04.600000
GAS,0 days 00:01:21.958000,0 days 00:00:25.092000,0 days 00:00:25.595000,0 days 00:00:31.271000,HARD,1.0,0 days 01:09:28.165000,
GAS,0 days 00:01:18.941000,0 days 00:00:22.309000,0 days 00:00:25.238000,0 days 00:00:31.394000,HARD,2.0,,
GAS,0 days 00:01:25.744000,0 days 00:00:22.220000,0 days 00:00:25.250000,0 days 00:00:38.274000,HARD,3.0,,
GAS,0 days 00:01:48.300000,0 days 00:00:29.615000,0 days 00:00:35.859000,0 days 00:00:42.826000,HARD,4.0,,
GAS,0 days 00:01:33.442000,0 days 00:00:32.333000,0 days 00:00:29.370000,0 days 00:00:31.739000,HARD,5.0,,
GAS,0 days 00:01:18.739000,0 days 00:00:22.196000,0 days 00:00:25.263000,0 days 00:00:31.280000,HARD,6.0,,
GAS,0 days 00:01:18.675000,0 days 00:00:22.115000,0 days 00:00:25.286000,0 days 00:00:31.274000,HARD,7.0,,
GAS,0 days 00:01:18.549000,0 days 00:00:21.977000,0 days 00:00:25.349000,0 days 00:00:31.223000,HARD,8.0,,
GAS,0 days 00:01:19.232000,0 days 00:00:22.031000,0 days 00:00:25.588000,0 days 00:00:31.613000,HARD,9.0,,
GAS,0 days 00:01:18.631000,0 days 00:00:22.061000,0 days 00:00:25.166000,0 days 00:00:31.404000,HARD,10.0,,
GAS,0 days 00:01:18.645000,0 days 00:00:22.093000,0 days 00:00:25.188000,0 days 00:00:31.364000,HARD,11.0,,
GAS,0 days 00:01:18.677000,0 days 00:00:22.055000,0 days 00:00:25.190000,0 days 00:00:31.432000,HARD,12.0,,
GAS,0 days 00:01:18.993000,0 days 00:00:22.227000,0 days 00:00:25.330000,0 days 00:00:31.436000,HARD,13.0,,
GAS,0 days 00:01:33.085000,0 days 00:00:22.304000,0 days 00:00:25.707000,0 days 00:00:45.074000,HARD,14.0,,
GAS,0 days 00:01:33.501000,0 days 00:00:30.153000,0 days 00:00:31.595000,0 days 00:00:31.753000,HARD,15.0,,
GAS,0 days 00:01:18.792000,0 days 00:00:22.236000,0 days 00:00:25.216000,0 days 00:00:31.340000,HARD,16.0,,
GAS,0 days 00:01:19.086000,0 days 00:00:22.176000,0 days 00:00:25.323000,0 days 00:00:31.587000,HARD,17.0,,
