driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,25.0,Finished,,
SAI,Ferrari,3.0,2.0,19.0,Finished,,
HAM,Mercedes,4.0,3.0,15.0,Finished,,
RUS,Mercedes,8.0,4.0,12.0,Finished,,
LEC,Ferrari,19.0,5.0,10.0,Finished,,
OCO,Alpine,7.0,6.0,8.0,Finished,,
BOT,Alfa Romeo,11.0,7.0,6.0,Finished,,
ZHO,Alfa Romeo,10.0,8.0,4.0,Finished,,
ALO,Alpine,2.0,9.0,2.0,Finished,,
STR,Aston Martin,17.0,10.0,1.0,Finished,,
RIC,McLaren,9.0,11.0,0.0,Finished,,
VET,Aston Martin,16.0,12.0,0.0,Finished,,
ALB,Williams,12.0,13.0,0.0,Finished,,
GAS,AlphaTauri,15.0,14.0,0.0,Finished,,
NOR,McLaren,14.0,15.0,0.0,Finished,,
LAT,Williams,18.0,16.0,0.0,Finished,,
MAG,Haas F1 Team,5.0,17.0,0.0,Finished,,
TSU,AlphaTauri,20.0,18.0,0.0,Accident,,
MSC,Haas F1 Team,6.0,19.0,0.0,Engine,,
PER,Red Bull Racing,13.0,20.0,0.0,Gearbox,,
