Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:51.307000,,0 days 00:00:31.809000,0 days 00:00:46.739000,INTERMEDIATE,1.0,,
VER,0 days 00:02:25.995000,0 days 00:00:54.085000,0 days 00:00:47.410000,0 days 00:00:44.500000,INTERMEDIATE,2.0,,
VER,0 days 00:02:16.500000,0 days 00:00:45.833000,0 days 00:00:46.168000,0 days 00:00:44.499000,INTERMEDIATE,3.0,,
VER,0 days 00:02:27.427000,0 days 00:00:42.546000,0 days 00:00:48.335000,0 days 00:00:56.546000,INTERMEDIATE,4.0,,
VER,0 days 00:01:31.450000,0 days 00:00:29.619000,0 days 00:00:30.801000,0 days 00:00:31.030000,INTERMEDIATE,5.0,,
VER,0 days 00:01:30.444000,0 days 00:00:28.916000,0 days 00:00:30.794000,0 days 00:00:30.734000,INTERMEDIATE,6.0,,
VER,0 days 00:01:30.119000,0 days 00:00:28.780000,0 days 00:00:30.578000,0 days 00:00:30.761000,INTERMEDIATE,7.0,,
VER,0 days 00:01:30.177000,0 days 00:00:28.711000,0 days 00:00:30.861000,0 days 00:00:30.605000,INTERMEDIATE,8.0,,
VER,0 days 00:01:29.917000,0 days 00:00:28.558000,0 days 00:00:30.752000,0 days 00:00:30.607000,INTERMEDIATE,9.0,,
VER,0 days 00:01:30.351000,0 days 00:00:28.502000,0 days 00:00:30.986000,0 days 00:00:30.863000,INTERMEDIATE,10.0,,
VER,0 days 00:01:30.339000,0 days 00:00:28.559000,0 days 00:00:31.020000,0 days 00:00:30.760000,INTERMEDIATE,11.0,,
VER,0 days 00:01:30.969000,0 days 00:00:28.740000,0 days 00:00:31.237000,0 days 00:00:30.992000,INTERMEDIATE,12.0,,
VER,0 days 00:01:31.325000,0 days 00:00:28.837000,0 days 00:00:31.266000,0 days 00:00:31.222000,INTERMEDIATE,13.0,,
VER,0 days 00:01:31.889000,0 days 00:00:28.845000,0 days 00:00:31.514000,0 days 00:00:31.530000,INTERMEDIATE,14.0,,
VER,0 days 00:01:32.039000,0 days 00:00:28.888000,0 days 00:00:31.641000,0 days 00:00:31.510000,INTERMEDIATE,15.0,,
VER,0 days 00:01:32.072000,0 days 00:00:28.982000,0 days 00:00:31.717000,0 days 00:00:31.373000,INTERMEDIATE,16.0,,
VER,0 days 00:01:32.079000,0 days 00:00:29.012000,0 days 00:00:31.685000,0 days 00:00:31.382000,INTERMEDIATE,17.0,,
VER,0 days 00:01:31.440000,0 days 00:00:28.901000,0 days 00:00:31.523000,0 days 00:00:31.016000,INTERMEDIATE,18.0,,
VER,0 days 00:01:35.268000,0 days 00:00:28.695000,0 days 00:00:31.325000,0 days 00:00:35.248000,INTERMEDIATE,19.0,,0 days 01:33:50.145000
VER,0 days 00:01:54.738000,0 days 00:00:54.051000,0 days 00:00:30.671000,0 days 00:00:30.016000,MEDIUM,1.0,0 days 01:34:20.253000,
VER,0 days 00:01:25.451000,0 days 00:00:27.654000,0 days 00:00:29.187000,0 days 00:00:28.610000,MEDIUM,2.0,,
VER,0 days 00:01:23.794000,0 days 00:00:27.070000,0 days 00:00:28.586000,0 days 00:00:28.138000,MEDIUM,3.0,,
VER,0 days 00:01:22.869000,0 days 00:00:26.878000,0 days 00:00:28.284000,0 days 00:00:27.707000,MEDIUM,4.0,,
VER,0 days 00:01:22.451000,0 days 00:00:26.411000,0 days 00:00:28.233000,0 days 00:00:27.807000,MEDIUM,5.0,,
VER,0 days 00:01:22.156000,0 days 00:00:26.276000,0 days 00:00:27.926000,0 days 00:00:27.954000,MEDIUM,6.0,,
VER,0 days 00:01:21.653000,0 days 00:00:26.236000,0 days 00:00:27.987000,0 days 00:00:27.430000,MEDIUM,7.0,,
VER,0 days 00:01:21.095000,0 days 00:00:26.249000,0 days 00:00:27.758000,0 days 00:00:27.088000,MEDIUM,8.0,,
VER,0 days 00:01:20.692000,0 days 00:00:25.869000,0 days 00:00:27.788000,0 days 00:00:27.035000,MEDIUM,9.0,,
VER,0 days 00:01:20.713000,0 days 00:00:25.806000,0 days 00:00:27.797000,0 days 00:00:27.110000,MEDIUM,10.0,,
VER,0 days 00:01:20.912000,0 days 00:00:25.882000,0 days 00:00:27.839000,0 days 00:00:27.191000,MEDIUM,11.0,,
VER,0 days 00:01:20.810000,0 days 00:00:25.838000,0 days 00:00:28.019000,0 days 00:00:26.953000,MEDIUM,12.0,,
VER,0 days 00:01:20.587000,0 days 00:00:25.746000,0 days 00:00:27.796000,0 days 00:00:27.045000,MEDIUM,13.0,,
VER,0 days 00:01:20.550000,0 days 00:00:25.730000,0 days 00:00:27.904000,0 days 00:00:26.916000,MEDIUM,14.0,,
VER,0 days 00:01:20.560000,0 days 00:00:25.684000,0 days 00:00:27.850000,0 days 00:00:27.026000,MEDIUM,15.0,,
VER,0 days 00:01:20.607000,0 days 00:00:25.746000,0 days 00:00:27.885000,0 days 00:00:26.976000,MEDIUM,16.0,,
VER,0 days 00:01:20.293000,0 days 00:00:25.613000,0 days 00:00:27.766000,0 days 00:00:26.914000,MEDIUM,17.0,,
VER,0 days 00:01:20.361000,0 days 00:00:25.666000,0 days 00:00:27.814000,0 days 00:00:26.881000,MEDIUM,18.0,,
VER,0 days 00:01:20.582000,0 days 00:00:25.652000,0 days 00:00:27.885000,0 days 00:00:27.045000,MEDIUM,19.0,,
VER,0 days 00:01:20.759000,0 days 00:00:25.611000,0 days 00:00:28.006000,0 days 00:00:27.142000,MEDIUM,20.0,,
VER,0 days 00:01:21.095000,0 days 00:00:25.685000,0 days 00:00:28.045000,0 days 00:00:27.365000,MEDIUM,21.0,,
VER,0 days 00:01:20.967000,0 days 00:00:25.497000,0 days 00:00:28.178000,0 days 00:00:27.292000,MEDIUM,22.0,,
VER,0 days 00:01:20.224000,0 days 00:00:25.246000,0 days 00:00:27.950000,0 days 00:00:27.028000,MEDIUM,23.0,,
VER,0 days 00:01:20.974000,0 days 00:00:25.187000,0 days 00:00:28.029000,0 days 00:00:27.758000,MEDIUM,24.0,,
VER,0 days 00:01:20.557000,0 days 00:00:25.773000,0 days 00:00:27.882000,0 days 00:00:26.902000,MEDIUM,25.0,,
VER,0 days 00:01:20.491000,0 days 00:00:25.604000,0 days 00:00:27.885000,0 days 00:00:27.002000,MEDIUM,26.0,,
VER,0 days 00:01:20.442000,0 days 00:00:25.556000,0 days 00:00:27.871000,0 days 00:00:27.015000,MEDIUM,27.0,,
VER,0 days 00:01:20.356000,0 days 00:00:25.584000,0 days 00:00:27.840000,0 days 00:00:26.932000,MEDIUM,28.0,,
VER,0 days 00:01:20.690000,0 days 00:00:25.618000,0 days 00:00:27.963000,0 days 00:00:27.109000,MEDIUM,29.0,,
VER,0 days 00:01:20.776000,0 days 00:00:25.674000,0 days 00:00:27.928000,0 days 00:00:27.174000,MEDIUM,30.0,,
VER,0 days 00:01:21.019000,0 days 00:00:25.714000,0 days 00:00:28.058000,0 days 00:00:27.247000,MEDIUM,31.0,,
VER,0 days 00:01:25.574000,0 days 00:00:25.664000,0 days 00:00:28.348000,0 days 00:00:31.562000,MEDIUM,32.0,,0 days 02:17:44.927000
VER,0 days 00:01:44.342000,0 days 00:00:50.017000,0 days 00:00:27.690000,0 days 00:00:26.635000,SOFT,1.0,0 days 02:18:14.860000,
VER,0 days 00:01:19.309000,0 days 00:00:25.579000,0 days 00:00:27.241000,0 days 00:00:26.489000,SOFT,2.0,,
VER,0 days 00:01:21.152000,0 days 00:00:25.648000,0 days 00:00:28.265000,0 days 00:00:27.239000,SOFT,3.0,,
VER,0 days 00:01:18.446000,0 days 00:00:25.088000,0 days 00:00:27.017000,0 days 00:00:26.341000,SOFT,4.0,,
