driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,26.0,Finished,,
PER,Red Bull Racing,3.0,2.0,18.0,Finished,,
NOR,McLaren,5.0,3.0,15.0,Finished,,
RUS,Mercedes,11.0,4.0,12.0,Finished,,
BOT,Alfa Romeo,7.0,5.0,10.0,Finished,,
LEC,Ferrari,2.0,6.0,8.0,Finished,,
TSU,AlphaTauri,12.0,7.0,6.0,Finished,,
VET,Aston Martin,13.0,8.0,4.0,Finished,,
MAG,Haas F1 Team,8.0,9.0,2.0,Finished,,
STR,Aston Martin,15.0,10.0,1.0,+1 Lap,,
ALB,Williams,18.0,11.0,0.0,+1 Lap,,
GAS,AlphaTauri,17.0,12.0,0.0,+1 Lap,,
HAM,Mercedes,14.0,13.0,0.0,+1 Lap,,
OCO,Alpine,16.0,14.0,0.0,+1 Lap,,
ZHO,Alfa Romeo,0.0,15.0,0.0,+1 Lap,,
LAT,Williams,19.0,16.0,0.0,+1 Lap,,
MSC,Haas F1 Team,10.0,17.0,0.0,+1 Lap,,
RIC,McLaren,6.0,18.0,0.0,+1 Lap,,
ALO,Alpine,9.0,19.0,0.0,Collision damage,,
SAI,Ferrari,4.0,20.0,0.0,Collision,,
