driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:19.295000,0 days 00:01:18.793000,0 days 00:01:27.999000
LEC,Ferrari,2.0,0 days 00:01:18.796000,0 days 00:01:19.584000,0 days 00:01:28.778000
NOR,McLaren,3.0,0 days 00:01:20.168000,0 days 00:01:19.294000,0 days 00:01:29.131000
MAG,Haas F1 Team,4.0,0 days 00:01:20.147000,0 days 00:01:19.902000,0 days 00:01:29.164000
ALO,Alpine,5.0,0 days 00:01:20.198000,0 days 00:01:19.595000,0 days 00:01:29.202000
RIC,McLaren,6.0,0 days 00:01:19.980000,0 days 00:01:20.031000,0 days 00:01:29.742000
PER,Red Bull Racing,7.0,0 days 00:01:19.773000,0 days 00:01:19.296000,0 days 00:01:29.808000
BOT,Alfa Romeo,8.0,0 days 00:01:20.419000,0 days 00:01:20.192000,0 days 00:01:30.439000
VET,Aston Martin,9.0,0 days 00:01:20.364000,0 days 00:01:19.957000,0 days 00:01:31.062000
SAI,Ferrari,10.0,0 days 00:01:19.305000,0 days 00:01:18.990000,
RUS,Mercedes,11.0,0 days 00:01:20.383000,0 days 00:01:20.757000,
MSC,Haas F1 Team,12.0,0 days 00:01:20.422000,0 days 00:01:20.916000,
HAM,Mercedes,13.0,0 days 00:01:20.470000,0 days 00:01:21.138000,
ZHO,Alfa Romeo,14.0,0 days 00:01:19.730000,0 days 00:01:21.434000,
STR,Aston Martin,15.0,0 days 00:01:20.342000,0 days 00:01:28.119000,
TSU,AlphaTauri,16.0,0 days 00:01:20.474000,,
GAS,AlphaTauri,17.0,0 days 00:01:20.732000,,
LAT,Williams,18.0,0 days 00:01:21.971000,,
OCO,Alpine,19.0,0 days 00:01:22.338000,,
ALB,Williams,20.0,,,
