Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,,,0 days 00:00:27.840000,0 days 00:00:37.947000,SOFT,1.0,,
VER,0 days 00:02:06.591000,0 days 00:00:36.806000,0 days 00:00:49.397000,0 days 00:00:40.388000,SOFT,2.0,,
VER,0 days 00:02:09.306000,0 days 00:00:39.583000,0 days 00:00:50.474000,0 days 00:00:39.249000,SOFT,3.0,,
VER,0 days 00:02:17.148000,0 days 00:00:40.581000,0 days 00:00:45.654000,0 days 00:00:50.913000,SOFT,4.0,,
VER,0 days 00:01:19.960000,0 days 00:00:25.722000,0 days 00:00:27.654000,0 days 00:00:26.584000,SOFT,5.0,,
VER,0 days 00:01:19.396000,0 days 00:00:25.474000,0 days 00:00:27.400000,0 days 00:00:26.522000,SOFT,6.0,,
VER,0 days 00:01:19.486000,0 days 00:00:25.263000,0 days 00:00:27.526000,0 days 00:00:26.697000,SOFT,7.0,,
VER,0 days 00:01:19.375000,0 days 00:00:25.332000,0 days 00:00:27.460000,0 days 00:00:26.583000,SOFT,8.0,,
VER,0 days 00:01:19.289000,0 days 00:00:25.307000,0 days 00:00:27.431000,0 days 00:00:26.551000,SOFT,9.0,,
VER,0 days 00:01:19.245000,0 days 00:00:25.265000,0 days 00:00:27.462000,0 days 00:00:26.518000,SOFT,10.0,,
VER,0 days 00:01:19.238000,0 days 00:00:25.251000,0 days 00:00:27.426000,0 days 00:00:26.561000,SOFT,11.0,,
VER,0 days 00:01:19.263000,0 days 00:00:25.247000,0 days 00:00:27.514000,0 days 00:00:26.502000,SOFT,12.0,,
VER,0 days 00:01:19.297000,0 days 00:00:25.217000,0 days 00:00:27.536000,0 days 00:00:26.544000,SOFT,13.0,,
VER,0 days 00:01:19.154000,0 days 00:00:25.207000,0 days 00:00:27.405000,0 days 00:00:26.542000,SOFT,14.0,,
VER,0 days 00:01:19.289000,0 days 00:00:25.269000,0 days 00:00:27.455000,0 days 00:00:26.565000,SOFT,15.0,,
VER,0 days 00:01:19.201000,0 days 00:00:25.196000,0 days 00:00:27.427000,0 days 00:00:26.578000,SOFT,16.0,,
VER,0 days 00:01:19.537000,0 days 00:00:24.965000,0 days 00:00:27.748000,0 days 00:00:26.824000,SOFT,17.0,,
VER,0 days 00:01:19.822000,0 days 00:00:25.099000,0 days 00:00:27.849000,0 days 00:00:26.874000,SOFT,18.0,,
VER,0 days 00:01:20.750000,0 days 00:00:25.568000,0 days 00:00:28.093000,0 days 00:00:27.089000,SOFT,19.0,,
VER,0 days 00:01:19.769000,0 days 00:00:25.400000,0 days 00:00:27.674000,0 days 00:00:26.695000,SOFT,20.0,,
VER,0 days 00:01:19.951000,0 days 00:00:25.448000,0 days 00:00:27.679000,0 days 00:00:26.824000,SOFT,21.0,,
LEC,,,0 days 00:00:27.716000,0 days 00:00:35.674000,SOFT,1.0,,
LEC,0 days 00:02:08.047000,0 days 00:00:38.387000,0 days 00:00:50.241000,0 days 00:00:39.419000,SOFT,2.0,,
LEC,0 days 00:02:10.236000,0 days 00:00:40.093000,0 days 00:00:50.566000,0 days 00:00:39.577000,SOFT,3.0,,
LEC,0 days 00:02:17.211000,0 days 00:00:40.077000,0 days 00:00:46.156000,0 days 00:00:50.978000,SOFT,4.0,,
LEC,0 days 00:01:19.584000,0 days 00:00:25.487000,0 days 00:00:27.655000,0 days 00:00:26.442000,SOFT,5.0,,
LEC,0 days 00:01:19.335000,0 days 00:00:25.363000,0 days 00:00:27.508000,0 days 00:00:26.464000,SOFT,6.0,,
LEC,0 days 00:01:19.116000,0 days 00:00:25.254000,0 days 00:00:27.515000,0 days 00:00:26.347000,SOFT,7.0,,
LEC,0 days 00:01:19.553000,0 days 00:00:25.430000,0 days 00:00:27.617000,0 days 00:00:26.506000,SOFT,8.0,,
LEC,0 days 00:01:19.312000,0 days 00:00:25.351000,0 days 00:00:27.518000,0 days 00:00:26.443000,SOFT,9.0,,
LEC,0 days 00:01:19.142000,0 days 00:00:25.230000,0 days 00:00:27.446000,0 days 00:00:26.466000,SOFT,10.0,,
LEC,0 days 00:01:19.044000,0 days 00:00:25.181000,0 days 00:00:27.435000,0 days 00:00:26.428000,SOFT,11.0,,
LEC,0 days 00:01:19.254000,0 days 00:00:25.173000,0 days 00:00:27.598000,0 days 00:00:26.483000,SOFT,12.0,,
LEC,0 days 00:01:19.160000,0 days 00:00:25.195000,0 days 00:00:27.516000,0 days 00:00:26.449000,SOFT,13.0,,
LEC,0 days 00:01:19.490000,0 days 00:00:25.348000,0 days 00:00:27.634000,0 days 00:00:26.508000,SOFT,14.0,,
LEC,0 days 00:01:19.492000,0 days 00:00:25.231000,0 days 00:00:27.627000,0 days 00:00:26.634000,SOFT,15.0,,
LEC,0 days 00:01:19.401000,0 days 00:00:25.245000,0 days 00:00:27.553000,0 days 00:00:26.603000,SOFT,16.0,,
LEC,0 days 00:01:19.631000,0 days 00:00:25.224000,0 days 00:00:27.791000,0 days 00:00:26.616000,SOFT,17.0,,
LEC,0 days 00:01:19.938000,0 days 00:00:25.312000,0 days 00:00:27.902000,0 days 00:00:26.724000,SOFT,18.0,,
LEC,0 days 00:01:20.897000,0 days 00:00:25.781000,0 days 00:00:28.243000,0 days 00:00:26.873000,SOFT,19.0,,
LEC,0 days 00:01:21.922000,0 days 00:00:26.542000,0 days 00:00:28.249000,0 days 00:00:27.131000,SOFT,20.0,,
LEC,0 days 00:01:21.377000,0 days 00:00:25.786000,0 days 00:00:28.247000,0 days 00:00:27.344000,SOFT,21.0,,
