driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,8.0,Finished,,
LEC,Ferrari,2.0,2.0,7.0,Finished,,
PER,Red Bull Racing,7.0,3.0,6.0,Finished,,
SAI,Ferrari,10.0,4.0,5.0,Finished,,
NOR,McLaren,3.0,5.0,4.0,Finished,,
RIC,McLaren,6.0,6.0,3.0,Finished,,
BOT,Alfa Romeo,8.0,7.0,2.0,Finished,,
MAG,Haas F1 Team,4.0,8.0,1.0,Finished,,
ALO,Alpine,5.0,9.0,0.0,Finished,,
MSC,Haas F1 Team,12.0,10.0,0.0,Finished,,
RUS,Mercedes,11.0,11.0,0.0,Finished,,
TSU,AlphaTauri,16.0,12.0,0.0,Finished,,
VET,Aston Martin,9.0,13.0,0.0,Finished,,
HAM,Mercedes,13.0,14.0,0.0,Finished,,
STR,Aston Martin,15.0,15.0,0.0,Finished,,
OCO,Alpine,19.0,16.0,0.0,Finished,,
GAS,AlphaTauri,17.0,17.0,0.0,Finished,,
ALB,Williams,20.0,18.0,0.0,Finished,,
LAT,Williams,18.0,19.0,0.0,Finished,,
ZHO,Alfa Romeo,0.0,20.0,0.0,Retired,,
