Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,INTERMEDIATE,0 days 01:02:03.225000,1.0
VER,1.0,INTERMEDIATE,0 days 01:03:54.765000,2.0
VER,1.0,INTERMEDIATE,0 days 01:06:20.760000,3.0
VER,1.0,INTERMEDIATE,0 days 01:08:37.260000,4.0
VER,1.0,INTERMEDIATE,0 days 01:11:04.687000,5.0
VER,1.0,INTERMEDIATE,0 days 01:12:36.137000,6.0
VER,1.0,INTERMEDIATE,0 days 01:14:06.581000,7.0
VER,1.0,INTERMEDIATE,0 days 01:15:36.700000,8.0
VER,1.0,INTERMEDIATE,0 days 01:17:06.877000,9.0
VER,1.0,INTERMEDIATE,0 days 01:18:36.794000,10.0
VER,1.0,INTERMEDIATE,0 days 01:20:07.145000,11.0
VER,1.0,INTERMEDIATE,0 days 01:21:37.484000,12.0
VER,1.0,INTERMEDIATE,0 days 01:23:08.453000,13.0
VER,1.0,INTERMEDIATE,0 days 01:24:39.778000,14.0
VER,1.0,INTERMEDIATE,0 days 01:26:11.667000,15.0
VER,1.0,INTERMEDIATE,0 days 01:27:43.706000,16.0
VER,1.0,INTERMEDIATE,0 days 01:29:15.778000,17.0
VER,1.0,INTERMEDIATE,0 days 01:30:47.857000,18.0
VER,1.0,INTERMEDIATE,0 days 01:32:19.297000,19.0
VER,2.0,MEDIUM,0 days 01:33:54.565000,1.0
VER,2.0,MEDIUM,0 days 01:35:49.303000,2.0
VER,2.0,MEDIUM,0 days 01:37:14.754000,3.0
VER,2.0,MEDIUM,0 days 01:38:38.548000,4.0
VER,2.0,MEDIUM,0 days 01:40:01.417000,5.0
VER,2.0,MEDIUM,0 days 01:41:23.868000,6.0
VER,2.0,MEDIUM,0 days 01:42:46.024000,7.0
VER,2.0,MEDIUM,0 days 01:44:07.677000,8.0
VER,2.0,MEDIUM,0 days 01:45:28.772000,9.0
VER,2.0,MEDIUM,0 days 01:46:49.464000,10.0
VER,2.0,MEDIUM,0 days 01:48:10.177000,11.0
VER,2.0,MEDIUM,0 days 01:49:31.089000,12.0
VER,2.0,MEDIUM,0 days 01:50:51.899000,13.0
VER,2.0,MEDIUM,0 days 01:52:12.486000,14.0
VER,2.0,MEDIUM,0 days 01:53:33.036000,15.0
VER,2.0,MEDIUM,0 days 01:54:53.596000,16.0
VER,2.0,MEDIUM,0 days 01:56:14.203000,17.0
VER,2.0,MEDIUM,0 days 01:57:34.496000,18.0
VER,2.0,MEDIUM,0 days 01:58:54.857000,19.0
VER,2.0,MEDIUM,0 days 02:00:15.439000,20.0
VER,2.0,MEDIUM,0 days 02:01:36.198000,21.0
VER,2.0,MEDIUM,0 days 02:02:57.293000,22.0
VER,2.0,MEDIUM,0 days 02:04:18.260000,23.0
VER,2.0,MEDIUM,0 days 02:05:38.484000,24.0
VER,2.0,MEDIUM,0 days 02:06:59.458000,25.0
VER,2.0,MEDIUM,0 days 02:08:20.015000,26.0
VER,2.0,MEDIUM,0 days 02:09:40.506000,27.0
VER,2.0,MEDIUM,0 days 02:11:00.948000,28.0
VER,2.0,MEDIUM,0 days 02:12:21.304000,29.0
VER,2.0,MEDIUM,0 days 02:13:41.994000,30.0
VER,2.0,MEDIUM,0 days 02:15:02.770000,31.0
VER,2.0,MEDIUM,0 days 02:16:23.789000,32.0
VER,3.0,SOFT,0 days 02:17:49.363000,1.0
VER,3.0,SOFT,0 days 02:19:33.705000,2.0
VER,3.0,SOFT,0 days 02:20:53.014000,3.0
VER,3.0,SOFT,0 days 02:22:14.166000,4.0
VER,3.0,SOFT,0 days 02:23:32.612000,5.0
VER,3.0,SOFT,0 days 02:24:52.115000,6.0
VER,3.0,SOFT,0 days 02:26:12.697000,7.0
VER,3.0,SOFT,0 days 02:27:32.023000,8.0
VER,3.0,SOFT,0 days 02:28:51.864000,9.0
VER,3.0,SOFT,0 days 02:30:11.733000,10.0
VER,3.0,SOFT,0 days 02:31:31.680000,11.0
VER,3.0,SOFT,0 days 02:32:51.289000,12.0
PER,1.0,INTERMEDIATE,0 days 01:02:03.225000,1.0
PER,1.0,INTERMEDIATE,0 days 01:03:55.958000,2.0
PER,1.0,INTERMEDIATE,0 days 01:06:21.960000,3.0
PER,1.0,INTERMEDIATE,0 days 01:08:39.770000,4.0
PER,1.0,INTERMEDIATE,0 days 01:11:05.200000,5.0
PER,1.0,INTERMEDIATE,0 days 01:12:37.909000,6.0
PER,1.0,INTERMEDIATE,0 days 01:14:08.913000,7.0
PER,1.0,INTERMEDIATE,0 days 01:15:39.911000,8.0
PER,1.0,INTERMEDIATE,0 days 01:17:10.131000,9.0
PER,1.0,INTERMEDIATE,0 days 01:18:40.693000,10.0
PER,1.0,INTERMEDIATE,0 days 01:20:11.090000,11.0
PER,1.0,INTERMEDIATE,0 days 01:21:42.119000,12.0
PER,1.0,INTERMEDIATE,0 days 01:23:13.916000,13.0
PER,1.0,INTERMEDIATE,0 days 01:24:45.385000,14.0
PER,1.0,INTERMEDIATE,0 days 01:26:17.187000,15.0
PER,1.0,INTERMEDIATE,0 days 01:27:49.935000,16.0
PER,1.0,INTERMEDIATE,0 days 01:29:22.221000,17.0
PER,1.0,INTERMEDIATE,0 days 01:30:54.543000,18.0
PER,2.0,MEDIUM,0 days 01:32:31.437000,1.0
PER,2.0,MEDIUM,0 days 01:34:28.508000,2.0
PER,2.0,MEDIUM,0 days 01:35:56.858000,3.0
PER,2.0,MEDIUM,0 days 01:37:22.386000,4.0
PER,2.0,MEDIUM,0 days 01:38:46.588000,5.0
PER,2.0,MEDIUM,0 days 01:40:09.171000,6.0
PER,2.0,MEDIUM,0 days 01:41:31.048000,7.0
PER,2.0,MEDIUM,0 days 01:42:53.030000,8.0
PER,2.0,MEDIUM,0 days 01:44:14.367000,9.0
PER,2.0,MEDIUM,0 days 01:45:35.548000,10.0
PER,2.0,MEDIUM,0 days 01:46:58.353000,11.0
PER,2.0,MEDIUM,0 days 01:48:19.683000,12.0
PER,2.0,MEDIUM,0 days 01:49:41.066000,13.0
PER,2.0,MEDIUM,0 days 01:51:02.219000,14.0
PER,2.0,MEDIUM,0 days 01:52:23.097000,15.0
PER,2.0,MEDIUM,0 days 01:53:43.908000,16.0
PER,2.0,MEDIUM,0 days 01:55:04.593000,17.0
PER,2.0,MEDIUM,0 days 01:56:25.297000,18.0
PER,2.0,MEDIUM,0 days 01:57:46.148000,19.0
PER,2.0,MEDIUM,0 days 01:59:07.496000,20.0
PER,2.0,MEDIUM,0 days 02:00:28.144000,21.0
PER,2.0,MEDIUM,0 days 02:01:48.580000,22.0
PER,2.0,MEDIUM,0 days 02:03:09.014000,23.0
PER,2.0,MEDIUM,0 days 02:04:29.766000,24.0
PER,2.0,MEDIUM,0 days 02:05:50.244000,25.0
PER,2.0,MEDIUM,0 days 02:07:10.810000,26.0
PER,2.0,MEDIUM,0 days 02:08:31.491000,27.0
PER,2.0,MEDIUM,0 days 02:09:52.483000,28.0
PER,2.0,MEDIUM,0 days 02:11:13.353000,29.0
PER,2.0,MEDIUM,0 days 02:12:34.261000,30.0
PER,2.0,MEDIUM,0 days 02:13:55.530000,31.0
PER,2.0,MEDIUM,0 days 02:15:17.003000,32.0
PER,3.0,SOFT,0 days 02:16:43.081000,1.0
PER,3.0,SOFT,0 days 02:18:27.920000,2.0
PER,3.0,SOFT,0 days 02:19:46.869000,3.0
PER,3.0,SOFT,0 days 02:21:06.305000,4.0
PER,3.0,SOFT,0 days 02:22:25.673000,5.0
PER,3.0,SOFT,0 days 02:23:45.883000,6.0
PER,3.0,SOFT,0 days 02:25:05.764000,7.0
PER,3.0,SOFT,0 days 02:26:25.556000,8.0
PER,3.0,SOFT,0 days 02:27:45.592000,9.0
PER,3.0,SOFT,0 days 02:29:05.432000,10.0
PER,3.0,SOFT,0 days 02:30:25.348000,11.0
PER,3.0,SOFT,0 days 02:31:45.452000,12.0
PER,3.0,SOFT,0 days 02:33:06.204000,13.0
NOR,1.0,INTERMEDIATE,0 days 01:02:03.225000,1.0
NOR,1.0,INTERMEDIATE,0 days 01:03:58.084000,2.0
NOR,1.0,INTERMEDIATE,0 days 01:06:24.455000,3.0
NOR,1.0,INTERMEDIATE,0 days 01:08:42.813000,4.0
NOR,1.0,INTERMEDIATE,0 days 01:11:05.964000,5.0
NOR,1.0,INTERMEDIATE,0 days 01:12:39.359000,6.0
NOR,1.0,INTERMEDIATE,0 days 01:14:10.618000,7.0
NOR,1.0,INTERMEDIATE,0 days 01:15:41.833000,8.0
NOR,1.0,INTERMEDIATE,0 days 01:17:14.995000,9.0
NOR,1.0,INTERMEDIATE,0 days 01:18:46.033000,10.0
NOR,1.0,INTERMEDIATE,0 days 01:20:17.449000,11.0
NOR,1.0,INTERMEDIATE,0 days 01:21:50.086000,12.0
NOR,1.0,INTERMEDIATE,0 days 01:23:23.054000,13.0
NOR,1.0,INTERMEDIATE,0 days 01:24:55.863000,14.0
NOR,1.0,INTERMEDIATE,0 days 01:26:28.547000,15.0
NOR,1.0,INTERMEDIATE,0 days 01:28:01.599000,16.0
NOR,1.0,INTERMEDIATE,0 days 01:29:34.240000,17.0
