driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
LEC,Ferrari,1.0,0 days 00:01:31.727000,0 days 00:01:31.216000,0 days 00:01:30.872000
VER,Red Bull Racing,2.0,0 days 00:01:31.891000,0 days 00:01:31.990000,0 days 00:01:31.176000
PER,Red Bull Racing,3.0,0 days 00:01:32.354000,0 days 00:01:32.120000,0 days 00:01:31.335000
HAM,Mercedes,4.0,0 days 00:01:33.041000,0 days 00:01:32.274000,0 days 00:01:31.765000
NOR,McLaren,5.0,0 days 00:01:32.672000,0 days 00:01:32.777000,0 days 00:01:32.032000
RUS,Mercedes,6.0,0 days 00:01:33.109000,0 days 00:01:32.633000,0 days 00:01:32.131000
ALO,Alpine,7.0,0 days 00:01:32.819000,0 days 00:01:32.631000,0 days 00:01:32.552000
TSU,AlphaTauri,8.0,0 days 00:01:33.394000,0 days 00:01:32.836000,0 days 00:01:32.780000
SAI,Ferrari,9.0,0 days 00:01:32.297000,0 days 00:01:31.081000,
MAG,Haas F1 Team,10.0,0 days 00:01:32.756000,0 days 00:01:32.649000,
RIC,McLaren,11.0,0 days 00:01:33.404000,0 days 00:01:32.922000,
OCO,Alpine,12.0,0 days 00:01:33.346000,0 days 00:01:33.048000,
BOT,Alfa Romeo,13.0,0 days 00:01:33.034000,0 days 00:01:33.052000,
VET,Aston Martin,14.0,0 days 00:01:33.285000,0 days 00:01:33.276000,
ALB,Williams,15.0,0 days 00:01:33.423000,0 days 00:01:33.307000,
GAS,AlphaTauri,16.0,0 days 00:01:33.439000,,
STR,Aston Martin,17.0,0 days 00:01:33.439000,,
ZHO,Alfa Romeo,18.0,0 days 00:01:33.674000,,
MSC,Haas F1 Team,19.0,0 days 00:01:33.701000,,
LAT,Williams,20.0,0 days 00:01:33.794000,,
