Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:44.415000,,0 days 00:00:29.745000,0 days 00:00:43.526000,MEDIUM,1.0,,
VER,0 days 00:01:38.330000,0 days 00:00:25.101000,0 days 00:00:29.683000,0 days 00:00:43.546000,MEDIUM,2.0,,
VER,0 days 00:01:38.117000,0 days 00:00:24.930000,0 days 00:00:29.604000,0 days 00:00:43.583000,MEDIUM,3.0,,
VER,0 days 00:01:38.390000,0 days 00:00:25.088000,0 days 00:00:29.607000,0 days 00:00:43.695000,MEDIUM,4.0,,
VER,0 days 00:01:38.720000,0 days 00:00:25.082000,0 days 00:00:29.713000,0 days 00:00:43.925000,MEDIUM,5.0,,
VER,0 days 00:01:38.634000,0 days 00:00:25.036000,0 days 00:00:29.828000,0 days 00:00:43.770000,MEDIUM,6.0,,
VER,0 days 00:01:39.219000,0 days 00:00:25.215000,0 days 00:00:30.021000,0 days 00:00:43.983000,MEDIUM,7.0,,
VER,0 days 00:01:39.159000,0 days 00:00:25.264000,0 days 00:00:29.965000,0 days 00:00:43.930000,MEDIUM,8.0,,
VER,0 days 00:01:39.130000,0 days 00:00:25.135000,0 days 00:00:29.977000,0 days 00:00:44.018000,MEDIUM,9.0,,
VER,0 days 00:01:39.043000,0 days 00:00:25.203000,0 days 00:00:30.111000,0 days 00:00:43.729000,MEDIUM,10.0,,
VER,0 days 00:01:39.285000,0 days 00:00:25.217000,0 days 00:00:29.877000,0 days 00:00:44.191000,MEDIUM,11.0,,
VER,0 days 00:01:39.109000,0 days 00:00:25.137000,0 days 00:00:29.886000,0 days 00:00:44.086000,MEDIUM,12.0,,
VER,0 days 00:01:39.026000,0 days 00:00:25.144000,0 days 00:00:29.994000,0 days 00:00:43.888000,MEDIUM,13.0,,
VER,0 days 00:01:39.276000,0 days 00:00:25.287000,0 days 00:00:30.127000,0 days 00:00:43.862000,MEDIUM,14.0,,
VER,0 days 00:01:39.102000,0 days 00:00:25.280000,0 days 00:00:29.990000,0 days 00:00:43.832000,MEDIUM,15.0,,
VER,0 days 00:01:57.773000,0 days 00:00:25.088000,0 days 00:00:30.045000,0 days 00:01:02.640000,MEDIUM,16.0,,0 days 01:08:58.183000
VER,0 days 00:01:45.628000,0 days 00:00:32.801000,0 days 00:00:29.770000,0 days 00:00:43.057000,HARD,1.0,0 days 01:09:33.449000,
VER,0 days 00:01:52.410000,0 days 00:00:24.659000,0 days 00:00:29.665000,0 days 00:00:58.086000,HARD,2.0,,
VER,,0 days 00:00:39.520000,0 days 00:00:47.671000,0 days 00:01:10.159000,HARD,3.0,,
VER,,0 days 00:00:35.510000,0 days 00:00:41.360000,0 days 00:01:14.657000,HARD,4.0,,
VER,0 days 00:01:37.701000,0 days 00:00:24.764000,0 days 00:00:29.650000,0 days 00:00:43.287000,HARD,5.0,,
VER,0 days 00:01:37.774000,0 days 00:00:24.831000,0 days 00:00:29.710000,0 days 00:00:43.233000,HARD,6.0,,
VER,0 days 00:01:38.273000,0 days 00:00:25.023000,0 days 00:00:29.730000,0 days 00:00:43.520000,HARD,7.0,,
VER,0 days 00:01:38.009000,0 days 00:00:24.835000,0 days 00:00:29.599000,0 days 00:00:43.575000,HARD,8.0,,
VER,0 days 00:01:38.344000,0 days 00:00:24.922000,0 days 00:00:29.786000,0 days 00:00:43.636000,HARD,9.0,,
VER,0 days 00:01:37.950000,0 days 00:00:24.739000,0 days 00:00:29.721000,0 days 00:00:43.490000,HARD,10.0,,
VER,0 days 00:01:37.967000,0 days 00:00:24.995000,0 days 00:00:29.696000,0 days 00:00:43.276000,HARD,11.0,,
