driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,2.0,1.0,25.0,Finished,,
HAM,Mercedes,4.0,2.0,18.0,Finished,,
RUS,Mercedes,6.0,3.0,15.0,Finished,,
PER,Red Bull Racing,3.0,4.0,12.0,Finished,,
SAI,Ferrari,19.0,5.0,11.0,Finished,,
ALO,Alpine,7.0,6.0,8.0,Finished,,
NOR,McLaren,5.0,7.0,6.0,Finished,,
OCO,Alpine,10.0,8.0,4.0,Finished,,
RIC,McLaren,9.0,9.0,2.0,Finished,,
STR,Aston Martin,15.0,10.0,1.0,Finished,,
VET,Aston Martin,12.0,11.0,0.0,Finished,,
GAS,AlphaTauri,14.0,12.0,0.0,Finished,,
ALB,Williams,13.0,13.0,0.0,Finished,,
BOT,Alfa Romeo,11.0,14.0,0.0,Finished,,
MSC,Haas F1 Team,17.0,15.0,0.0,Finished,,
ZHO,Alfa Romeo,16.0,16.0,0.0,+6 Laps,,
LAT,Williams,18.0,17.0,0.0,Collision damage,,
MAG,Haas F1 Team,20.0,18.0,0.0,Collision damage,,
LEC,Ferrari,1.0,19.0,0.0,Accident,,
TSU,AlphaTauri,8.0,20.0,0.0,Undertray,,
