Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 00:42:40.279000,1.0
VER,1.0,MEDIUM,0 days 00:44:24.903000,2.0
VER,1.0,MEDIUM,0 days 00:46:03.233000,3.0
VER,1.0,MEDIUM,0 days 00:47:41.350000,4.0
VER,1.0,MEDIUM,0 days 00:49:19.740000,5.0
VER,1.0,MEDIUM,0 days 00:50:58.460000,6.0
VER,1.0,MEDIUM,0 days 00:52:37.094000,7.0
VER,1.0,MEDIUM,0 days 00:54:16.313000,8.0
VER,1.0,MEDIUM,0 days 00:55:55.472000,9.0
VER,1.0,MEDIUM,0 days 00:57:34.602000,10.0
VER,1.0,MEDIUM,0 days 00:59:13.645000,11.0
VER,1.0,MEDIUM,0 days 01:00:52.930000,12.0
VER,1.0,MEDIUM,0 days 01:02:32.039000,13.0
VER,1.0,MEDIUM,0 days 01:04:11.065000,14.0
VER,1.0,MEDIUM,0 days 01:05:50.341000,15.0
VER,1.0,MEDIUM,0 days 01:07:29.443000,16.0
VER,2.0,HARD,0 days 01:09:27.216000,1.0
VER,2.0,HARD,0 days 01:11:12.844000,2.0
VER,2.0,HARD,0 days 01:13:05.254000,3.0
VER,2.0,HARD,0 days 01:15:42.617000,4.0
VER,2.0,HARD,0 days 01:18:14.134000,5.0
VER,2.0,HARD,0 days 01:19:51.835000,6.0
VER,2.0,HARD,0 days 01:21:29.609000,7.0
VER,2.0,HARD,0 days 01:23:07.882000,8.0
VER,2.0,HARD,0 days 01:24:45.891000,9.0
VER,2.0,HARD,0 days 01:26:24.235000,10.0
VER,2.0,HARD,0 days 01:28:02.185000,11.0
VER,2.0,HARD,0 days 01:29:40.152000,12.0
VER,2.0,HARD,0 days 01:31:17.848000,13.0
VER,2.0,HARD,0 days 01:32:55.543000,14.0
VER,2.0,HARD,0 days 01:34:33.034000,15.0
VER,2.0,HARD,0 days 01:36:10.820000,16.0
VER,2.0,HARD,0 days 01:37:48.624000,17.0
VER,2.0,HARD,0 days 01:39:26.524000,18.0
VER,2.0,HARD,0 days 01:41:04.435000,19.0
VER,2.0,HARD,0 days 01:42:42.736000,20.0
VER,2.0,HARD,0 days 01:44:20.789000,21.0
VER,2.0,HARD,0 days 01:45:59.059000,22.0
VER,2.0,HARD,0 days 01:47:36.742000,23.0
VER,2.0,HARD,0 days 01:49:14.769000,24.0
VER,2.0,HARD,0 days 01:50:52.607000,25.0
VER,2.0,HARD,0 days 01:52:30.343000,26.0
VER,2.0,HARD,0 days 01:54:08.179000,27.0
VER,2.0,HARD,0 days 01:55:45.821000,28.0
VER,2.0,HARD,0 days 01:57:23.840000,29.0
VER,2.0,HARD,0 days 01:59:01.696000,30.0
VER,2.0,HARD,0 days 02:00:39.938000,31.0
VER,2.0,HARD,0 days 02:02:18.011000,32.0
VER,2.0,HARD,0 days 02:03:55.956000,33.0
VER,2.0,HARD,0 days 02:05:34.688000,34.0
VER,2.0,HARD,0 days 02:07:46.780000,35.0
VER,2.0,HARD,0 days 02:09:25.873000,36.0
VER,2.0,HARD,0 days 02:11:04.161000,37.0
GAS,1.0,HARD,0 days 00:42:40.279000,1.0
GAS,1.0,HARD,0 days 00:44:34.628000,2.0
GAS,1.0,HARD,0 days 00:46:16.802000,3.0
GAS,1.0,HARD,0 days 00:47:58.647000,4.0
GAS,1.0,HARD,0 days 00:49:39.414000,5.0
GAS,1.0,HARD,0 days 00:51:20.203000,6.0
GAS,1.0,HARD,0 days 00:53:01.004000,7.0
GAS,1.0,HARD,0 days 00:54:42.084000,8.0
GAS,1.0,HARD,0 days 00:56:22.702000,9.0
GAS,1.0,HARD,0 days 00:58:03.432000,10.0
GAS,1.0,HARD,0 days 00:59:44.640000,11.0
