driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
RUS,Mercedes,1.0,0 days 00:01:18.407000,0 days 00:01:18.154000,0 days 00:01:17.377000
SAI,Ferrari,2.0,0 days 00:01:18.434000,0 days 00:01:17.946000,0 days 00:01:17.421000
LEC,Ferrari,3.0,0 days 00:01:18.806000,0 days 00:01:17.768000,0 days 00:01:17.567000
NOR,McLaren,4.0,0 days 00:01:18.653000,0 days 00:01:18.121000,0 days 00:01:17.769000
OCO,Alpine,5.0,0 days 00:01:18.866000,0 days 00:01:18.216000,0 days 00:01:18.018000
ALO,Alpine,6.0,0 days 00:01:18.716000,0 days 00:01:17.904000,0 days 00:01:18.078000
HAM,Mercedes,7.0,0 days 00:01:18.374000,0 days 00:01:18.035000,0 days 00:01:18.142000
BOT,Alfa Romeo,8.0,0 days 00:01:18.935000,0 days 00:01:18.445000,0 days 00:01:18.157000
RIC,McLaren,9.0,0 days 00:01:18.775000,0 days 00:01:18.198000,0 days 00:01:18.379000
VER,Red Bull Racing,10.0,0 days 00:01:18.509000,0 days 00:01:17.703000,0 days 00:01:18.823000
PER,Red Bull Racing,11.0,0 days 00:01:19.118000,0 days 00:01:18.516000,
ZHO,Alfa Romeo,12.0,0 days 00:01:18.973000,0 days 00:01:18.573000,
MAG,Haas F1 Team,13.0,0 days 00:01:18.993000,0 days 00:01:18.825000,
STR,Aston Martin,14.0,0 days 00:01:19.205000,0 days 00:01:19.137000,
MSC,Haas F1 Team,15.0,0 days 00:01:19.164000,0 days 00:01:19.202000,
TSU,AlphaTauri,16.0,0 days 00:01:19.240000,,
ALB,Williams,17.0,0 days 00:01:19.256000,,
VET,Aston Martin,18.0,0 days 00:01:19.273000,,
GAS,AlphaTauri,19.0,0 days 00:01:19.527000,,
LAT,Williams,20.0,0 days 00:01:19.570000,,
