Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:36.512000,,0 days 00:00:32.843000,0 days 00:00:26.532000,SOFT,2.0,,
VER,0 days 00:01:54.460000,0 days 00:00:48.472000,0 days 00:00:33.956000,0 days 00:00:32.032000,SOFT,3.0,,
VER,0 days 00:01:28.191000,0 days 00:00:33.699000,0 days 00:00:30.743000,0 days 00:00:23.749000,SOFT,4.0,,
VER,0 days 00:01:25.058000,0 days 00:00:30.148000,0 days 00:00:31.114000,0 days 00:00:23.796000,SOFT,5.0,,
VER,0 days 00:01:24.121000,0 days 00:00:29.811000,0 days 00:00:30.698000,0 days 00:00:23.612000,SOFT,6.0,,
VER,0 days 00:01:24.804000,0 days 00:00:29.825000,0 days 00:00:31.013000,0 days 00:00:23.966000,SOFT,7.0,,
VER,0 days 00:01:24.079000,0 days 00:00:29.722000,0 days 00:00:30.642000,0 days 00:00:23.715000,SOFT,8.0,,
VER,0 days 00:01:24.156000,0 days 00:00:29.928000,0 days 00:00:30.448000,0 days 00:00:23.780000,SOFT,9.0,,
VER,0 days 00:01:24.097000,0 days 00:00:29.970000,0 days 00:00:30.455000,0 days 00:00:23.672000,SOFT,10.0,,
VER,0 days 00:01:24.566000,0 days 00:00:30.008000,0 days 00:00:30.715000,0 days 00:00:23.843000,SOFT,11.0,,
VER,0 days 00:01:25.356000,0 days 00:00:29.826000,0 days 00:00:31.479000,0 days 00:00:24.051000,SOFT,12.0,,
VER,0 days 00:01:24.605000,0 days 00:00:29.842000,0 days 00:00:31.033000,0 days 00:00:23.730000,SOFT,13.0,,
VER,0 days 00:01:24.529000,0 days 00:00:30.151000,0 days 00:00:30.513000,0 days 00:00:23.865000,SOFT,14.0,,
VER,0 days 00:01:24.680000,0 days 00:00:30.068000,0 days 00:00:30.601000,0 days 00:00:24.011000,SOFT,15.0,,
VER,0 days 00:01:24.647000,0 days 00:00:30.093000,0 days 00:00:30.693000,0 days 00:00:23.861000,SOFT,16.0,,
VER,0 days 00:01:27.314000,0 days 00:00:30.047000,0 days 00:00:31.112000,0 days 00:00:26.155000,SOFT,17.0,,0 days 01:25:25.505000
VER,0 days 00:01:40.172000,0 days 00:00:47.824000,0 days 00:00:29.289000,0 days 00:00:23.059000,MEDIUM,1.0,0 days 01:25:46.853000,
VER,0 days 00:01:23.082000,0 days 00:00:29.740000,0 days 00:00:29.957000,0 days 00:00:23.385000,MEDIUM,2.0,,
VER,0 days 00:01:23.471000,0 days 00:00:29.787000,0 days 00:00:30.251000,0 days 00:00:23.433000,MEDIUM,3.0,,
VER,0 days 00:01:23.954000,0 days 00:00:29.494000,0 days 00:00:30.838000,0 days 00:00:23.622000,MEDIUM,4.0,,
