driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,10.0,1.0,25.0,Finished,,
HAM,Mercedes,7.0,2.0,19.0,Finished,,
RUS,Mercedes,1.0,3.0,15.0,Finished,,
SAI,Ferrari,2.0,4.0,12.0,Finished,,
PER,Red Bull Racing,11.0,5.0,10.0,Finished,,
LEC,Ferrari,3.0,6.0,8.0,Finished,,
NOR,McLaren,4.0,7.0,6.0,Finished,,
ALO,Alpine,6.0,8.0,4.0,+1 Lap,,
OCO,Alpine,5.0,9.0,2.0,+1 Lap,,
VET,Aston Martin,18.0,10.0,1.0,+1 Lap,,
STR,Aston Martin,14.0,11.0,0.0,+1 Lap,,
GAS,AlphaTauri,0.0,12.0,0.0,+1 Lap,,
ZHO,Alfa Romeo,12.0,13.0,0.0,+1 Lap,,
MSC,Haas F1 Team,15.0,14.0,0.0,+1 Lap,,
RIC,McLaren,9.0,15.0,0.0,+1 Lap,,
MAG,Haas F1 Team,13.0,16.0,0.0,+1 Lap,,
ALB,Williams,17.0,17.0,0.0,+1 Lap,,
LAT,Williams,19.0,18.0,0.0,+1 Lap,,
TSU,AlphaTauri,16.0,19.0,0.0,+2 Laps,,
BOT,Alfa Romeo,8.0,20.0,0.0,Power Unit,,
