Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:30.827000,,0 days 00:00:30.903000,0 days 00:00:28.827000,SOFT,1.0,,
VER,0 days 00:01:26.401000,0 days 00:00:28.387000,0 days 00:00:29.504000,0 days 00:00:28.510000,SOFT,2.0,,
VER,0 days 00:01:26.181000,0 days 00:00:28.205000,0 days 00:00:29.457000,0 days 00:00:28.519000,SOFT,3.0,,
VER,0 days 00:01:25.782000,0 days 00:00:27.936000,0 days 00:00:29.170000,0 days 00:00:28.676000,SOFT,4.0,,
VER,0 days 00:01:25.512000,0 days 00:00:27.904000,0 days 00:00:29.341000,0 days 00:00:28.267000,SOFT,5.0,,
VER,0 days 00:01:25.660000,0 days 00:00:28.188000,0 days 00:00:29.273000,0 days 00:00:28.199000,SOFT,6.0,,
VER,0 days 00:01:25.297000,0 days 00:00:28.071000,0 days 00:00:29.065000,0 days 00:00:28.161000,SOFT,7.0,,
VER,0 days 00:01:25.618000,0 days 00:00:28.020000,0 days 00:00:29.303000,0 days 00:00:28.295000,SOFT,8.0,,
VER,0 days 00:01:25.886000,0 days 00:00:28.062000,0 days 00:00:29.337000,0 days 00:00:28.487000,SOFT,9.0,,
VER,0 days 00:01:25.953000,0 days 00:00:28.097000,0 days 00:00:29.415000,0 days 00:00:28.441000,SOFT,10.0,,
VER,0 days 00:01:25.858000,0 days 00:00:28.012000,0 days 00:00:29.461000,0 days 00:00:28.385000,SOFT,11.0,,
VER,0 days 00:01:47.245000,0 days 00:00:28.054000,0 days 00:00:39.612000,0 days 00:00:39.579000,SOFT,12.0,,
VER,0 days 00:01:28.719000,0 days 00:00:30.937000,0 days 00:00:29.383000,0 days 00:00:28.399000,SOFT,13.0,,
VER,0 days 00:01:25.615000,0 days 00:00:28.139000,0 days 00:00:29.153000,0 days 00:00:28.323000,SOFT,14.0,,
VER,0 days 00:01:25.794000,0 days 00:00:28.218000,0 days 00:00:29.284000,0 days 00:00:28.292000,SOFT,15.0,,
VER,0 days 00:01:25.903000,0 days 00:00:28.244000,0 days 00:00:29.252000,0 days 00:00:28.407000,SOFT,16.0,,
VER,0 days 00:01:25.870000,0 days 00:00:28.220000,0 days 00:00:29.382000,0 days 00:00:28.268000,SOFT,17.0,,
VER,0 days 00:01:25.985000,0 days 00:00:28.295000,0 days 00:00:29.373000,0 days 00:00:28.317000,SOFT,18.0,,
VER,0 days 00:01:25.799000,0 days 00:00:28.199000,0 days 00:00:29.274000,0 days 00:00:28.326000,SOFT,19.0,,
VER,0 days 00:01:25.750000,0 days 00:00:28.151000,0 days 00:00:29.329000,0 days 00:00:28.270000,SOFT,20.0,,
VER,0 days 00:01:25.790000,0 days 00:00:28.178000,0 days 00:00:29.399000,0 days 00:00:28.213000,SOFT,21.0,,
VER,0 days 00:01:25.901000,0 days 00:00:28.136000,0 days 00:00:29.482000,0 days 00:00:28.283000,SOFT,22.0,,
VER,0 days 00:01:25.719000,0 days 00:00:28.199000,0 days 00:00:29.376000,0 days 00:00:28.144000,SOFT,23.0,,
VER,0 days 00:01:25.800000,0 days 00:00:28.223000,0 days 00:00:29.331000,0 days 00:00:28.246000,SOFT,24.0,,
VER,0 days 00:01:29.712000,0 days 00:00:28.158000,0 days 00:00:29.438000,0 days 00:00:32.116000,SOFT,25.0,,0 days 01:38:43.185000
VER,0 days 00:01:45.038000,0 days 00:00:47.819000,0 days 00:00:29.149000,0 days 00:00:28.070000,MEDIUM,1.0,0 days 01:39:06.978000,
VER,0 days 00:01:25.012000,0 days 00:00:28.035000,0 days 00:00:28.872000,0 days 00:00:28.105000,MEDIUM,2.0,,
VER,0 days 00:01:25.190000,0 days 00:00:28.036000,0 days 00:00:29.111000,0 days 00:00:28.043000,MEDIUM,3.0,,
VER,0 days 00:01:24.829000,0 days 00:00:28.022000,0 days 00:00:28.944000,0 days 00:00:27.863000,MEDIUM,4.0,,
VER,0 days 00:01:24.798000,0 days 00:00:27.941000,0 days 00:00:28.899000,0 days 00:00:27.958000,MEDIUM,5.0,,
VER,0 days 00:01:25.071000,0 days 00:00:27.980000,0 days 00:00:29.010000,0 days 00:00:28.081000,MEDIUM,6.0,,
VER,0 days 00:01:24.918000,0 days 00:00:27.843000,0 days 00:00:29.079000,0 days 00:00:27.996000,MEDIUM,7.0,,
VER,0 days 00:01:25.095000,0 days 00:00:28.065000,0 days 00:00:29.092000,0 days 00:00:27.938000,MEDIUM,8.0,,
VER,0 days 00:01:24.857000,0 days 00:00:28.005000,0 days 00:00:28.883000,0 days 00:00:27.969000,MEDIUM,9.0,,
VER,0 days 00:01:24.831000,0 days 00:00:27.956000,0 days 00:00:28.979000,0 days 00:00:27.896000,MEDIUM,10.0,,
VER,0 days 00:01:24.919000,0 days 00:00:27.915000,0 days 00:00:28.931000,0 days 00:00:28.073000,MEDIUM,11.0,,
