driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,7.0,1.0,25.0,Finished,,
LEC,Ferrari,1.0,2.0,18.0,Finished,,
RUS,Mercedes,2.0,3.0,15.0,Finished,,
SAI,Ferrari,18.0,4.0,12.0,Finished,,
HAM,Mercedes,19.0,5.0,10.0,Finished,,
PER,Red Bull Racing,13.0,6.0,9.0,Finished,,
NOR,McLaren,3.0,7.0,6.0,Finished,,
GAS,AlphaTauri,5.0,8.0,4.0,Finished,,
DEV,Williams,8.0,9.0,2.0,Finished,,
ZHO,Alfa Romeo,9.0,10.0,1.0,Finished,,
OCO,Alpine,14.0,11.0,0.0,Finished,,
MSC,Haas F1 Team,17.0,12.0,0.0,Finished,,
BOT,Alfa Romeo,15.0,13.0,0.0,+1 Lap,,
TSU,AlphaTauri,20.0,14.0,0.0,+1 Lap,,
LAT,Williams,10.0,15.0,0.0,+1 Lap,,
MAG,Haas F1 Team,16.0,16.0,0.0,+1 Lap,,
RIC,McLaren,4.0,17.0,0.0,Oil leak,,
STR,Aston Martin,12.0,18.0,0.0,Engine,,
ALO,Alpine,6.0,19.0,0.0,Water pressure,,
VET,Aston Martin,11.0,20.0,0.0,Engine,,
