driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:30.224000,0 days 00:01:30.346000,0 days 00:01:29.304000
LEC,Ferrari,2.0,0 days 00:01:30.402000,0 days 00:01:30.486000,0 days 00:01:29.314000
SAI,Ferrari,3.0,0 days 00:01:30.336000,0 days 00:01:30.444000,0 days 00:01:29.361000
PER,Red Bull Racing,4.0,0 days 00:01:30.622000,0 days 00:01:29.925000,0 days 00:01:29.709000
OCO,Alpine,5.0,0 days 00:01:30.696000,0 days 00:01:30.357000,0 days 00:01:30.165000
HAM,Mercedes,6.0,0 days 00:01:30.906000,0 days 00:01:30.443000,0 days 00:01:30.261000
ALO,Alpine,7.0,0 days 00:01:30.603000,0 days 00:01:30.343000,0 days 00:01:30.322000
RUS,Mercedes,8.0,0 days 00:01:30.865000,0 days 00:01:30.465000,0 days 00:01:30.389000
VET,Aston Martin,9.0,0 days 00:01:31.256000,0 days 00:01:30.656000,0 days 00:01:30.554000
NOR,McLaren,10.0,0 days 00:01:30.881000,0 days 00:01:30.473000,0 days 00:01:31.003000
RIC,McLaren,11.0,0 days 00:01:30.880000,0 days 00:01:30.659000,
BOT,Alfa Romeo,12.0,0 days 00:01:31.226000,0 days 00:01:30.709000,
TSU,AlphaTauri,13.0,0 days 00:01:31.130000,0 days 00:01:30.808000,
ZHO,Alfa Romeo,14.0,0 days 00:01:30.894000,0 days 00:01:30.953000,
MSC,Haas F1 Team,15.0,0 days 00:01:31.152000,0 days 00:01:31.439000,
ALB,Williams,16.0,0 days 00:01:31.311000,,
GAS,AlphaTauri,17.0,0 days 00:01:31.322000,,
MAG,Haas F1 Team,18.0,0 days 00:01:31.352000,,
STR,Aston Martin,19.0,0 days 00:01:31.419000,,
LAT,Williams,20.0,0 days 00:01:31.511000,,
