driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:19.222000,0 days 00:01:18.566000,0 days 00:01:17.775000
RUS,Mercedes,2.0,0 days 00:01:19.583000,0 days 00:01:18.565000,0 days 00:01:18.079000
HAM,Mercedes,3.0,0 days 00:01:19.169000,0 days 00:01:18.552000,0 days 00:01:18.084000
PER,Red Bull Racing,4.0,0 days 00:01:19.706000,0 days 00:01:18.615000,0 days 00:01:18.128000
SAI,Ferrari,5.0,0 days 00:01:19.566000,0 days 00:01:18.560000,0 days 00:01:18.351000
BOT,Alfa Romeo,6.0,0 days 00:01:19.523000,0 days 00:01:18.762000,0 days 00:01:18.401000
LEC,Ferrari,7.0,0 days 00:01:19.505000,0 days 00:01:19.109000,0 days 00:01:18.555000
NOR,McLaren,8.0,0 days 00:01:19.857000,0 days 00:01:19.119000,0 days 00:01:18.721000
ALO,Alpine,9.0,0 days 00:01:20.006000,0 days 00:01:19.272000,0 days 00:01:18.939000
OCO,Alpine,10.0,0 days 00:01:19.945000,0 days 00:01:19.081000,0 days 00:01:19.010000
RIC,McLaren,11.0,0 days 00:01:20.279000,0 days 00:01:19.325000,
ZHO,Alfa Romeo,12.0,0 days 00:01:20.283000,0 days 00:01:19.476000,
TSU,AlphaTauri,13.0,0 days 00:01:19.907000,0 days 00:01:19.589000,
GAS,AlphaTauri,14.0,0 days 00:01:20.256000,0 days 00:01:19.672000,
MAG,Haas F1 Team,15.0,0 days 00:01:20.293000,0 days 00:01:19.833000,
MSC,Haas F1 Team,16.0,0 days 00:01:20.419000,,
VET,Aston Martin,17.0,0 days 00:01:20.419000,,
STR,Aston Martin,18.0,0 days 00:01:20.520000,,
ALB,Williams,19.0,0 days 00:01:20.859000,,
LAT,Williams,20.0,0 days 00:01:21.167000,,
