Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:25.253000,,0 days 00:00:32.168000,0 days 00:00:21.194000,SOFT,4.0,,
VER,0 days 00:01:23.247000,0 days 00:00:29.506000,0 days 00:00:32.501000,0 days 00:00:21.240000,SOFT,5.0,,
VER,0 days 00:01:23.079000,0 days 00:00:29.441000,0 days 00:00:32.347000,0 days 00:00:21.291000,SOFT,6.0,,
VER,0 days 00:01:23.566000,0 days 00:00:29.610000,0 days 00:00:32.502000,0 days 00:00:21.454000,SOFT,7.0,,
VER,0 days 00:01:23.226000,0 days 00:00:29.522000,0 days 00:00:32.386000,0 days 00:00:21.318000,SOFT,8.0,,
VER,0 days 00:01:23.294000,0 days 00:00:29.673000,0 days 00:00:32.209000,0 days 00:00:21.412000,SOFT,9.0,,
VER,0 days 00:01:23.115000,0 days 00:00:29.521000,0 days 00:00:32.183000,0 days 00:00:21.411000,SOFT,10.0,,
VER,0 days 00:01:23.292000,0 days 00:00:29.577000,0 days 00:00:32.221000,0 days 00:00:21.494000,SOFT,11.0,,
VER,0 days 00:01:23.246000,0 days 00:00:29.558000,0 days 00:00:32.243000,0 days 00:00:21.445000,SOFT,12.0,,
VER,0 days 00:01:23.257000,0 days 00:00:29.483000,0 days 00:00:32.321000,0 days 00:00:21.453000,SOFT,13.0,,
VER,0 days 00:01:23.164000,0 days 00:00:29.547000,0 days 00:00:32.138000,0 days 00:00:21.479000,SOFT,14.0,,
VER,0 days 00:01:23.076000,0 days 00:00:29.488000,0 days 00:00:32.113000,0 days 00:00:21.475000,SOFT,15.0,,
VER,0 days 00:01:23.109000,0 days 00:00:29.517000,0 days 00:00:32.163000,0 days 00:00:21.429000,SOFT,16.0,,
VER,0 days 00:01:23.056000,0 days 00:00:29.453000,0 days 00:00:32.166000,0 days 00:00:21.437000,SOFT,17.0,,
VER,0 days 00:01:22.971000,0 days 00:00:29.447000,0 days 00:00:32.050000,0 days 00:00:21.474000,SOFT,18.0,,
VER,0 days 00:01:23.076000,0 days 00:00:29.449000,0 days 00:00:32.115000,0 days 00:00:21.512000,SOFT,19.0,,
VER,0 days 00:01:23.161000,0 days 00:00:29.448000,0 days 00:00:32.161000,0 days 00:00:21.552000,SOFT,20.0,,
VER,0 days 00:01:23.288000,0 days 00:00:29.496000,0 days 00:00:32.160000,0 days 00:00:21.632000,SOFT,21.0,,
VER,0 days 00:01:23.432000,0 days 00:00:29.391000,0 days 00:00:32.360000,0 days 00:00:21.681000,SOFT,22.0,,
VER,0 days 00:01:23.674000,0 days 00:00:29.501000,0 days 00:00:32.388000,0 days 00:00:21.785000,SOFT,23.0,,
VER,0 days 00:01:23.295000,0 days 00:00:29.364000,0 days 00:00:32.353000,0 days 00:00:21.578000,SOFT,24.0,,
VER,0 days 00:01:23.597000,0 days 00:00:29.370000,0 days 00:00:32.488000,0 days 00:00:21.739000,SOFT,25.0,,
VER,0 days 00:01:23.655000,0 days 00:00:29.424000,0 days 00:00:32.507000,0 days 00:00:21.724000,SOFT,26.0,,
VER,0 days 00:01:23.861000,0 days 00:00:29.435000,0 days 00:00:32.581000,0 days 00:00:21.845000,SOFT,27.0,,
VER,0 days 00:01:26.845000,0 days 00:00:29.436000,0 days 00:00:32.641000,0 days 00:00:24.768000,SOFT,28.0,,0 days 01:36:52.143000
VER,0 days 00:01:41.339000,0 days 00:00:48.237000,0 days 00:00:31.908000,0 days 00:00:21.194000,MEDIUM,1.0,0 days 01:37:14.627000,
VER,0 days 00:01:22.494000,0 days 00:00:29.260000,0 days 00:00:31.947000,0 days 00:00:21.287000,MEDIUM,2.0,,
VER,0 days 00:01:22.540000,0 days 00:00:29.203000,0 days 00:00:31.971000,0 days 00:00:21.366000,MEDIUM,3.0,,
VER,0 days 00:01:22.472000,0 days 00:00:29.125000,0 days 00:00:32.212000,0 days 00:00:21.135000,MEDIUM,4.0,,
VER,0 days 00:01:22.289000,0 days 00:00:29.158000,0 days 00:00:31.918000,0 days 00:00:21.213000,MEDIUM,5.0,,
VER,0 days 00:01:22.365000,0 days 00:00:29.120000,0 days 00:00:31.930000,0 days 00:00:21.315000,MEDIUM,6.0,,
VER,0 days 00:01:22.166000,0 days 00:00:29.107000,0 days 00:00:31.822000,0 days 00:00:21.237000,MEDIUM,7.0,,
VER,0 days 00:01:22.316000,0 days 00:00:29.127000,0 days 00:00:32.045000,0 days 00:00:21.144000,MEDIUM,8.0,,
VER,0 days 00:01:22.188000,0 days 00:00:29.147000,0 days 00:00:31.806000,0 days 00:00:21.235000,MEDIUM,9.0,,
VER,0 days 00:01:22.054000,0 days 00:00:29.132000,0 days 00:00:31.757000,0 days 00:00:21.165000,MEDIUM,10.0,,
VER,0 days 00:01:22.046000,0 days 00:00:29.174000,0 days 00:00:31.718000,0 days 00:00:21.154000,MEDIUM,11.0,,
VER,0 days 00:01:22.329000,0 days 00:00:29.085000,0 days 00:00:32.147000,0 days 00:00:21.097000,MEDIUM,12.0,,
VER,0 days 00:01:22.685000,0 days 00:00:29.160000,0 days 00:00:31.925000,0 days 00:00:21.600000,MEDIUM,13.0,,
VER,0 days 00:01:22.382000,0 days 00:00:29.194000,0 days 00:00:31.883000,0 days 00:00:21.305000,MEDIUM,14.0,,
VER,0 days 00:01:22.466000,0 days 00:00:29.194000,0 days 00:00:31.792000,0 days 00:00:21.480000,MEDIUM,15.0,,
VER,0 days 00:01:22.436000,0 days 00:00:29.241000,0 days 00:00:31.820000,0 days 00:00:21.375000,MEDIUM,16.0,,
VER,0 days 00:01:22.465000,0 days 00:00:29.175000,0 days 00:00:31.935000,0 days 00:00:21.355000,MEDIUM,17.0,,
VER,0 days 00:01:22.405000,0 days 00:00:29.222000,0 days 00:00:31.856000,0 days 00:00:21.327000,MEDIUM,18.0,,
VER,0 days 00:01:22.285000,0 days 00:00:29.190000,0 days 00:00:31.830000,0 days 00:00:21.265000,MEDIUM,19.0,,
VER,0 days 00:01:22.426000,0 days 00:00:29.148000,0 days 00:00:32.071000,0 days 00:00:21.207000,MEDIUM,20.0,,
VER,0 days 00:01:22.568000,0 days 00:00:29.026000,0 days 00:00:32.043000,0 days 00:00:21.499000,MEDIUM,21.0,,
VER,0 days 00:01:22.468000,0 days 00:00:29.131000,0 days 00:00:31.962000,0 days 00:00:21.375000,MEDIUM,22.0,,
VER,0 days 00:01:22.733000,0 days 00:00:29.128000,0 days 00:00:32.250000,0 days 00:00:21.355000,MEDIUM,23.0,,
VER,0 days 00:01:22.544000,0 days 00:00:29.099000,0 days 00:00:32.137000,0 days 00:00:21.308000,MEDIUM,24.0,,
VER,0 days 00:01:22.576000,0 days 00:00:29.028000,0 days 00:00:32.170000,0 days 00:00:21.378000,MEDIUM,25.0,,
VER,0 days 00:01:22.308000,0 days 00:00:29.162000,0 days 00:00:31.831000,0 days 00:00:21.315000,MEDIUM,26.0,,
VER,0 days 00:01:22.497000,0 days 00:00:29.200000,0 days 00:00:31.908000,0 days 00:00:21.389000,MEDIUM,27.0,,
VER,0 days 00:01:22.502000,0 days 00:00:29.195000,0 days 00:00:31.928000,0 days 00:00:21.379000,MEDIUM,28.0,,
VER,0 days 00:01:22.515000,0 days 00:00:29.138000,0 days 00:00:32.010000,0 days 00:00:21.367000,MEDIUM,29.0,,
VER,0 days 00:01:22.786000,0 days 00:00:29.298000,0 days 00:00:32.078000,0 days 00:00:21.410000,MEDIUM,30.0,,
VER,0 days 00:01:22.105000,0 days 00:00:29.090000,0 days 00:00:31.846000,0 days 00:00:21.169000,MEDIUM,31.0,,
VER,0 days 00:01:22.425000,0 days 00:00:29.286000,0 days 00:00:31.830000,0 days 00:00:21.309000,MEDIUM,32.0,,
VER,0 days 00:01:22.313000,0 days 00:00:29.149000,0 days 00:00:31.912000,0 days 00:00:21.252000,MEDIUM,33.0,,
VER,0 days 00:01:22.428000,0 days 00:00:29.196000,0 days 00:00:31.925000,0 days 00:00:21.307000,MEDIUM,34.0,,
VER,0 days 00:01:22.698000,0 days 00:00:29.215000,0 days 00:00:32.068000,0 days 00:00:21.415000,MEDIUM,35.0,,
VER,0 days 00:01:22.400000,0 days 00:00:29.152000,0 days 00:00:31.930000,0 days 00:00:21.318000,MEDIUM,36.0,,
VER,0 days 00:01:22.510000,0 days 00:00:29.131000,0 days 00:00:31.963000,0 days 00:00:21.416000,MEDIUM,37.0,,
VER,0 days 00:01:22.720000,0 days 00:00:29.213000,0 days 00:00:32.102000,0 days 00:00:21.405000,MEDIUM,38.0,,
VER,0 days 00:01:22.476000,0 days 00:00:29.135000,0 days 00:00:31.900000,0 days 00:00:21.441000,MEDIUM,39.0,,
VER,0 days 00:01:29.023000,0 days 00:00:29.239000,0 days 00:00:31.999000,0 days 00:00:27.785000,MEDIUM,40.0,,
VER,0 days 00:01:32.908000,0 days 00:00:38.392000,0 days 00:00:33.050000,0 days 00:00:21.466000,MEDIUM,41.0,,
VER,0 days 00:01:22.302000,0 days 00:00:29.130000,0 days 00:00:31.836000,0 days 00:00:21.336000,MEDIUM,42.0,,
VER,0 days 00:01:22.549000,0 days 00:00:29.160000,0 days 00:00:32.022000,0 days 00:00:21.367000,MEDIUM,43.0,,
VER,0 days 00:01:22.794000,0 days 00:00:29.158000,0 days 00:00:32.226000,0 days 00:00:21.410000,MEDIUM,44.0,,
VER,0 days 00:01:22.681000,0 days 00:00:29.141000,0 days 00:00:32.154000,0 days 00:00:21.386000,MEDIUM,45.0,,
VER,0 days 00:01:22.917000,0 days 00:00:29.249000,0 days 00:00:32.121000,0 days 00:00:21.547000,MEDIUM,46.0,,
GAS,0 days 00:01:35.417000,,0 days 00:00:36.364000,0 days 00:00:22.822000,MEDIUM,1.0,,
GAS,0 days 00:01:26.197000,0 days 00:00:30.043000,0 days 00:00:33.981000,0 days 00:00:22.173000,MEDIUM,2.0,,
GAS,0 days 00:01:26.285000,0 days 00:00:29.770000,0 days 00:00:34.290000,0 days 00:00:22.225000,MEDIUM,3.0,,
GAS,0 days 00:01:25.870000,0 days 00:00:29.380000,0 days 00:00:34.268000,0 days 00:00:22.222000,MEDIUM,4.0,,
GAS,0 days 00:01:25.322000,0 days 00:00:29.374000,0 days 00:00:33.763000,0 days 00:00:22.185000,MEDIUM,5.0,,
GAS,0 days 00:01:24.622000,0 days 00:00:29.180000,0 days 00:00:33.555000,0 days 00:00:21.887000,MEDIUM,6.0,,
GAS,0 days 00:01:25.334000,0 days 00:00:29.451000,0 days 00:00:33.903000,0 days 00:00:21.980000,MEDIUM,7.0,,
GAS,0 days 00:01:25.472000,0 days 00:00:29.515000,0 days 00:00:33.803000,0 days 00:00:22.154000,MEDIUM,8.0,,
GAS,0 days 00:01:25.934000,0 days 00:00:29.904000,0 days 00:00:33.926000,0 days 00:00:22.104000,MEDIUM,9.0,,
GAS,0 days 00:01:25.042000,0 days 00:00:29.656000,0 days 00:00:33.358000,0 days 00:00:22.028000,MEDIUM,10.0,,
GAS,0 days 00:01:25.100000,0 days 00:00:29.271000,0 days 00:00:33.599000,0 days 00:00:22.230000,MEDIUM,11.0,,
GAS,0 days 00:01:24.951000,0 days 00:00:29.528000,0 days 00:00:33.406000,0 days 00:00:22.017000,MEDIUM,12.0,,
GAS,0 days 00:01:26.906000,0 days 00:00:29.603000,0 days 00:00:35.243000,0 days 00:00:22.060000,MEDIUM,13.0,,
GAS,0 days 00:01:24.587000,0 days 00:00:29.718000,0 days 00:00:33.098000,0 days 00:00:21.771000,MEDIUM,14.0,,
GAS,0 days 00:01:24.446000,0 days 00:00:29.479000,0 days 00:00:33.140000,0 days 00:00:21.827000,MEDIUM,15.0,,
GAS,0 days 00:01:24.679000,0 days 00:00:29.636000,0 days 00:00:33.072000,0 days 00:00:21.971000,MEDIUM,16.0,,
GAS,0 days 00:01:24.621000,0 days 00:00:29.605000,0 days 00:00:33.069000,0 days 00:00:21.947000,MEDIUM,17.0,,
GAS,0 days 00:01:25.048000,0 days 00:00:29.623000,0 days 00:00:33.126000,0 days 00:00:22.299000,MEDIUM,18.0,,
GAS,0 days 00:01:24.923000,0 days 00:00:29.593000,0 days 00:00:33.254000,0 days 00:00:22.076000,MEDIUM,19.0,,
GAS,0 days 00:01:24.532000,0 days 00:00:29.466000,0 days 00:00:33.124000,0 days 00:00:21.942000,MEDIUM,20.0,,
GAS,0 days 00:01:24.756000,0 days 00:00:29.425000,0 days 00:00:33.378000,0 days 00:00:21.953000,MEDIUM,21.0,,
GAS,0 days 00:01:24.691000,0 days 00:00:29.489000,0 days 00:00:33.220000,0 days 00:00:21.982000,MEDIUM,22.0,,
GAS,0 days 00:01:24.895000,0 days 00:00:29.547000,0 days 00:00:33.424000,0 days 00:00:21.924000,MEDIUM,23.0,,
GAS,0 days 00:01:24.896000,0 days 00:00:29.518000,0 days 00:00:33.295000,0 days 00:00:22.083000,MEDIUM,24.0,,
GAS,0 days 00:01:24.998000,0 days 00:00:29.556000,0 days 00:00:33.403000,0 days 00:00:22.039000,MEDIUM,25.0,,
GAS,0 days 00:01:25.010000,0 days 00:00:29.489000,0 days 00:00:33.423000,0 days 00:00:22.098000,MEDIUM,26.0,,
GAS,0 days 00:01:24.913000,0 days 00:00:29.563000,0 days 00:00:33.378000,0 days 00:00:21.972000,MEDIUM,27.0,,
GAS,0 days 00:01:24.788000,0 days 00:00:29.417000,0 days 00:00:33.362000,0 days 00:00:22.009000,MEDIUM,28.0,,
GAS,0 days 00:01:24.747000,0 days 00:00:29.473000,0 days 00:00:33.355000,0 days 00:00:21.919000,MEDIUM,29.0,,
GAS,0 days 00:01:25.024000,0 days 00:00:29.368000,0 days 00:00:33.732000,0 days 00:00:21.924000,MEDIUM,30.0,,
GAS,0 days 00:01:24.992000,0 days 00:00:29.455000,0 days 00:00:33.557000,0 days 00:00:21.980000,MEDIUM,31.0,,
GAS,0 days 00:01:24.961000,0 days 00:00:29.480000,0 days 00:00:33.517000,0 days 00:00:21.964000,MEDIUM,32.0,,
GAS,0 days 00:01:25.061000,0 days 00:00:29.582000,0 days 00:00:33.495000,0 days 00:00:21.984000,MEDIUM,33.0,,
GAS,0 days 00:01:24.938000,0 days 00:00:29.504000,0 days 00:00:33.483000,0 days 00:00:21.951000,MEDIUM,34.0,,
GAS,0 days 00:01:24.934000,0 days 00:00:29.528000,0 days 00:00:33.417000,0 days 00:00:21.989000,MEDIUM,35.0,,
GAS,0 days 00:01:24.857000,0 days 00:00:29.492000,0 days 00:00:33.387000,0 days 00:00:21.978000,MEDIUM,36.0,,
GAS,0 days 00:01:24.935000,0 days 00:00:29.466000,0 days 00:00:33.366000,0 days 00:00:22.103000,MEDIUM,37.0,,
GAS,0 days 00:01:25.872000,0 days 00:00:30.031000,0 days 00:00:33.660000,0 days 00:00:22.181000,MEDIUM,38.0,,
GAS,0 days 00:01:25.351000,0 days 00:00:29.484000,0 days 00:00:33.546000,0 days 00:00:22.321000,MEDIUM,39.0,,
GAS,0 days 00:01:28.285000,0 days 00:00:29.533000,0 days 00:00:33.344000,0 days 00:00:25.408000,MEDIUM,40.0,,0 days 01:59:02.552000
GAS,0 days 00:01:49.022000,0 days 00:00:54.950000,0 days 00:00:32.627000,0 days 00:00:21.445000,SOFT,1.0,0 days 01:59:31.707000,
GAS,0 days 00:01:22.277000,0 days 00:00:28.946000,0 days 00:00:32.125000,0 days 00:00:21.206000,SOFT,2.0,,
GAS,0 days 00:01:22.568000,0 days 00:00:28.982000,0 days 00:00:32.302000,0 days 00:00:21.284000,SOFT,3.0,,
GAS,0 days 00:01:22.562000,0 days 00:00:29.065000,0 days 00:00:32.242000,0 days 00:00:21.255000,SOFT,4.0,,
GAS,0 days 00:01:22.846000,0 days 00:00:29.020000,0 days 00:00:32.497000,0 days 00:00:21.329000,SOFT,5.0,,
GAS,0 days 00:01:22.674000,0 days 00:00:28.993000,0 days 00:00:32.322000,0 days 00:00:21.359000,SOFT,6.0,,
GAS,0 days 00:01:23.124000,0 days 00:00:29.101000,0 days 00:00:32.592000,0 days 00:00:21.431000,SOFT,7.0,,
GAS,0 days 00:01:22.950000,0 days 00:00:28.710000,0 days 00:00:32.654000,0 days 00:00:21.586000,SOFT,8.0,,
GAS,0 days 00:01:22.975000,0 days 00:00:28.813000,0 days 00:00:32.627000,0 days 00:00:21.535000,SOFT,9.0,,
GAS,0 days 00:01:24.872000,0 days 00:00:29.200000,0 days 00:00:33.682000,0 days 00:00:21.990000,SOFT,10.0,,
GAS,0 days 00:01:24.135000,0 days 00:00:29.379000,0 days 00:00:32.961000,0 days 00:00:21.795000,SOFT,11.0,,
GAS,0 days 00:01:23.623000,0 days 00:00:29.021000,0 days 00:00:33.072000,0 days 00:00:21.530000,SOFT,12.0,,
GAS,0 days 00:01:24.904000,0 days 00:00:29.130000,0 days 00:00:34.067000,0 days 00:00:21.707000,SOFT,13.0,,
GAS,0 days 00:01:23.076000,0 days 00:00:29.287000,0 days 00:00:32.425000,0 days 00:00:21.364000,SOFT,14.0,,
GAS,0 days 00:01:22.875000,0 days 00:00:29.143000,0 days 00:00:32.220000,0 days 00:00:21.512000,SOFT,15.0,,
GAS,0 days 00:01:22.910000,0 days 00:00:28.970000,0 days 00:00:32.414000,0 days 00:00:21.526000,SOFT,16.0,,
GAS,0 days 00:01:22.842000,0 days 00:00:29.098000,0 days 00:00:32.241000,0 days 00:00:21.503000,SOFT,17.0,,
GAS,0 days 00:01:23.061000,0 days 00:00:29.096000,0 days 00:00:32.455000,0 days 00:00:21.510000,SOFT,18.0,,
GAS,0 days 00:01:23.264000,0 days 00:00:29.177000,0 days 00:00:32.522000,0 days 00:00:21.565000,SOFT,19.0,,
GAS,0 days 00:01:23.177000,0 days 00:00:29.073000,0 days 00:00:32.530000,0 days 00:00:21.574000,SOFT,20.0,,
GAS,0 days 00:01:23.479000,0 days 00:00:29.142000,0 days 00:00:32.675000,0 days 00:00:21.662000,SOFT,21.0,,
GAS,0 days 00:01:23.519000,0 days 00:00:29.128000,0 days 00:00:32.594000,0 days 00:00:21.797000,SOFT,22.0,,
GAS,0 days 00:01:23.298000,0 days 00:00:29.080000,0 days 00:00:32.587000,0 days 00:00:21.631000,SOFT,23.0,,
GAS,0 days 00:01:39.969000,0 days 00:00:29.099000,0 days 00:00:43.274000,0 days 00:00:27.596000,SOFT,24.0,,
GAS,0 days 00:01:24.154000,0 days 00:00:30.044000,0 days 00:00:32.474000,0 days 00:00:21.636000,SOFT,25.0,,
GAS,0 days 00:01:23.094000,0 days 00:00:28.721000,0 days 00:00:32.706000,0 days 00:00:21.667000,SOFT,26.0,,
GAS,0 days 00:01:23.503000,0 days 00:00:28.776000,0 days 00:00:32.931000,0 days 00:00:21.796000,SOFT,27.0,,
GAS,0 days 00:01:23.487000,0 days 00:00:29.008000,0 days 00:00:32.829000,0 days 00:00:21.650000,SOFT,28.0,,
GAS,0 days 00:01:23.450000,0 days 00:00:29.168000,0 days 00:00:32.604000,0 days 00:00:21.678000,SOFT,29.0,,
GAS,0 days 00:01:23.851000,0 days 00:00:29.277000,0 days 00:00:32.683000,0 days 00:00:21.891000,SOFT,30.0,,
PER,0 days 00:01:27.950000,,0 days 00:00:33.583000,0 days 00:00:21.433000,SOFT,4.0,,
PER,0 days 00:01:23.436000,0 days 00:00:29.390000,0 days 00:00:32.520000,0 days 00:00:21.526000,SOFT,5.0,,
PER,0 days 00:01:23.343000,0 days 00:00:29.507000,0 days 00:00:32.365000,0 days 00:00:21.471000,SOFT,6.0,,
PER,0 days 00:01:23.207000,0 days 00:00:29.242000,0 days 00:00:32.448000,0 days 00:00:21.517000,SOFT,7.0,,
