driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,25.0,Finished,,
HAM,Mercedes,3.0,2.0,18.0,Finished,,
PER,Red Bull Racing,4.0,3.0,15.0,Finished,,
RUS,Mercedes,2.0,4.0,13.0,Finished,,
SAI,Ferrari,5.0,5.0,10.0,Finished,,
LEC,Ferrari,7.0,6.0,8.0,Finished,,
RIC,McLaren,11.0,7.0,6.0,+1 Lap,,
OCO,Alpine,10.0,8.0,4.0,+1 Lap,,
NOR,McLaren,8.0,9.0,2.0,+1 Lap,,
BOT,Alfa Romeo,6.0,10.0,1.0,+1 Lap,,
GAS,AlphaTauri,14.0,11.0,0.0,+1 Lap,,
ALB,Williams,17.0,12.0,0.0,+1 Lap,,
ZHO,Alfa Romeo,12.0,13.0,0.0,+1 Lap,,
VET,Aston Martin,16.0,14.0,0.0,+1 Lap,,
STR,Aston Martin,20.0,15.0,0.0,+1 Lap,,
MSC,Haas F1 Team,15.0,16.0,0.0,+1 Lap,,
MAG,Haas F1 Team,19.0,17.0,0.0,+1 Lap,,
LAT,Williams,18.0,18.0,0.0,+2 Laps,,
ALO,Alpine,9.0,19.0,0.0,Engine,,
TSU,AlphaTauri,13.0,20.0,0.0,Collision damage,,
