Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,SOFT,0 days 01:02:06.736000,4.0
VER,1.0,SOFT,0 days 01:03:32.254000,5.0
VER,1.0,SOFT,0 days 01:04:55.501000,6.0
VER,1.0,SOFT,0 days 01:06:18.580000,7.0
VER,1.0,SOFT,0 days 01:07:42.146000,8.0
VER,1.0,SOFT,0 days 01:09:05.372000,9.0
VER,1.0,SOFT,0 days 01:10:28.666000,10.0
VER,1.0,SOFT,0 days 01:11:51.781000,11.0
VER,1.0,SOFT,0 days 01:13:15.073000,12.0
VER,1.0,SOFT,0 days 01:14:38.319000,13.0
VER,1.0,SOFT,0 days 01:16:01.576000,14.0
VER,1.0,SOFT,0 days 01:17:24.740000,15.0
VER,1.0,SOFT,0 days 01:18:47.816000,16.0
VER,1.0,SOFT,0 days 01:20:10.925000,17.0
VER,1.0,SOFT,0 days 01:21:33.981000,18.0
VER,1.0,SOFT,0 days 01:22:56.952000,19.0
VER,1.0,SOFT,0 days 01:24:20.028000,20.0
VER,1.0,SOFT,0 days 01:25:43.189000,21.0
VER,1.0,SOFT,0 days 01:27:06.477000,22.0
VER,1.0,SOFT,0 days 01:28:29.909000,23.0
VER,1.0,SOFT,0 days 01:29:53.583000,24.0
VER,1.0,SOFT,0 days 01:31:16.878000,25.0
VER,1.0,SOFT,0 days 01:32:40.475000,26.0
VER,1.0,SOFT,0 days 01:34:04.130000,27.0
VER,1.0,SOFT,0 days 01:35:27.991000,28.0
VER,2.0,MEDIUM,0 days 01:36:54.836000,1.0
VER,2.0,MEDIUM,0 days 01:38:36.175000,2.0
VER,2.0,MEDIUM,0 days 01:39:58.669000,3.0
VER,2.0,MEDIUM,0 days 01:41:21.209000,4.0
VER,2.0,MEDIUM,0 days 01:42:43.681000,5.0
VER,2.0,MEDIUM,0 days 01:44:05.970000,6.0
VER,2.0,MEDIUM,0 days 01:45:28.335000,7.0
VER,2.0,MEDIUM,0 days 01:46:50.501000,8.0
VER,2.0,MEDIUM,0 days 01:48:12.817000,9.0
VER,2.0,MEDIUM,0 days 01:49:35.005000,10.0
VER,2.0,MEDIUM,0 days 01:50:57.059000,11.0
VER,2.0,MEDIUM,0 days 01:52:19.105000,12.0
VER,2.0,MEDIUM,0 days 01:53:41.434000,13.0
VER,2.0,MEDIUM,0 days 01:55:04.119000,14.0
VER,2.0,MEDIUM,0 days 01:56:26.501000,15.0
VER,2.0,MEDIUM,0 days 01:57:48.967000,16.0
VER,2.0,MEDIUM,0 days 01:59:11.403000,17.0
VER,2.0,MEDIUM,0 days 02:00:33.868000,18.0
VER,2.0,MEDIUM,0 days 02:01:56.273000,19.0
VER,2.0,MEDIUM,0 days 02:03:18.558000,20.0
VER,2.0,MEDIUM,0 days 02:04:40.984000,21.0
VER,2.0,MEDIUM,0 days 02:06:03.552000,22.0
VER,2.0,MEDIUM,0 days 02:07:26.020000,23.0
VER,2.0,MEDIUM,0 days 02:08:48.753000,24.0
VER,2.0,MEDIUM,0 days 02:10:11.297000,25.0
VER,2.0,MEDIUM,0 days 02:11:33.873000,26.0
VER,2.0,MEDIUM,0 days 02:12:56.181000,27.0
VER,2.0,MEDIUM,0 days 02:14:18.678000,28.0
VER,2.0,MEDIUM,0 days 02:15:41.180000,29.0
VER,2.0,MEDIUM,0 days 02:17:03.695000,30.0
VER,2.0,MEDIUM,0 days 02:18:26.481000,31.0
VER,2.0,MEDIUM,0 days 02:19:48.586000,32.0
VER,2.0,MEDIUM,0 days 02:21:11.011000,33.0
VER,2.0,MEDIUM,0 days 02:22:33.324000,34.0
VER,2.0,MEDIUM,0 days 02:23:55.752000,35.0
VER,2.0,MEDIUM,0 days 02:25:18.450000,36.0
VER,2.0,MEDIUM,0 days 02:26:40.850000,37.0
VER,2.0,MEDIUM,0 days 02:28:03.360000,38.0
VER,2.0,MEDIUM,0 days 02:29:26.080000,39.0
VER,2.0,MEDIUM,0 days 02:30:48.556000,40.0
VER,2.0,MEDIUM,0 days 02:32:17.579000,41.0
VER,2.0,MEDIUM,0 days 02:33:50.487000,42.0
VER,2.0,MEDIUM,0 days 02:35:12.789000,43.0
VER,2.0,MEDIUM,0 days 02:36:35.338000,44.0
VER,2.0,MEDIUM,0 days 02:37:58.132000,45.0
VER,2.0,MEDIUM,0 days 02:39:20.813000,46.0
GAS,1.0,MEDIUM,0 days 01:02:06.736000,1.0
GAS,1.0,MEDIUM,0 days 01:03:42.418000,2.0
GAS,1.0,MEDIUM,0 days 01:05:08.615000,3.0
GAS,1.0,MEDIUM,0 days 01:06:34.900000,4.0
GAS,1.0,MEDIUM,0 days 01:08:00.770000,5.0
GAS,1.0,MEDIUM,0 days 01:09:26.092000,6.0
GAS,1.0,MEDIUM,0 days 01:10:50.714000,7.0
GAS,1.0,MEDIUM,0 days 01:12:16.048000,8.0
GAS,1.0,MEDIUM,0 days 01:13:41.520000,9.0
GAS,1.0,MEDIUM,0 days 01:15:07.454000,10.0
GAS,1.0,MEDIUM,0 days 01:16:32.496000,11.0
GAS,1.0,MEDIUM,0 days 01:17:57.596000,12.0
GAS,1.0,MEDIUM,0 days 01:19:22.547000,13.0
GAS,1.0,MEDIUM,0 days 01:20:49.453000,14.0
GAS,1.0,MEDIUM,0 days 01:22:14.040000,15.0
GAS,1.0,MEDIUM,0 days 01:23:38.486000,16.0
GAS,1.0,MEDIUM,0 days 01:25:03.165000,17.0
GAS,1.0,MEDIUM,0 days 01:26:27.786000,18.0
GAS,1.0,MEDIUM,0 days 01:27:52.834000,19.0
GAS,1.0,MEDIUM,0 days 01:29:17.757000,20.0
GAS,1.0,MEDIUM,0 days 01:30:42.289000,21.0
GAS,1.0,MEDIUM,0 days 01:32:07.045000,22.0
GAS,1.0,MEDIUM,0 days 01:33:31.736000,23.0
GAS,1.0,MEDIUM,0 days 01:34:56.631000,24.0
GAS,1.0,MEDIUM,0 days 01:36:21.527000,25.0
GAS,1.0,MEDIUM,0 days 01:37:46.525000,26.0
GAS,1.0,MEDIUM,0 days 01:39:11.535000,27.0
GAS,1.0,MEDIUM,0 days 01:40:36.448000,28.0
GAS,1.0,MEDIUM,0 days 01:42:01.236000,29.0
GAS,1.0,MEDIUM,0 days 01:43:25.983000,30.0
GAS,1.0,MEDIUM,0 days 01:44:51.007000,31.0
GAS,1.0,MEDIUM,0 days 01:46:15.999000,32.0
GAS,1.0,MEDIUM,0 days 01:47:40.960000,33.0
GAS,1.0,MEDIUM,0 days 01:49:06.021000,34.0
GAS,1.0,MEDIUM,0 days 01:50:30.959000,35.0
GAS,1.0,MEDIUM,0 days 01:51:55.893000,36.0
GAS,1.0,MEDIUM,0 days 01:53:20.750000,37.0
GAS,1.0,MEDIUM,0 days 01:54:45.685000,38.0
GAS,1.0,MEDIUM,0 days 01:56:11.557000,39.0
GAS,1.0,MEDIUM,0 days 01:57:36.908000,40.0
GAS,2.0,SOFT,0 days 01:59:05.193000,1.0
