Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:37.528000,,0 days 00:00:35.848000,0 days 00:00:26.431000,MEDIUM,1.0,,
VER,0 days 00:01:34.542000,0 days 00:00:32.267000,0 days 00:00:35.970000,0 days 00:00:26.305000,MEDIUM,2.0,,
VER,0 days 00:01:34.550000,0 days 00:00:32.182000,0 days 00:00:36.062000,0 days 00:00:26.306000,MEDIUM,3.0,,
VER,0 days 00:01:34.287000,0 days 00:00:32.092000,0 days 00:00:35.968000,0 days 00:00:26.227000,MEDIUM,4.0,,
VER,0 days 00:01:34.320000,0 days 00:00:32.028000,0 days 00:00:35.942000,0 days 00:00:26.350000,MEDIUM,5.0,,
VER,0 days 00:01:34.227000,0 days 00:00:31.891000,0 days 00:00:35.971000,0 days 00:00:26.365000,MEDIUM,6.0,,
VER,0 days 00:01:34.267000,0 days 00:00:31.876000,0 days 00:00:36.069000,0 days 00:00:26.322000,MEDIUM,7.0,,
VER,0 days 00:01:34.318000,0 days 00:00:32.111000,0 days 00:00:36.063000,0 days 00:00:26.144000,MEDIUM,8.0,,
VER,0 days 00:01:35.415000,0 days 00:00:32.514000,0 days 00:00:36.330000,0 days 00:00:26.571000,MEDIUM,9.0,,
VER,0 days 00:01:34.107000,0 days 00:00:31.667000,0 days 00:00:36.026000,0 days 00:00:26.414000,MEDIUM,10.0,,
VER,0 days 00:01:34.466000,0 days 00:00:31.919000,0 days 00:00:36.111000,0 days 00:00:26.436000,MEDIUM,11.0,,
VER,0 days 00:01:33.991000,0 days 00:00:31.740000,0 days 00:00:35.975000,0 days 00:00:26.276000,MEDIUM,12.0,,
VER,0 days 00:01:34.090000,0 days 00:00:31.793000,0 days 00:00:35.945000,0 days 00:00:26.352000,MEDIUM,13.0,,
VER,0 days 00:01:33.866000,0 days 00:00:31.809000,0 days 00:00:35.835000,0 days 00:00:26.222000,MEDIUM,14.0,,
VER,0 days 00:01:33.510000,0 days 00:00:31.594000,0 days 00:00:35.765000,0 days 00:00:26.151000,MEDIUM,15.0,,
VER,0 days 00:01:34.225000,0 days 00:00:31.713000,0 days 00:00:35.759000,0 days 00:00:26.753000,MEDIUM,16.0,,
VER,0 days 00:01:33.742000,0 days 00:00:31.703000,0 days 00:00:35.830000,0 days 00:00:26.209000,MEDIUM,17.0,,
VER,0 days 00:01:33.946000,0 days 00:00:31.655000,0 days 00:00:36.039000,0 days 00:00:26.252000,MEDIUM,18.0,,
VER,0 days 00:01:33.684000,0 days 00:00:31.623000,0 days 00:00:35.823000,0 days 00:00:26.238000,MEDIUM,19.0,,
VER,0 days 00:01:33.249000,0 days 00:00:31.425000,0 days 00:00:35.731000,0 days 00:00:26.093000,MEDIUM,20.0,,
VER,0 days 00:01:33.347000,0 days 00:00:31.443000,0 days 00:00:35.887000,0 days 00:00:26.017000,MEDIUM,21.0,,
VER,0 days 00:01:33.193000,0 days 00:00:31.469000,0 days 00:00:35.693000,0 days 00:00:26.031000,MEDIUM,22.0,,
VER,0 days 00:01:33.275000,0 days 00:00:31.427000,0 days 00:00:35.730000,0 days 00:00:26.118000,MEDIUM,23.0,,
VER,0 days 00:01:33.487000,0 days 00:00:31.538000,0 days 00:00:35.825000,0 days 00:00:26.124000,MEDIUM,24.0,,
VER,0 days 00:01:33.286000,0 days 00:00:31.535000,0 days 00:00:35.703000,0 days 00:00:26.048000,MEDIUM,25.0,,
VER,0 days 00:01:38.505000,0 days 00:00:31.470000,0 days 00:00:35.701000,0 days 00:00:31.334000,MEDIUM,26.0,,0 days 01:43:05.289000
VER,0 days 00:01:48.047000,0 days 00:00:46.297000,0 days 00:00:35.601000,0 days 00:00:26.149000,HARD,1.0,0 days 01:43:24.108000,
VER,0 days 00:01:33.135000,0 days 00:00:31.262000,0 days 00:00:35.672000,0 days 00:00:26.201000,HARD,2.0,,
VER,0 days 00:01:32.779000,0 days 00:00:31.074000,0 days 00:00:35.642000,0 days 00:00:26.063000,HARD,3.0,,
VER,0 days 00:01:33.216000,0 days 00:00:31.174000,0 days 00:00:35.853000,0 days 00:00:26.189000,HARD,4.0,,
VER,0 days 00:01:33.033000,0 days 00:00:31.329000,0 days 00:00:35.680000,0 days 00:00:26.024000,HARD,5.0,,
VER,0 days 00:01:32.742000,0 days 00:00:31.026000,0 days 00:00:35.667000,0 days 00:00:26.049000,HARD,6.0,,
VER,0 days 00:01:32.813000,0 days 00:00:31.143000,0 days 00:00:35.702000,0 days 00:00:25.968000,HARD,7.0,,
VER,0 days 00:01:32.714000,0 days 00:00:31.053000,0 days 00:00:35.629000,0 days 00:00:26.032000,HARD,8.0,,
VER,0 days 00:01:32.696000,0 days 00:00:31.113000,0 days 00:00:35.554000,0 days 00:00:26.029000,HARD,9.0,,
VER,0 days 00:01:32.596000,0 days 00:00:31.085000,0 days 00:00:35.572000,0 days 00:00:25.939000,HARD,10.0,,
VER,0 days 00:01:32.325000,0 days 00:00:30.960000,0 days 00:00:35.393000,0 days 00:00:25.972000,HARD,11.0,,
VER,0 days 00:01:32.417000,0 days 00:00:31.060000,0 days 00:00:35.502000,0 days 00:00:25.855000,HARD,12.0,,
VER,0 days 00:01:32.415000,0 days 00:00:31.054000,0 days 00:00:35.604000,0 days 00:00:25.757000,HARD,13.0,,
VER,0 days 00:01:32.444000,0 days 00:00:31.019000,0 days 00:00:35.569000,0 days 00:00:25.856000,HARD,14.0,,
VER,0 days 00:01:51.339000,0 days 00:00:31.421000,0 days 00:00:49.003000,0 days 00:00:30.915000,HARD,15.0,,
VER,,0 days 00:01:03.482000,0 days 00:01:01.066000,0 days 00:00:46.269000,HARD,16.0,,
VER,,0 days 00:00:57.572000,0 days 00:01:02.863000,0 days 00:00:40.466000,HARD,17.0,,
VER,,0 days 00:00:50.878000,0 days 00:01:03.592000,0 days 00:00:36.103000,HARD,18.0,,
VER,0 days 00:02:22.077000,0 days 00:00:48.294000,0 days 00:00:56.457000,0 days 00:00:37.326000,HARD,19.0,,
VER,,0 days 00:00:47.819000,0 days 00:00:46.723000,0 days 00:00:56.836000,HARD,20.0,,
VER,0 days 00:01:33.959000,0 days 00:00:31.768000,0 days 00:00:35.867000,0 days 00:00:26.324000,HARD,21.0,,
VER,0 days 00:01:32.397000,0 days 00:00:30.870000,0 days 00:00:35.412000,0 days 00:00:26.115000,HARD,22.0,,
VER,0 days 00:01:32.292000,0 days 00:00:30.552000,0 days 00:00:35.660000,0 days 00:00:26.080000,HARD,23.0,,
VER,0 days 00:01:31.878000,0 days 00:00:30.507000,0 days 00:00:35.470000,0 days 00:00:25.901000,HARD,24.0,,
VER,0 days 00:01:32.050000,0 days 00:00:30.714000,0 days 00:00:35.477000,0 days 00:00:25.859000,HARD,25.0,,
VER,0 days 00:01:32.037000,0 days 00:00:30.509000,0 days 00:00:35.689000,0 days 00:00:25.839000,HARD,26.0,,
VER,0 days 00:01:31.456000,0 days 00:00:30.364000,0 days 00:00:35.242000,0 days 00:00:25.850000,HARD,27.0,,
