driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,3.0,1.0,26.0,Finished,,
LEC,Ferrari,1.0,2.0,18.0,Finished,,
SAI,Ferrari,2.0,3.0,15.0,Finished,,
PER,Red Bull Racing,4.0,4.0,12.0,Finished,,
RUS,Mercedes,12.0,5.0,10.0,Finished,,
HAM,Mercedes,6.0,6.0,8.0,Finished,,
BOT,Alfa Romeo,5.0,7.0,6.0,Finished,,
OCO,Alpine,20.0,8.0,4.0,Finished,,
ALB,Williams,18.0,9.0,2.0,Finished,,
STR,Aston Martin,0.0,10.0,1.0,Finished,,
ALO,Alpine,11.0,11.0,0.0,Finished,,
TSU,AlphaTauri,9.0,12.0,0.0,Finished,,
RIC,McLaren,14.0,13.0,0.0,Finished,,
LAT,Williams,19.0,14.0,0.0,Finished,,
MSC,Haas F1 Team,15.0,15.0,0.0,Finished,,
MAG,Haas F1 Team,16.0,16.0,0.0,Front wing,,
VET,Aston Martin,0.0,17.0,0.0,Collision,,
GAS,AlphaTauri,7.0,18.0,0.0,Suspension,,
NOR,McLaren,8.0,19.0,0.0,Collision,,
ZHO,Alfa Romeo,17.0,20.0,0.0,Water leak,,
