Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:02:16.435000,1.0
VER,1.0,MEDIUM,0 days 01:03:53.373000,2.0
VER,1.0,MEDIUM,0 days 01:05:27.915000,3.0
VER,1.0,MEDIUM,0 days 01:07:02.465000,4.0
VER,1.0,MEDIUM,0 days 01:08:36.752000,5.0
VER,1.0,MEDIUM,0 days 01:10:11.072000,6.0
VER,1.0,MEDIUM,0 days 01:11:45.299000,7.0
VER,1.0,MEDIUM,0 days 01:13:19.566000,8.0
VER,1.0,MEDIUM,0 days 01:14:53.884000,9.0
VER,1.0,MEDIUM,0 days 01:16:29.299000,10.0
VER,1.0,MEDIUM,0 days 01:18:03.406000,11.0
VER,1.0,MEDIUM,0 days 01:19:37.872000,12.0
VER,1.0,MEDIUM,0 days 01:21:11.863000,13.0
VER,1.0,MEDIUM,0 days 01:22:45.953000,14.0
VER,1.0,MEDIUM,0 days 01:24:19.819000,15.0
VER,1.0,MEDIUM,0 days 01:25:53.329000,16.0
VER,1.0,MEDIUM,0 days 01:27:27.554000,17.0
VER,1.0,MEDIUM,0 days 01:29:01.296000,18.0
VER,1.0,MEDIUM,0 days 01:30:35.242000,19.0
VER,1.0,MEDIUM,0 days 01:32:08.926000,20.0
VER,1.0,MEDIUM,0 days 01:33:42.175000,21.0
VER,1.0,MEDIUM,0 days 01:35:15.522000,22.0
VER,1.0,MEDIUM,0 days 01:36:48.715000,23.0
VER,1.0,MEDIUM,0 days 01:38:21.990000,24.0
VER,1.0,MEDIUM,0 days 01:39:55.477000,25.0
VER,1.0,MEDIUM,0 days 01:41:28.763000,26.0
VER,2.0,HARD,0 days 01:43:07.268000,1.0
VER,2.0,HARD,0 days 01:44:55.315000,2.0
VER,2.0,HARD,0 days 01:46:28.450000,3.0
VER,2.0,HARD,0 days 01:48:01.229000,4.0
VER,2.0,HARD,0 days 01:49:34.445000,5.0
VER,2.0,HARD,0 days 01:51:07.478000,6.0
VER,2.0,HARD,0 days 01:52:40.220000,7.0
VER,2.0,HARD,0 days 01:54:13.033000,8.0
VER,2.0,HARD,0 days 01:55:45.747000,9.0
VER,2.0,HARD,0 days 01:57:18.443000,10.0
VER,2.0,HARD,0 days 01:58:51.039000,11.0
VER,2.0,HARD,0 days 02:00:23.364000,12.0
VER,2.0,HARD,0 days 02:01:55.781000,13.0
VER,2.0,HARD,0 days 02:03:28.196000,14.0
VER,2.0,HARD,0 days 02:05:00.640000,15.0
VER,2.0,HARD,0 days 02:06:51.979000,16.0
VER,2.0,HARD,0 days 02:09:42.869000,17.0
VER,2.0,HARD,0 days 02:12:23.773000,18.0
VER,2.0,HARD,0 days 02:14:54.338000,19.0
VER,2.0,HARD,0 days 02:17:16.415000,20.0
VER,2.0,HARD,0 days 02:19:47.747000,21.0
VER,2.0,HARD,0 days 02:21:21.706000,22.0
VER,2.0,HARD,0 days 02:22:54.103000,23.0
VER,2.0,HARD,0 days 02:24:26.395000,24.0
VER,2.0,HARD,0 days 02:25:58.273000,25.0
VER,2.0,HARD,0 days 02:27:30.323000,26.0
VER,2.0,HARD,0 days 02:29:02.360000,27.0
VER,2.0,HARD,0 days 02:30:33.816000,28.0
VER,2.0,HARD,0 days 02:32:05.177000,29.0
VER,2.0,HARD,0 days 02:33:36.927000,30.0
VER,2.0,HARD,0 days 02:35:08.667000,31.0
GAS,1.0,MEDIUM,0 days 01:02:16.435000,1.0
GAS,1.0,MEDIUM,0 days 01:03:56.516000,2.0
GAS,1.0,MEDIUM,0 days 01:05:32.586000,3.0
GAS,1.0,MEDIUM,0 days 01:07:08.269000,4.0
GAS,1.0,MEDIUM,0 days 01:08:43.860000,5.0
GAS,1.0,MEDIUM,0 days 01:10:20.128000,6.0
GAS,1.0,MEDIUM,0 days 01:11:57.039000,7.0
GAS,1.0,MEDIUM,0 days 01:13:33.622000,8.0
GAS,1.0,MEDIUM,0 days 01:15:09.980000,9.0
GAS,1.0,MEDIUM,0 days 01:16:45.836000,10.0
GAS,1.0,MEDIUM,0 days 01:18:21.436000,11.0
GAS,1.0,MEDIUM,0 days 01:19:57.032000,12.0
GAS,1.0,MEDIUM,0 days 01:21:32.479000,13.0
GAS,1.0,MEDIUM,0 days 01:23:08.018000,14.0
GAS,1.0,MEDIUM,0 days 01:24:43.476000,15.0
GAS,1.0,MEDIUM,0 days 01:26:18.699000,16.0
GAS,2.0,HARD,0 days 01:27:58.868000,1.0
GAS,2.0,HARD,0 days 01:29:49.698000,2.0
GAS,2.0,HARD,0 days 01:31:24.883000,3.0
GAS,2.0,HARD,0 days 01:32:59.936000,4.0
GAS,2.0,HARD,0 days 01:34:35.192000,5.0
GAS,2.0,HARD,0 days 01:36:10.445000,6.0
GAS,2.0,HARD,0 days 01:37:45.550000,7.0
GAS,2.0,HARD,0 days 01:39:20.429000,8.0
