driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
LEC,Ferrari,1.0,0 days 00:01:12.569000,0 days 00:01:11.864000,0 days 00:01:11.376000
SAI,Ferrari,2.0,0 days 00:01:12.616000,0 days 00:01:12.074000,0 days 00:01:11.601000
PER,Red Bull Racing,3.0,0 days 00:01:13.004000,0 days 00:01:11.954000,0 days 00:01:11.629000
VER,Red Bull Racing,4.0,0 days 00:01:12.993000,0 days 00:01:12.117000,0 days 00:01:11.666000
NOR,McLaren,5.0,0 days 00:01:12.927000,0 days 00:01:12.266000,0 days 00:01:11.849000
RUS,Mercedes,6.0,0 days 00:01:12.787000,0 days 00:01:12.617000,0 days 00:01:12.112000
ALO,Alpine,7.0,0 days 00:01:13.394000,0 days 00:01:12.688000,0 days 00:01:12.247000
HAM,Mercedes,8.0,0 days 00:01:13.444000,0 days 00:01:12.595000,0 days 00:01:12.560000
VET,Aston Martin,9.0,0 days 00:01:13.313000,0 days 00:01:12.613000,0 days 00:01:12.732000
OCO,Alpine,10.0,0 days 00:01:12.848000,0 days 00:01:12.528000,0 days 00:01:13.047000
TSU,AlphaTauri,11.0,0 days 00:01:13.110000,0 days 00:01:12.797000,
BOT,Alfa Romeo,12.0,0 days 00:01:13.541000,0 days 00:01:12.909000,
MAG,Haas F1 Team,13.0,0 days 00:01:13.069000,0 days 00:01:12.921000,
RIC,McLaren,14.0,0 days 00:01:13.338000,0 days 00:01:12.964000,
MSC,Haas F1 Team,15.0,0 days 00:01:13.469000,0 days 00:01:13.081000,
ALB,Williams,16.0,0 days 00:01:13.611000,,
GAS,AlphaTauri,17.0,0 days 00:01:13.660000,,
STR,Aston Martin,18.0,0 days 00:01:13.678000,,
LAT,Williams,19.0,0 days 00:01:14.403000,,
ZHO,Alfa Romeo,20.0,0 days 00:01:15.606000,,
