driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
PER,Red Bull Racing,3.0,1.0,25.0,Finished,,
SAI,Ferrari,2.0,2.0,18.0,Finished,,
VER,Red Bull Racing,4.0,3.0,15.0,Finished,,
LEC,Ferrari,1.0,4.0,12.0,Finished,,
RUS,Mercedes,6.0,5.0,10.0,Finished,,
NOR,McLaren,5.0,6.0,9.0,Finished,,
ALO,Alpine,7.0,7.0,6.0,Finished,,
HAM,Mercedes,8.0,8.0,4.0,Finished,,
BOT,Alfa Romeo,12.0,9.0,2.0,Finished,,
VET,Aston Martin,9.0,10.0,1.0,Finished,,
GAS,AlphaTauri,17.0,11.0,0.0,Finished,,
OCO,Alpine,10.0,12.0,0.0,Finished,,
RIC,McLaren,14.0,13.0,0.0,Finished,,
STR,Aston Martin,18.0,14.0,0.0,Finished,,
LAT,Williams,19.0,15.0,0.0,+1 Lap,,
ZHO,Alfa Romeo,20.0,16.0,0.0,+1 Lap,,
TSU,AlphaTauri,11.0,17.0,0.0,+1 Lap,,
ALB,Williams,16.0,18.0,0.0,Mechanical,,
MSC,Haas F1 Team,15.0,19.0,0.0,Accident,,
MAG,Haas F1 Team,13.0,20.0,0.0,Water pressure,,
