Driver,Stint,Compound,LapStartTime,TyreLife
VER,2.0,INTERMEDIATE,0 days 02:04:00.206000,1.0
VER,2.0,INTERMEDIATE,0 days 02:06:36.960000,2.0
VER,2.0,INTERMEDIATE,0 days 02:08:59.574000,3.0
VER,2.0,INTERMEDIATE,0 days 02:10:45.177000,4.0
VER,2.0,INTERMEDIATE,0 days 02:12:26.603000,5.0
VER,2.0,INTERMEDIATE,0 days 02:14:07.521000,6.0
VER,2.0,INTERMEDIATE,0 days 02:15:45.672000,7.0
VER,2.0,INTERMEDIATE,0 days 02:17:23.700000,8.0
VER,2.0,INTERMEDIATE,0 days 02:19:01.415000,9.0
VER,2.0,INTERMEDIATE,0 days 02:20:38.366000,10.0
VER,2.0,INTERMEDIATE,0 days 02:22:15.200000,11.0
VER,2.0,INTERMEDIATE,0 days 02:23:51.008000,12.0
VER,2.0,INTERMEDIATE,0 days 02:25:26.422000,13.0
VER,2.0,INTERMEDIATE,0 days 02:27:00.679000,14.0
VER,2.0,INTERMEDIATE,0 days 02:28:34.710000,15.0
VER,2.0,INTERMEDIATE,0 days 02:30:07.412000,16.0
VER,2.0,INTERMEDIATE,0 days 02:31:39.525000,17.0
VER,2.0,INTERMEDIATE,0 days 02:33:10.905000,18.0
VER,2.0,INTERMEDIATE,0 days 02:35:00.023000,19.0
VER,2.0,INTERMEDIATE,0 days 02:36:28.690000,20.0
VER,2.0,INTERMEDIATE,0 days 02:37:53.495000,21.0
VER,2.0,INTERMEDIATE,0 days 02:39:20.754000,22.0
VER,3.0,HARD,0 days 02:41:05.442000,1.0
VER,3.0,HARD,0 days 02:42:36.726000,2.0
VER,3.0,HARD,0 days 02:44:01.310000,3.0
VER,3.0,HARD,0 days 02:45:24.275000,4.0
VER,3.0,HARD,0 days 02:46:46.949000,5.0
VER,3.0,HARD,0 days 02:48:47.124000,6.0
VER,3.0,HARD,0 days 02:50:53.346000,7.0
VER,3.0,HARD,0 days 02:52:52.152000,8.0
VER,4.0,MEDIUM,0 days 03:14:00.322000,1.0
VER,4.0,MEDIUM,0 days 03:16:53.648000,2.0
VER,4.0,MEDIUM,0 days 03:18:56.141000,3.0
VER,4.0,MEDIUM,0 days 03:20:19.744000,4.0
VER,4.0,MEDIUM,0 days 03:21:40.913000,5.0
VER,4.0,MEDIUM,0 days 03:23:00.763000,6.0
VER,4.0,MEDIUM,0 days 03:24:19.781000,7.0
VER,4.0,MEDIUM,0 days 03:25:38.262000,8.0
VER,4.0,MEDIUM,0 days 03:26:55.804000,9.0
VER,4.0,MEDIUM,0 days 03:28:12.848000,10.0
VER,4.0,MEDIUM,0 days 03:29:29.391000,11.0
VER,4.0,MEDIUM,0 days 03:30:45.664000,12.0
VER,4.0,MEDIUM,0 days 03:32:02.626000,13.0
VER,4.0,MEDIUM,0 days 03:33:20.052000,14.0
VER,4.0,MEDIUM,0 days 03:34:37.144000,15.0
VER,4.0,MEDIUM,0 days 03:35:53.905000,16.0
VER,4.0,MEDIUM,0 days 03:37:10.663000,17.0
VER,4.0,MEDIUM,0 days 03:38:26.715000,18.0
VER,4.0,MEDIUM,0 days 03:39:42.910000,19.0
VER,4.0,MEDIUM,0 days 03:40:59.816000,20.0
VER,4.0,MEDIUM,0 days 03:42:16.648000,21.0
VER,4.0,MEDIUM,0 days 03:43:34.151000,22.0
VER,4.0,MEDIUM,0 days 03:44:51.392000,23.0
VER,4.0,MEDIUM,0 days 03:46:09.060000,24.0
VER,4.0,MEDIUM,0 days 03:47:26.752000,25.0
VER,4.0,MEDIUM,0 days 03:48:44.979000,26.0
VER,4.0,MEDIUM,0 days 03:50:03.710000,27.0
VER,4.0,MEDIUM,0 days 03:51:22.626000,28.0
VER,4.0,MEDIUM,0 days 03:52:41.776000,29.0
VER,4.0,MEDIUM,0 days 03:54:00.791000,30.0
VER,4.0,MEDIUM,0 days 03:55:19.461000,31.0
VER,4.0,MEDIUM,0 days 03:56:38.365000,32.0
VER,4.0,MEDIUM,0 days 03:57:56.488000,33.0
VER,4.0,MEDIUM,0 days 03:59:14.256000,34.0
GAS,2.0,INTERMEDIATE,0 days 02:04:00.206000,1.0
GAS,2.0,INTERMEDIATE,0 days 02:07:03.058000,2.0
GAS,3.0,HARD,0 days 02:09:37.932000,1.0
GAS,3.0,HARD,0 days 02:11:21.926000,2.0
GAS,3.0,HARD,0 days 02:13:04.343000,3.0
GAS,3.0,HARD,0 days 02:14:43.774000,4.0
GAS,3.0,HARD,0 days 02:16:22.120000,5.0
GAS,3.0,HARD,0 days 02:17:59.806000,6.0
GAS,3.0,HARD,0 days 02:19:38.539000,7.0
GAS,3.0,HARD,0 days 02:21:17.028000,8.0
GAS,3.0,HARD,0 days 02:22:56.643000,9.0
GAS,3.0,HARD,0 days 02:24:35.051000,10.0
GAS,3.0,HARD,0 days 02:26:13.841000,11.0
GAS,3.0,HARD,0 days 02:27:50.644000,12.0
GAS,3.0,HARD,0 days 02:29:21.895000,13.0
GAS,3.0,HARD,0 days 02:30:54.823000,14.0
GAS,3.0,HARD,0 days 02:32:29.854000,15.0
GAS,3.0,HARD,0 days 02:34:05.039000,16.0
GAS,3.0,HARD,0 days 02:35:38.667000,17.0
GAS,3.0,HARD,0 days 02:37:12.080000,18.0
GAS,3.0,HARD,0 days 02:38:44.244000,19.0
GAS,3.0,HARD,0 days 02:40:16.570000,20.0
GAS,3.0,HARD,0 days 02:42:10.556000,21.0
GAS,3.0,HARD,0 days 02:43:42.871000,22.0
GAS,3.0,HARD,0 days 02:45:07.408000,23.0
GAS,3.0,HARD,0 days 02:46:30.294000,24.0
GAS,3.0,HARD,0 days 02:48:23.243000,25.0
GAS,3.0,HARD,0 days 02:50:16.903000,26.0
GAS,3.0,HARD,0 days 02:52:13.234000,27.0
GAS,3.0,HARD,0 days 02:53:51.050000,28.0
GAS,4.0,HARD,0 days 03:15:00.315000,9.0
GAS,4.0,HARD,0 days 03:17:13.678000,10.0
GAS,4.0,HARD,0 days 03:19:05.696000,11.0
GAS,4.0,HARD,0 days 03:20:30.745000,12.0
GAS,4.0,HARD,0 days 03:21:53.489000,13.0
GAS,4.0,HARD,0 days 03:23:15.910000,14.0
