driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
PER,Red Bull Racing,1.0,0 days 00:01:29.705000,0 days 00:01:28.924000,0 days 00:01:28.200000
LEC,Ferrari,2.0,0 days 00:01:29.039000,0 days 00:01:28.780000,0 days 00:01:28.225000
SAI,Ferrari,3.0,0 days 00:01:28.855000,0 days 00:01:28.686000,0 days 00:01:28.402000
VER,Red Bull Racing,4.0,0 days 00:01:28.928000,0 days 00:01:28.945000,0 days 00:01:28.461000
OCO,Alpine,5.0,0 days 00:01:30.093000,0 days 00:01:29.584000,0 days 00:01:29.068000
RUS,Mercedes,6.0,0 days 00:01:29.680000,0 days 00:01:29.618000,0 days 00:01:29.104000
ALO,Alpine,7.0,0 days 00:01:29.978000,0 days 00:01:29.295000,0 days 00:01:29.147000
BOT,Alfa Romeo,8.0,0 days 00:01:29.683000,0 days 00:01:29.404000,0 days 00:01:29.183000
GAS,AlphaTauri,9.0,0 days 00:01:29.891000,0 days 00:01:29.418000,0 days 00:01:29.254000
MAG,Haas F1 Team,10.0,0 days 00:01:29.831000,0 days 00:01:29.546000,0 days 00:01:29.588000
NOR,McLaren,11.0,0 days 00:01:29.957000,0 days 00:01:29.651000,
RIC,McLaren,12.0,0 days 00:01:30.009000,0 days 00:01:29.773000,
ZHO,Alfa Romeo,13.0,0 days 00:01:29.978000,0 days 00:01:29.819000,
MSC,Haas F1 Team,14.0,0 days 00:01:30.167000,0 days 00:01:29.920000,
STR,Aston Martin,15.0,0 days 00:01:30.256000,0 days 00:01:31.009000,
HAM,Mercedes,16.0,0 days 00:01:30.343000,,
ALB,Williams,17.0,0 days 00:01:30.492000,,
HUL,Aston Martin,18.0,0 days 00:01:30.543000,,
LAT,Williams,19.0,0 days 00:01:31.817000,,
TSU,AlphaTauri,20.0,,,
