driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,4.0,1.0,25.0,Finished,,
LEC,Ferrari,2.0,2.0,19.0,Finished,,
SAI,Ferrari,3.0,3.0,15.0,Finished,,
PER,Red Bull Racing,1.0,4.0,12.0,Finished,,
RUS,Mercedes,6.0,5.0,10.0,Finished,,
OCO,Alpine,5.0,6.0,8.0,Finished,,
NOR,McLaren,11.0,7.0,6.0,Finished,,
GAS,AlphaTauri,9.0,8.0,4.0,Finished,,
MAG,Haas F1 Team,10.0,9.0,2.0,Finished,,
HAM,Mercedes,15.0,10.0,1.0,Finished,,
ZHO,Alfa Romeo,12.0,11.0,0.0,Finished,,
HUL,Aston Martin,17.0,12.0,0.0,Finished,,
STR,Aston Martin,13.0,13.0,0.0,+1 Lap,,
ALB,Williams,16.0,14.0,0.0,Collision damage,,
BOT,Alfa Romeo,8.0,15.0,0.0,Cooling system,,
ALO,Alpine,7.0,16.0,0.0,Water pump,,
RIC,McLaren,14.0,17.0,0.0,Gearbox,,
LAT,Williams,18.0,18.0,0.0,Accident,,
TSU,AlphaTauri,19.0,19.0,0.0,Power Unit,,
MSC,Haas F1 Team,,,0.0,Withdrew,,
