Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:02:27.563000,1.0
VER,1.0,MEDIUM,0 days 01:04:05.876000,2.0
VER,1.0,MEDIUM,0 days 01:05:41.151000,3.0
VER,1.0,MEDIUM,0 days 01:07:16.041000,4.0
VER,1.0,MEDIUM,0 days 01:08:50.741000,5.0
VER,1.0,MEDIUM,0 days 01:10:25.550000,6.0
VER,1.0,MEDIUM,0 days 01:12:00.390000,7.0
VER,1.0,MEDIUM,0 days 01:13:35.024000,8.0
VER,1.0,MEDIUM,0 days 01:15:09.845000,9.0
VER,1.0,MEDIUM,0 days 01:16:44.677000,10.0
VER,1.0,MEDIUM,0 days 01:18:19.929000,11.0
VER,1.0,MEDIUM,0 days 01:19:54.888000,12.0
VER,1.0,MEDIUM,0 days 01:21:30.079000,13.0
VER,1.0,MEDIUM,0 days 01:23:05.061000,14.0
VER,1.0,MEDIUM,0 days 01:24:40.154000,15.0
VER,1.0,MEDIUM,0 days 01:26:15.524000,16.0
VER,2.0,HARD,0 days 01:28:00.101000,1.0
VER,2.0,HARD,0 days 01:31:02.769000,2.0
VER,2.0,HARD,0 days 01:33:42.304000,3.0
VER,2.0,HARD,0 days 01:36:11.939000,4.0
VER,2.0,HARD,0 days 01:38:55.419000,5.0
VER,2.0,HARD,0 days 01:40:30.646000,6.0
VER,2.0,HARD,0 days 01:42:04.813000,7.0
VER,2.0,HARD,0 days 01:43:38.501000,8.0
VER,2.0,HARD,0 days 01:45:11.946000,9.0
VER,2.0,HARD,0 days 01:46:45.247000,10.0
VER,2.0,HARD,0 days 01:48:18.551000,11.0
VER,2.0,HARD,0 days 01:49:51.610000,12.0
VER,2.0,HARD,0 days 01:51:24.640000,13.0
VER,2.0,HARD,0 days 01:52:57.570000,14.0
VER,2.0,HARD,0 days 01:54:30.348000,15.0
VER,2.0,HARD,0 days 01:56:03.245000,16.0
VER,2.0,HARD,0 days 01:57:36.132000,17.0
VER,2.0,HARD,0 days 01:59:08.987000,18.0
VER,2.0,HARD,0 days 02:00:41.814000,19.0
VER,2.0,HARD,0 days 02:02:14.288000,20.0
VER,2.0,HARD,0 days 02:03:46.831000,21.0
VER,2.0,HARD,0 days 02:05:19.955000,22.0
VER,2.0,HARD,0 days 02:07:08.828000,23.0
VER,2.0,HARD,0 days 02:09:16.422000,24.0
VER,2.0,HARD,0 days 02:11:20.121000,25.0
VER,2.0,HARD,0 days 02:12:55.066000,26.0
VER,2.0,HARD,0 days 02:14:27.821000,27.0
VER,2.0,HARD,0 days 02:16:02.465000,28.0
VER,2.0,HARD,0 days 02:17:34.767000,29.0
VER,2.0,HARD,0 days 02:19:06.830000,30.0
VER,2.0,HARD,0 days 02:20:39.567000,31.0
VER,2.0,HARD,0 days 02:22:11.346000,32.0
VER,2.0,HARD,0 days 02:23:43.207000,33.0
VER,2.0,HARD,0 days 02:25:15.286000,34.0
GAS,1.0,MEDIUM,0 days 01:02:27.563000,1.0
GAS,1.0,MEDIUM,0 days 01:04:10.900000,2.0
GAS,1.0,MEDIUM,0 days 01:05:49.799000,3.0
GAS,1.0,MEDIUM,0 days 01:07:26.680000,4.0
GAS,1.0,MEDIUM,0 days 01:09:04.426000,5.0
GAS,1.0,MEDIUM,0 days 01:10:41.410000,6.0
GAS,1.0,MEDIUM,0 days 01:12:18.229000,7.0
GAS,1.0,MEDIUM,0 days 01:13:54.697000,8.0
GAS,1.0,MEDIUM,0 days 01:15:31.472000,9.0
GAS,1.0,MEDIUM,0 days 01:17:08.905000,10.0
GAS,1.0,MEDIUM,0 days 01:18:45.495000,11.0
GAS,1.0,MEDIUM,0 days 01:20:22.493000,12.0
GAS,1.0,MEDIUM,0 days 01:21:59.566000,13.0
GAS,1.0,MEDIUM,0 days 01:23:36.660000,14.0
GAS,1.0,MEDIUM,0 days 01:25:14.813000,15.0
GAS,2.0,HARD,0 days 01:26:54.393000,1.0
GAS,2.0,HARD,0 days 01:29:18.124000,2.0
GAS,2.0,HARD,0 days 01:31:27.147000,3.0
GAS,2.0,HARD,0 days 01:34:05.232000,4.0
GAS,2.0,HARD,0 days 01:36:38.186000,5.0
GAS,2.0,HARD,0 days 01:39:00.548000,6.0
GAS,2.0,HARD,0 days 01:40:39.216000,7.0
GAS,2.0,HARD,0 days 01:42:16.483000,8.0
GAS,2.0,HARD,0 days 01:43:52.511000,9.0
GAS,2.0,HARD,0 days 01:45:28.433000,10.0
GAS,2.0,HARD,0 days 01:47:04.736000,11.0
GAS,2.0,HARD,0 days 01:48:41.030000,12.0
GAS,2.0,HARD,0 days 01:50:16.577000,13.0
GAS,2.0,HARD,0 days 01:51:52.720000,14.0
GAS,2.0,HARD,0 days 01:53:28.114000,15.0
GAS,2.0,HARD,0 days 01:55:02.912000,16.0
GAS,2.0,HARD,0 days 01:56:37.757000,17.0
GAS,2.0,HARD,0 days 01:58:12.383000,18.0
GAS,2.0,HARD,0 days 01:59:47.168000,19.0
GAS,2.0,HARD,0 days 02:01:21.833000,20.0
GAS,2.0,HARD,0 days 02:02:56.200000,21.0
GAS,2.0,HARD,0 days 02:04:31.793000,22.0
GAS,2.0,HARD,0 days 02:06:06.851000,23.0
GAS,2.0,HARD,0 days 02:08:12.491000,24.0
GAS,2.0,HARD,0 days 02:10:17.915000,25.0
GAS,2.0,HARD,0 days 02:12:11.059000,26.0
GAS,2.0,HARD,0 days 02:13:44.725000,27.0
GAS,2.0,HARD,0 days 02:15:18.193000,28.0
GAS,2.0,HARD,0 days 02:16:51.743000,29.0
GAS,2.0,HARD,0 days 02:18:25.420000,30.0
GAS,2.0,HARD,0 days 02:19:59.036000,31.0
GAS,2.0,HARD,0 days 02:21:32.815000,32.0
GAS,2.0,HARD,0 days 02:23:06.776000,33.0
GAS,2.0,HARD,0 days 02:24:41.107000,34.0
GAS,2.0,HARD,0 days 02:26:15.818000,35.0
PER,1.0,MEDIUM,0 days 01:02:27.563000,1.0
PER,1.0,MEDIUM,0 days 01:04:03.785000,2.0
PER,1.0,MEDIUM,0 days 01:05:38.507000,3.0
PER,1.0,MEDIUM,0 days 01:07:13.103000,4.0
PER,1.0,MEDIUM,0 days 01:08:47.543000,5.0
PER,1.0,MEDIUM,0 days 01:10:22.039000,6.0
PER,1.0,MEDIUM,0 days 01:11:56.520000,7.0
PER,1.0,MEDIUM,0 days 01:13:31.341000,8.0
PER,1.0,MEDIUM,0 days 01:15:05.960000,9.0
PER,1.0,MEDIUM,0 days 01:16:40.785000,10.0
PER,1.0,MEDIUM,0 days 01:18:15.621000,11.0
PER,1.0,MEDIUM,0 days 01:19:50.166000,12.0
PER,1.0,MEDIUM,0 days 01:21:24.837000,13.0
PER,1.0,MEDIUM,0 days 01:23:00.051000,14.0
PER,1.0,MEDIUM,0 days 01:24:35.367000,15.0
PER,2.0,HARD,0 days 01:26:13.958000,1.0
PER,2.0,HARD,0 days 01:28:22.064000,2.0
PER,2.0,HARD,0 days 01:31:03.751000,3.0
PER,2.0,HARD,0 days 01:33:44.892000,4.0
PER,2.0,HARD,0 days 01:36:13.671000,5.0
PER,2.0,HARD,0 days 01:38:55.827000,6.0
PER,2.0,HARD,0 days 01:40:32.794000,7.0
PER,2.0,HARD,0 days 01:42:07.453000,8.0
PER,2.0,HARD,0 days 01:43:41.152000,9.0
PER,2.0,HARD,0 days 01:45:14.967000,10.0
PER,2.0,HARD,0 days 01:46:48.664000,11.0
PER,2.0,HARD,0 days 01:48:22.272000,12.0
PER,2.0,HARD,0 days 01:49:55.819000,13.0
PER,2.0,HARD,0 days 01:51:29.226000,14.0
PER,2.0,HARD,0 days 01:53:02.539000,15.0
PER,2.0,HARD,0 days 01:54:36.186000,16.0
PER,2.0,HARD,0 days 01:56:09.288000,17.0
PER,2.0,HARD,0 days 01:57:42.439000,18.0
PER,2.0,HARD,0 days 01:59:15.561000,19.0
PER,2.0,HARD,0 days 02:00:48.496000,20.0
PER,2.0,HARD,0 days 02:02:22.025000,21.0
PER,2.0,HARD,0 days 02:03:54.903000,22.0
PER,2.0,HARD,0 days 02:05:27.911000,23.0
PER,2.0,HARD,0 days 02:07:21.672000,24.0
PER,2.0,HARD,0 days 02:09:27.928000,25.0
PER,2.0,HARD,0 days 02:11:32.873000,26.0
PER,2.0,HARD,0 days 02:13:06.847000,27.0
PER,2.0,HARD,0 days 02:14:39.052000,28.0
PER,2.0,HARD,0 days 02:16:11.462000,29.0
PER,2.0,HARD,0 days 02:17:43.506000,30.0
PER,2.0,HARD,0 days 02:19:15.599000,31.0
PER,2.0,HARD,0 days 02:20:47.641000,32.0
