driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
LEC,Ferrari,1.0,0 days 00:01:54.129000,0 days 00:01:52.343000,0 days 00:01:49.412000
PER,Red Bull Racing,2.0,0 days 00:01:54.404000,0 days 00:01:52.818000,0 days 00:01:49.434000
HAM,Mercedes,3.0,0 days 00:01:53.161000,0 days 00:01:52.691000,0 days 00:01:49.466000
SAI,Ferrari,4.0,0 days 00:01:54.559000,0 days 00:01:53.219000,0 days 00:01:49.583000
ALO,Alpine,5.0,0 days 00:01:55.360000,0 days 00:01:53.127000,0 days 00:01:49.966000
NOR,McLaren,6.0,0 days 00:01:55.914000,0 days 00:01:53.942000,0 days 00:01:50.584000
GAS,AlphaTauri,7.0,0 days 00:01:55.606000,0 days 00:01:53.546000,0 days 00:01:51.211000
VER,Red Bull Racing,8.0,0 days 00:01:53.057000,0 days 00:01:52.723000,0 days 00:01:51.395000
MAG,Haas F1 Team,9.0,0 days 00:01:55.103000,0 days 00:01:54.006000,0 days 00:01:51.573000
TSU,AlphaTauri,10.0,0 days 00:01:55.314000,0 days 00:01:53.848000,0 days 00:01:51.983000
RUS,Mercedes,11.0,0 days 00:01:54.633000,0 days 00:01:54.012000,
STR,Aston Martin,12.0,0 days 00:01:55.629000,0 days 00:01:54.211000,
MSC,Haas F1 Team,13.0,0 days 00:01:55.736000,0 days 00:01:54.370000,
VET,Aston Martin,14.0,0 days 00:01:55.602000,0 days 00:01:54.380000,
ZHO,Alfa Romeo,15.0,0 days 00:01:55.375000,0 days 00:01:55.518000,
BOT,Alfa Romeo,16.0,0 days 00:01:56.083000,,
RIC,McLaren,17.0,0 days 00:01:56.226000,,
OCO,Alpine,18.0,0 days 00:01:56.337000,,
ALB,Williams,19.0,0 days 00:01:56.985000,,
LAT,Williams,20.0,0 days 00:01:57.532000,,
