driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
PER,Red Bull Racing,2.0,1.0,25.0,Finished,,
LEC,Ferrari,1.0,2.0,18.0,Finished,,
SAI,Ferrari,4.0,3.0,15.0,Finished,,
NOR,McLaren,6.0,4.0,12.0,Finished,,
RIC,McLaren,16.0,5.0,10.0,Finished,,
STR,Aston Martin,11.0,6.0,8.0,Finished,,
VER,Red Bull Racing,8.0,7.0,6.0,Finished,,
VET,Aston Martin,13.0,8.0,4.0,Finished,,
HAM,Mercedes,3.0,9.0,2.0,Finished,,
GAS,AlphaTauri,7.0,10.0,1.0,Finished,,
BOT,Alfa Romeo,15.0,11.0,0.0,Finished,,
MAG,Haas F1 Team,9.0,12.0,0.0,Finished,,
MSC,Haas F1 Team,12.0,13.0,0.0,+1 Lap,,
RUS,Mercedes,0.0,14.0,0.0,+2 Laps,,
TSU,AlphaTauri,10.0,15.0,0.0,Accident,,
OCO,Alpine,17.0,16.0,0.0,Engine,,
ALB,Williams,18.0,17.0,0.0,Collision damage,,
ALO,Alpine,5.0,18.0,0.0,Engine,,
LAT,Williams,19.0,19.0,0.0,Collision damage,,
ZHO,Alfa Romeo,14.0,20.0,0.0,Collision,,
