Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,INTERMEDIATE,0 days 02:07:56.483000,1.0
VER,1.0,INTERMEDIATE,0 days 02:10:15.338000,2.0
VER,1.0,INTERMEDIATE,0 days 02:12:19.727000,3.0
VER,1.0,INTERMEDIATE,0 days 02:14:23.096000,4.0
VER,1.0,INTERMEDIATE,0 days 02:16:26.334000,5.0
VER,1.0,INTERMEDIATE,0 days 02:18:29.037000,6.0
VER,1.0,INTERMEDIATE,0 days 02:20:32.064000,7.0
VER,1.0,INTERMEDIATE,0 days 02:22:35.353000,8.0
VER,1.0,INTERMEDIATE,0 days 02:24:58.593000,9.0
VER,1.0,INTERMEDIATE,0 days 02:27:41.342000,10.0
VER,1.0,INTERMEDIATE,0 days 02:30:19.881000,11.0
VER,1.0,INTERMEDIATE,0 days 02:32:21.493000,12.0
VER,1.0,INTERMEDIATE,0 days 02:34:22.460000,13.0
VER,1.0,INTERMEDIATE,0 days 02:36:24.302000,14.0
VER,1.0,INTERMEDIATE,0 days 02:38:25.860000,15.0
VER,1.0,INTERMEDIATE,0 days 02:40:27.267000,16.0
VER,1.0,INTERMEDIATE,0 days 02:42:28.405000,17.0
VER,1.0,INTERMEDIATE,0 days 02:44:29.314000,18.0
VER,1.0,INTERMEDIATE,0 days 02:46:30.121000,19.0
VER,1.0,INTERMEDIATE,0 days 02:48:30.641000,20.0
VER,1.0,INTERMEDIATE,0 days 02:50:31.200000,21.0
VER,1.0,INTERMEDIATE,0 days 02:52:40.841000,22.0
VER,1.0,INTERMEDIATE,0 days 02:55:16.145000,23.0
VER,1.0,INTERMEDIATE,0 days 02:57:14.522000,24.0
VER,1.0,INTERMEDIATE,0 days 02:59:13.306000,25.0
VER,1.0,INTERMEDIATE,0 days 03:01:12.995000,26.0
VER,1.0,INTERMEDIATE,0 days 03:03:35.690000,27.0
VER,1.0,INTERMEDIATE,0 days 03:05:36.154000,28.0
VER,1.0,INTERMEDIATE,0 days 03:07:49.654000,29.0
VER,1.0,INTERMEDIATE,0 days 03:10:30.457000,30.0
VER,1.0,INTERMEDIATE,0 days 03:12:39.410000,31.0
VER,1.0,INTERMEDIATE,0 days 03:14:38.445000,32.0
VER,1.0,INTERMEDIATE,0 days 03:16:37.370000,33.0
