Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:29.739000,,0 days 00:00:32.819000,0 days 00:00:29.417000,SOFT,4.0,,
VER,0 days 00:01:27.509000,0 days 00:00:24.345000,0 days 00:00:33.238000,0 days 00:00:29.926000,SOFT,5.0,,
VER,0 days 00:01:27.574000,0 days 00:00:24.494000,0 days 00:00:33.214000,0 days 00:00:29.866000,SOFT,6.0,,
VER,0 days 00:01:27.601000,0 days 00:00:24.462000,0 days 00:00:33.042000,0 days 00:00:30.097000,SOFT,7.0,,
VER,0 days 00:01:27.937000,0 days 00:00:24.486000,0 days 00:00:33.222000,0 days 00:00:30.229000,SOFT,8.0,,
VER,0 days 00:01:27.761000,0 days 00:00:24.334000,0 days 00:00:33.237000,0 days 00:00:30.190000,SOFT,9.0,,
VER,0 days 00:01:28.070000,0 days 00:00:24.501000,0 days 00:00:33.262000,0 days 00:00:30.307000,SOFT,10.0,,
VER,0 days 00:01:28.115000,0 days 00:00:24.383000,0 days 00:00:33.323000,0 days 00:00:30.409000,SOFT,11.0,,
VER,0 days 00:01:36.463000,0 days 00:00:24.368000,0 days 00:00:41.369000,0 days 00:00:30.726000,SOFT,12.0,,
VER,0 days 00:01:29.262000,0 days 00:00:24.056000,0 days 00:00:34.172000,0 days 00:00:31.034000,SOFT,13.0,,
VER,0 days 00:01:29.192000,0 days 00:00:24.352000,0 days 00:00:34.242000,0 days 00:00:30.598000,SOFT,14.0,,
VER,0 days 00:01:29.055000,0 days 00:00:24.544000,0 days 00:00:33.811000,0 days 00:00:30.700000,SOFT,15.0,,
VER,0 days 00:01:32.379000,0 days 00:00:24.492000,0 days 00:00:33.688000,0 days 00:00:34.199000,SOFT,16.0,,0 days 01:21:31.061000
VER,0 days 00:01:45.251000,0 days 00:00:42.776000,0 days 00:00:32.813000,0 days 00:00:29.662000,MEDIUM,1.0,0 days 01:21:53.251000,
VER,0 days 00:01:27.317000,0 days 00:00:24.196000,0 days 00:00:33.032000,0 days 00:00:30.089000,MEDIUM,2.0,,
VER,0 days 00:01:28.085000,0 days 00:00:24.333000,0 days 00:00:33.647000,0 days 00:00:30.105000,MEDIUM,3.0,,
VER,0 days 00:01:28.130000,0 days 00:00:23.953000,0 days 00:00:33.699000,0 days 00:00:30.478000,MEDIUM,4.0,,
VER,0 days 00:01:28.336000,0 days 00:00:24.473000,0 days 00:00:33.820000,0 days 00:00:30.043000,MEDIUM,5.0,,
VER,0 days 00:01:27.954000,0 days 00:00:24.112000,0 days 00:00:33.661000,0 days 00:00:30.181000,MEDIUM,6.0,,
VER,0 days 00:01:28.275000,0 days 00:00:24.470000,0 days 00:00:33.445000,0 days 00:00:30.360000,MEDIUM,7.0,,
VER,0 days 00:01:28.094000,0 days 00:00:24.340000,0 days 00:00:33.487000,0 days 00:00:30.267000,MEDIUM,8.0,,
VER,0 days 00:01:28.207000,0 days 00:00:24.429000,0 days 00:00:33.446000,0 days 00:00:30.332000,MEDIUM,9.0,,
