driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,2.0,1.0,25.0,Finished,,
PER,Red Bull Racing,5.0,2.0,19.0,Finished,,
RUS,Mercedes,4.0,3.0,15.0,Finished,,
SAI,Ferrari,3.0,4.0,12.0,Finished,,
HAM,Mercedes,6.0,5.0,10.0,Finished,,
BOT,Alfa Romeo,7.0,6.0,8.0,Finished,,
OCO,Alpine,12.0,7.0,6.0,Finished,,
NOR,McLaren,11.0,8.0,4.0,Finished,,
ALO,Alpine,20.0,9.0,2.0,+1 Lap,,
TSU,AlphaTauri,13.0,10.0,1.0,+1 Lap,,
VET,Aston Martin,16.0,11.0,0.0,+1 Lap,,
RIC,McLaren,9.0,12.0,0.0,+1 Lap,,
GAS,AlphaTauri,14.0,13.0,0.0,+1 Lap,,
MSC,Haas F1 Team,10.0,14.0,0.0,+1 Lap,,
STR,Aston Martin,17.0,15.0,0.0,+1 Lap,,
LAT,Williams,19.0,16.0,0.0,+2 Laps,,
MAG,Haas F1 Team,8.0,17.0,0.0,+2 Laps,,
ALB,Williams,18.0,18.0,0.0,+2 Laps,,
ZHO,Alfa Romeo,15.0,19.0,0.0,Power loss,,
LEC,Ferrari,1.0,20.0,0.0,Turbo,,
