Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,SOFT,0 days 01:02:12.915000,4.0
VER,1.0,SOFT,0 days 01:03:42.883000,5.0
VER,1.0,SOFT,0 days 01:05:10.392000,6.0
VER,1.0,SOFT,0 days 01:06:37.966000,7.0
VER,1.0,SOFT,0 days 01:08:05.567000,8.0
VER,1.0,SOFT,0 days 01:09:33.504000,9.0
VER,1.0,SOFT,0 days 01:11:01.265000,10.0
VER,1.0,SOFT,0 days 01:12:29.335000,11.0
VER,1.0,SOFT,0 days 01:13:57.450000,12.0
VER,1.0,SOFT,0 days 01:15:33.913000,13.0
VER,1.0,SOFT,0 days 01:17:03.175000,14.0
VER,1.0,SOFT,0 days 01:18:32.367000,15.0
VER,1.0,SOFT,0 days 01:20:01.422000,16.0
VER,2.0,MEDIUM,0 days 01:21:33.801000,1.0
VER,2.0,MEDIUM,0 days 01:23:19.052000,2.0
VER,2.0,MEDIUM,0 days 01:24:46.369000,3.0
VER,2.0,MEDIUM,0 days 01:26:14.454000,4.0
VER,2.0,MEDIUM,0 days 01:27:42.584000,5.0
VER,2.0,MEDIUM,0 days 01:29:10.920000,6.0
VER,2.0,MEDIUM,0 days 01:30:38.874000,7.0
VER,2.0,MEDIUM,0 days 01:32:07.149000,8.0
VER,2.0,MEDIUM,0 days 01:33:35.243000,9.0
VER,2.0,MEDIUM,0 days 01:35:03.450000,10.0
VER,2.0,MEDIUM,0 days 01:36:31.916000,11.0
VER,2.0,MEDIUM,0 days 01:38:01.518000,12.0
VER,2.0,MEDIUM,0 days 01:39:30.475000,13.0
VER,2.0,MEDIUM,0 days 01:40:58.961000,14.0
VER,2.0,MEDIUM,0 days 01:42:27.494000,15.0
VER,3.0,SOFT,0 days 01:43:59.757000,4.0
VER,3.0,SOFT,0 days 01:45:43.123000,5.0
VER,3.0,SOFT,0 days 01:47:08.855000,6.0
VER,3.0,SOFT,0 days 01:48:35.855000,7.0
VER,3.0,SOFT,0 days 01:50:01.829000,8.0
VER,3.0,SOFT,0 days 01:51:28.628000,9.0
VER,3.0,SOFT,0 days 01:52:55.145000,10.0
VER,3.0,SOFT,0 days 01:54:22.096000,11.0
VER,3.0,SOFT,0 days 01:55:49.351000,12.0
VER,3.0,SOFT,0 days 01:57:16.124000,13.0
VER,3.0,SOFT,0 days 01:58:42.710000,14.0
VER,3.0,SOFT,0 days 02:00:09.486000,15.0
VER,3.0,SOFT,0 days 02:01:36.416000,16.0
VER,3.0,SOFT,0 days 02:03:03.871000,17.0
VER,3.0,SOFT,0 days 02:04:31.047000,18.0
VER,3.0,SOFT,0 days 02:05:58.181000,19.0
VER,4.0,MEDIUM,0 days 02:07:28.995000,1.0
VER,4.0,MEDIUM,0 days 02:09:12.849000,2.0
VER,4.0,MEDIUM,0 days 02:10:38.305000,3.0
VER,4.0,MEDIUM,0 days 02:12:04.009000,4.0
VER,4.0,MEDIUM,0 days 02:13:29.764000,5.0
VER,4.0,MEDIUM,0 days 02:14:56.006000,6.0
VER,4.0,MEDIUM,0 days 02:16:22.497000,7.0
VER,4.0,MEDIUM,0 days 02:17:49.157000,8.0
VER,4.0,MEDIUM,0 days 02:19:15.942000,9.0
VER,4.0,MEDIUM,0 days 02:20:42.598000,10.0
VER,4.0,MEDIUM,0 days 02:22:09.533000,11.0
VER,4.0,MEDIUM,0 days 02:23:36.548000,12.0
VER,4.0,MEDIUM,0 days 02:25:03.586000,13.0
VER,4.0,MEDIUM,0 days 02:26:30.204000,14.0
VER,4.0,MEDIUM,0 days 02:27:56.825000,15.0
VER,4.0,MEDIUM,0 days 02:29:23.688000,16.0
VER,4.0,MEDIUM,0 days 02:30:50.278000,17.0
VER,4.0,MEDIUM,0 days 02:32:17.097000,18.0
VER,4.0,MEDIUM,0 days 02:33:44.021000,19.0
VER,4.0,MEDIUM,0 days 02:35:11.226000,20.0
VER,4.0,MEDIUM,0 days 02:36:38.571000,21.0
VER,4.0,MEDIUM,0 days 02:38:06.182000,22.0
PER,1.0,SOFT,0 days 01:02:12.915000,4.0
PER,1.0,SOFT,0 days 01:03:45.359000,5.0
PER,1.0,SOFT,0 days 01:05:13.150000,6.0
PER,1.0,SOFT,0 days 01:06:41.092000,7.0
PER,1.0,SOFT,0 days 01:08:09.211000,8.0
PER,1.0,SOFT,0 days 01:09:37.745000,9.0
PER,1.0,SOFT,0 days 01:11:06.453000,10.0
PER,1.0,SOFT,0 days 01:12:34.909000,11.0
PER,1.0,SOFT,0 days 01:14:03.612000,12.0
PER,1.0,SOFT,0 days 01:15:33.087000,13.0
PER,1.0,SOFT,0 days 01:17:02.633000,14.0
PER,1.0,SOFT,0 days 01:18:33.410000,15.0
PER,1.0,SOFT,0 days 01:20:02.981000,16.0
PER,1.0,SOFT,0 days 01:21:32.329000,17.0
PER,1.0,SOFT,0 days 01:23:01.505000,18.0
PER,1.0,SOFT,0 days 01:24:30.788000,19.0
PER,1.0,SOFT,0 days 01:26:00.022000,20.0
PER,2.0,MEDIUM,0 days 01:27:32.750000,1.0
PER,2.0,MEDIUM,0 days 01:29:18.238000,2.0
PER,2.0,MEDIUM,0 days 01:30:45.407000,3.0
PER,2.0,MEDIUM,0 days 01:32:12.719000,4.0
PER,2.0,MEDIUM,0 days 01:33:40.102000,5.0
