driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
MAG,Haas F1 Team,1.0,0 days 00:01:13.954000,0 days 00:01:11.410000,0 days 00:01:11.674000
VER,Red Bull Racing,2.0,0 days 00:01:13.625000,0 days 00:01:10.881000,0 days 00:01:11.877000
RUS,Mercedes,3.0,0 days 00:01:14.427000,0 days 00:01:11.318000,0 days 00:01:12.059000
NOR,McLaren,4.0,0 days 00:01:13.106000,0 days 00:01:11.377000,0 days 00:01:12.263000
SAI,Ferrari,5.0,0 days 00:01:14.680000,0 days 00:01:10.890000,0 days 00:01:12.357000
OCO,Alpine,6.0,0 days 00:01:14.663000,0 days 00:01:11.587000,0 days 00:01:12.425000
ALO,Alpine,7.0,0 days 00:01:13.542000,0 days 00:01:11.394000,0 days 00:01:12.504000
HAM,Mercedes,8.0,0 days 00:01:13.403000,0 days 00:01:11.539000,0 days 00:01:12.611000
PER,Red Bull Racing,9.0,0 days 00:01:13.613000,0 days 00:01:11.456000,0 days 00:01:15.601000
LEC,Ferrari,10.0,0 days 00:01:14.486000,0 days 00:01:10.950000,
ALB,Williams,11.0,0 days 00:01:14.324000,0 days 00:01:11.631000,
GAS,AlphaTauri,12.0,0 days 00:01:14.371000,0 days 00:01:11.675000,
VET,Aston Martin,13.0,0 days 00:01:13.597000,0 days 00:01:11.678000,
RIC,McLaren,14.0,0 days 00:01:14.931000,0 days 00:01:12.140000,
STR,Aston Martin,15.0,0 days 00:01:14.398000,0 days 00:01:12.210000,
LAT,Williams,16.0,0 days 00:01:15.095000,,
ZHO,Alfa Romeo,17.0,0 days 00:01:15.197000,,
BOT,Alfa Romeo,18.0,0 days 00:01:15.486000,,
TSU,AlphaTauri,19.0,0 days 00:01:16.264000,,
MSC,Haas F1 Team,20.0,0 days 00:01:16.361000,,
