Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:32.564000,,0 days 00:00:42.188000,0 days 00:00:26.222000,SOFT,1.0,,
VER,0 days 00:01:54.095000,0 days 00:00:25.886000,0 days 00:01:01.448000,0 days 00:00:26.761000,SOFT,2.0,,
VER,0 days 00:01:59.616000,0 days 00:00:30.869000,0 days 00:01:01.894000,0 days 00:00:26.853000,SOFT,3.0,,
VER,0 days 00:02:00.947000,0 days 00:00:30.755000,0 days 00:01:03.100000,0 days 00:00:27.092000,SOFT,4.0,,
VER,0 days 00:01:53.381000,0 days 00:00:29.986000,0 days 00:00:58.408000,0 days 00:00:24.987000,SOFT,5.0,,
VER,0 days 00:02:04.049000,0 days 00:00:29.374000,0 days 00:01:02.113000,0 days 00:00:32.562000,SOFT,6.0,,
VER,0 days 00:01:25.930000,0 days 00:00:23.148000,0 days 00:00:41.137000,0 days 00:00:21.645000,SOFT,7.0,,0 days 01:14:34.180000
VER,0 days 00:01:41.052000,0 days 00:00:44.545000,0 days 00:00:39.037000,0 days 00:00:17.470000,MEDIUM,1.0,0 days 01:15:05.199000,
VER,0 days 00:01:15.564000,0 days 00:00:19.349000,0 days 00:00:38.704000,0 days 00:00:17.511000,MEDIUM,2.0,,
VER,0 days 00:01:15.866000,0 days 00:00:19.285000,0 days 00:00:39.093000,0 days 00:00:17.488000,MEDIUM,3.0,,
VER,0 days 00:01:16.204000,0 days 00:00:19.380000,0 days 00:00:39.349000,0 days 00:00:17.475000,MEDIUM,4.0,,
VER,0 days 00:01:16.434000,0 days 00:00:19.483000,0 days 00:00:39.381000,0 days 00:00:17.570000,MEDIUM,5.0,,
VER,0 days 00:01:16.444000,0 days 00:00:19.472000,0 days 00:00:39.498000,0 days 00:00:17.474000,MEDIUM,6.0,,
VER,0 days 00:01:16.353000,0 days 00:00:19.373000,0 days 00:00:39.398000,0 days 00:00:17.582000,MEDIUM,7.0,,
VER,0 days 00:01:16.468000,0 days 00:00:19.385000,0 days 00:00:39.575000,0 days 00:00:17.508000,MEDIUM,8.0,,
VER,0 days 00:01:16.688000,0 days 00:00:19.350000,0 days 00:00:39.731000,0 days 00:00:17.607000,MEDIUM,9.0,,
VER,0 days 00:01:17.050000,0 days 00:00:19.507000,0 days 00:00:39.916000,0 days 00:00:17.627000,MEDIUM,10.0,,
VER,0 days 00:01:16.851000,0 days 00:00:19.446000,0 days 00:00:39.821000,0 days 00:00:17.584000,MEDIUM,11.0,,
VER,0 days 00:01:17.837000,0 days 00:00:19.408000,0 days 00:00:40.633000,0 days 00:00:17.796000,MEDIUM,12.0,,
VER,0 days 00:01:17.323000,0 days 00:00:19.575000,0 days 00:00:40.103000,0 days 00:00:17.645000,MEDIUM,13.0,,
VER,0 days 00:01:17.484000,0 days 00:00:19.641000,0 days 00:00:40.124000,0 days 00:00:17.719000,MEDIUM,14.0,,
VER,0 days 00:01:17.293000,0 days 00:00:19.546000,0 days 00:00:40.039000,0 days 00:00:17.708000,MEDIUM,15.0,,
VER,0 days 00:01:21.517000,0 days 00:00:19.686000,0 days 00:00:40.465000,0 days 00:00:21.366000,MEDIUM,16.0,,0 days 01:35:30.606000
VER,0 days 00:01:42.169000,0 days 00:00:45.399000,0 days 00:00:39.414000,0 days 00:00:17.356000,SOFT,8.0,0 days 01:36:02.360000,
VER,0 days 00:01:16.050000,0 days 00:00:19.269000,0 days 00:00:39.324000,0 days 00:00:17.457000,SOFT,9.0,,
VER,0 days 00:01:16.145000,0 days 00:00:19.295000,0 days 00:00:39.325000,0 days 00:00:17.525000,SOFT,10.0,,
VER,0 days 00:01:15.991000,0 days 00:00:19.295000,0 days 00:00:39.283000,0 days 00:00:17.413000,SOFT,11.0,,
VER,0 days 00:01:15.830000,0 days 00:00:19.322000,0 days 00:00:39.209000,0 days 00:00:17.299000,SOFT,12.0,,
VER,0 days 00:01:16.370000,0 days 00:00:19.225000,0 days 00:00:39.685000,0 days 00:00:17.460000,SOFT,13.0,,
VER,0 days 00:01:16.171000,0 days 00:00:19.265000,0 days 00:00:39.549000,0 days 00:00:17.357000,SOFT,14.0,,
VER,0 days 00:01:16.275000,0 days 00:00:19.407000,0 days 00:00:39.427000,0 days 00:00:17.441000,SOFT,15.0,,
VER,0 days 00:01:16.521000,0 days 00:00:19.386000,0 days 00:00:39.765000,0 days 00:00:17.370000,SOFT,16.0,,
VER,0 days 00:01:16.998000,0 days 00:00:19.245000,0 days 00:00:40.345000,0 days 00:00:17.408000,SOFT,17.0,,
VER,0 days 00:01:16.099000,0 days 00:00:19.121000,0 days 00:00:39.643000,0 days 00:00:17.335000,SOFT,18.0,,
VER,0 days 00:01:16.476000,0 days 00:00:19.253000,0 days 00:00:39.815000,0 days 00:00:17.408000,SOFT,19.0,,
