driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
RUS,Mercedes,1.0,1.0,26.0,Finished,,
HAM,Mercedes,2.0,2.0,18.0,Finished,,
SAI,Ferrari,7.0,3.0,15.0,Finished,,
LEC,Ferrari,5.0,4.0,12.0,Finished,,
ALO,Alpine,17.0,5.0,10.0,Finished,,
VER,Red Bull Racing,3.0,6.0,8.0,Finished,,
PER,Red Bull Racing,4.0,7.0,6.0,Finished,,
OCO,Alpine,16.0,8.0,4.0,Finished,,
BOT,Alfa Romeo,14.0,9.0,2.0,Finished,,
STR,Aston Martin,15.0,10.0,1.0,Finished,,
VET,Aston Martin,9.0,11.0,0.0,Finished,,
ZHO,Alfa Romeo,13.0,12.0,0.0,Finished,,
MSC,Haas F1 Team,12.0,13.0,0.0,Finished,,
GAS,AlphaTauri,10.0,14.0,0.0,Finished,,
ALB,Williams,19.0,15.0,0.0,Finished,,
LAT,Williams,18.0,16.0,0.0,Finished,,
TSU,AlphaTauri,0.0,17.0,0.0,+1 Lap,,
NOR,McLaren,6.0,18.0,0.0,Gearbox,,
MAG,Haas F1 Team,8.0,19.0,0.0,Collision,,
RIC,McLaren,11.0,20.0,0.0,Collision,,
