🏎️ SÃO PAULO GRAND PRIX 2022

🏆 Race Results:
1.0. RUS (Mercedes) - 26.0 pts - Status: Finished
2.0. HAM (Mercedes) - 18.0 pts - Status: Finished
3.0. SAI (Ferrari) - 15.0 pts - Status: Finished
4.0. LEC (Ferrari) - 12.0 pts - Status: Finished
5.0. ALO (Alpine) - 10.0 pts - Status: Finished
6.0. VER (Red Bull Racing) - 8.0 pts - Status: Finished
7.0. PER (Red Bull Racing) - 6.0 pts - Status: Finished
8.0. OCO (Alpine) - 4.0 pts - Status: Finished
9.0. BOT (Alfa Romeo) - 2.0 pts - Status: Finished
10.0. STR (Aston Martin) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. MAG (Haas F1 Team) - Q3: 0 days 00:01:11.674000
2.0. VER (Red Bull Racing) - Q3: 0 days 00:01:11.877000
3.0. RUS (Mercedes) - Q3: 0 days 00:01:12.059000
4.0. NOR (McLaren) - Q3: 0 days 00:01:12.263000
5.0. SAI (Ferrari) - Q3: 0 days 00:01:12.357000

🛞 Tire Stints:
Driver Compound  Stint
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   VER     SOFT    4.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS   MEDIUM    2.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS     SOFT    3.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
   GAS   MEDIUM    4.0
