Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,SOFT,0 days 01:01:46.277000,1.0
VER,1.0,SOFT,0 days 01:03:19.075000,2.0
VER,1.0,SOFT,0 days 01:05:13.170000,3.0
VER,1.0,SOFT,0 days 01:07:12.786000,4.0
VER,1.0,SOFT,0 days 01:09:13.733000,5.0
VER,1.0,SOFT,0 days 01:11:07.114000,6.0
VER,1.0,SOFT,0 days 01:13:11.163000,7.0
VER,2.0,MEDIUM,0 days 01:14:37.093000,1.0
VER,2.0,MEDIUM,0 days 01:16:18.145000,2.0
VER,2.0,MEDIUM,0 days 01:17:33.709000,3.0
VER,2.0,MEDIUM,0 days 01:18:49.575000,4.0
VER,2.0,MEDIUM,0 days 01:20:05.779000,5.0
VER,2.0,MEDIUM,0 days 01:21:22.213000,6.0
VER,2.0,MEDIUM,0 days 01:22:38.657000,7.0
VER,2.0,MEDIUM,0 days 01:23:55.010000,8.0
VER,2.0,MEDIUM,0 days 01:25:11.478000,9.0
VER,2.0,MEDIUM,0 days 01:26:28.166000,10.0
VER,2.0,MEDIUM,0 days 01:27:45.216000,11.0
VER,2.0,MEDIUM,0 days 01:29:02.067000,12.0
VER,2.0,MEDIUM,0 days 01:30:19.904000,13.0
VER,2.0,MEDIUM,0 days 01:31:37.227000,14.0
VER,2.0,MEDIUM,0 days 01:32:54.711000,15.0
VER,2.0,MEDIUM,0 days 01:34:12.004000,16.0
VER,3.0,SOFT,0 days 01:35:33.521000,8.0
VER,3.0,SOFT,0 days 01:37:15.690000,9.0
VER,3.0,SOFT,0 days 01:38:31.740000,10.0
VER,3.0,SOFT,0 days 01:39:47.885000,11.0
VER,3.0,SOFT,0 days 01:41:03.876000,12.0
VER,3.0,SOFT,0 days 01:42:19.706000,13.0
VER,3.0,SOFT,0 days 01:43:36.076000,14.0
VER,3.0,SOFT,0 days 01:44:52.247000,15.0
VER,3.0,SOFT,0 days 01:46:08.522000,16.0
VER,3.0,SOFT,0 days 01:47:25.043000,17.0
VER,3.0,SOFT,0 days 01:48:42.041000,18.0
VER,3.0,SOFT,0 days 01:49:58.140000,19.0
VER,3.0,SOFT,0 days 01:51:14.616000,20.0
VER,3.0,SOFT,0 days 01:52:30.993000,21.0
VER,3.0,SOFT,0 days 01:53:47.021000,22.0
VER,3.0,SOFT,0 days 01:55:03.341000,23.0
VER,3.0,SOFT,0 days 01:56:19.825000,24.0
VER,3.0,SOFT,0 days 01:57:36.084000,25.0
VER,3.0,SOFT,0 days 01:58:52.417000,26.0
VER,3.0,SOFT,0 days 02:00:08.532000,27.0
VER,3.0,SOFT,0 days 02:01:24.752000,28.0
VER,3.0,SOFT,0 days 02:02:40.945000,29.0
VER,3.0,SOFT,0 days 02:03:58.168000,30.0
VER,3.0,SOFT,0 days 02:05:14.122000,31.0
VER,3.0,SOFT,0 days 02:06:30.432000,32.0
VER,4.0,SOFT,0 days 02:07:50.337000,1.0
VER,4.0,SOFT,0 days 02:09:23.099000,2.0
VER,4.0,SOFT,0 days 02:10:37.808000,3.0
VER,4.0,SOFT,0 days 02:11:52.862000,4.0
VER,4.0,SOFT,0 days 02:13:17.933000,5.0
VER,4.0,SOFT,0 days 02:14:59.358000,6.0
VER,4.0,SOFT,0 days 02:16:41.163000,7.0
VER,4.0,SOFT,0 days 02:18:22.058000,8.0
VER,4.0,SOFT,0 days 02:19:48.679000,9.0
VER,4.0,SOFT,0 days 02:21:43.114000,10.0
VER,4.0,SOFT,0 days 02:23:38.208000,11.0
VER,4.0,SOFT,0 days 02:25:33.393000,12.0
VER,4.0,SOFT,0 days 02:26:50.008000,13.0
VER,4.0,SOFT,0 days 02:28:05.456000,14.0
VER,4.0,SOFT,0 days 02:29:20.761000,15.0
VER,4.0,SOFT,0 days 02:30:35.039000,16.0
VER,4.0,SOFT,0 days 02:31:49.234000,17.0
VER,4.0,SOFT,0 days 02:33:03.518000,18.0
VER,4.0,SOFT,0 days 02:34:18.078000,19.0
VER,4.0,SOFT,0 days 02:35:32.273000,20.0
VER,4.0,SOFT,0 days 02:36:46.901000,21.0
VER,4.0,SOFT,0 days 02:38:01.677000,22.0
VER,4.0,SOFT,0 days 02:39:16.224000,23.0
GAS,1.0,SOFT,0 days 01:01:46.277000,1.0
GAS,1.0,SOFT,0 days 01:03:28.640000,2.0
GAS,1.0,SOFT,0 days 01:05:20.647000,3.0
GAS,1.0,SOFT,0 days 01:07:20.297000,4.0
GAS,1.0,SOFT,0 days 01:09:21.875000,5.0
GAS,1.0,SOFT,0 days 01:11:17.647000,6.0
GAS,1.0,SOFT,0 days 01:13:12.811000,7.0
GAS,1.0,SOFT,0 days 01:14:31.707000,8.0
GAS,1.0,SOFT,0 days 01:15:49.118000,9.0
GAS,1.0,SOFT,0 days 01:17:06.418000,10.0
GAS,1.0,SOFT,0 days 01:18:23.959000,11.0
GAS,1.0,SOFT,0 days 01:19:41.300000,12.0
GAS,1.0,SOFT,0 days 01:20:58.618000,13.0
GAS,1.0,SOFT,0 days 01:22:16.076000,14.0
GAS,1.0,SOFT,0 days 01:23:33.736000,15.0
GAS,1.0,SOFT,0 days 01:24:51.512000,16.0
GAS,1.0,SOFT,0 days 01:26:09.516000,17.0
GAS,1.0,SOFT,0 days 01:27:27.274000,18.0
GAS,1.0,SOFT,0 days 01:28:44.922000,19.0
GAS,2.0,MEDIUM,0 days 01:30:06.614000,1.0
GAS,2.0,MEDIUM,0 days 01:31:41.293000,2.0
GAS,2.0,MEDIUM,0 days 01:32:58.155000,3.0
GAS,2.0,MEDIUM,0 days 01:34:15.396000,4.0
