driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
SAI,Ferrari,1.0,0 days 00:01:35.297000,0 days 00:01:35.590000,0 days 00:01:34.356000
LEC,Ferrari,2.0,0 days 00:01:35.795000,0 days 00:01:35.246000,0 days 00:01:34.421000
VER,Red Bull Racing,3.0,0 days 00:01:35.864000,0 days 00:01:35.294000,0 days 00:01:34.448000
PER,Red Bull Racing,4.0,0 days 00:01:36.163000,0 days 00:01:35.864000,0 days 00:01:34.645000
HAM,Mercedes,5.0,0 days 00:01:36.148000,0 days 00:01:35.732000,0 days 00:01:34.947000
RUS,Mercedes,6.0,0 days 00:01:36.195000,0 days 00:01:35.692000,0 days 00:01:34.988000
STR,Aston Martin,7.0,0 days 00:01:36.860000,0 days 00:01:36.032000,0 days 00:01:35.598000
NOR,McLaren,8.0,0 days 00:01:36.465000,0 days 00:01:36.341000,0 days 00:01:35.690000
ALO,Alpine,9.0,0 days 00:01:36.446000,0 days 00:01:35.988000,0 days 00:01:35.876000
BOT,Alfa Romeo,10.0,0 days 00:01:36.746000,0 days 00:01:36.321000,0 days 00:01:36.319000
ALB,Williams,11.0,0 days 00:01:36.932000,0 days 00:01:36.368000,
VET,Aston Martin,12.0,0 days 00:01:36.695000,0 days 00:01:36.398000,
GAS,AlphaTauri,13.0,0 days 00:01:36.577000,0 days 00:01:36.740000,
ZHO,Alfa Romeo,14.0,0 days 00:01:36.656000,0 days 00:01:36.970000,
TSU,AlphaTauri,15.0,0 days 00:01:36.808000,0 days 00:01:37.147000,
MAG,Haas F1 Team,16.0,0 days 00:01:36.949000,,
RIC,McLaren,17.0,0 days 00:01:37.046000,,
OCO,Alpine,18.0,0 days 00:01:37.068000,,
MSC,Haas F1 Team,19.0,0 days 00:01:37.111000,,
LAT,Williams,20.0,0 days 00:01:37.244000,,
