Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:41.343000,,0 days 00:00:40.647000,0 days 00:00:33.198000,MEDIUM,1.0,,
VER,0 days 00:01:41.696000,0 days 00:00:27.804000,0 days 00:00:40.703000,0 days 00:00:33.189000,MEDIUM,2.0,,
VER,0 days 00:01:41.893000,0 days 00:00:27.910000,0 days 00:00:40.636000,0 days 00:00:33.347000,MEDIUM,3.0,,
VER,0 days 00:01:42.581000,0 days 00:00:28.030000,0 days 00:00:40.805000,0 days 00:00:33.746000,MEDIUM,4.0,,
VER,0 days 00:01:42.870000,0 days 00:00:28.203000,0 days 00:00:41.199000,0 days 00:00:33.468000,MEDIUM,5.0,,
VER,0 days 00:01:42.826000,0 days 00:00:28.026000,0 days 00:00:41.091000,0 days 00:00:33.709000,MEDIUM,6.0,,
VER,0 days 00:01:42.314000,0 days 00:00:27.879000,0 days 00:00:40.930000,0 days 00:00:33.505000,MEDIUM,7.0,,
VER,0 days 00:01:42.830000,0 days 00:00:28.139000,0 days 00:00:41.029000,0 days 00:00:33.662000,MEDIUM,8.0,,
VER,0 days 00:01:42.412000,0 days 00:00:27.870000,0 days 00:00:40.943000,0 days 00:00:33.599000,MEDIUM,9.0,,
VER,0 days 00:01:42.492000,0 days 00:00:27.827000,0 days 00:00:41.055000,0 days 00:00:33.610000,MEDIUM,10.0,,
VER,0 days 00:01:42.583000,0 days 00:00:27.818000,0 days 00:00:41.199000,0 days 00:00:33.566000,MEDIUM,11.0,,
VER,0 days 00:01:43.011000,0 days 00:00:27.819000,0 days 00:00:41.238000,0 days 00:00:33.954000,MEDIUM,12.0,,
VER,0 days 00:01:42.675000,0 days 00:00:27.756000,0 days 00:00:41.146000,0 days 00:00:33.773000,MEDIUM,13.0,,0 days 01:24:50.943000
VER,0 days 00:02:02.112000,0 days 00:00:47.830000,0 days 00:00:40.746000,0 days 00:00:33.536000,HARD,1.0,0 days 01:25:14.799000,
