driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,2.0,1.0,25.0,Finished,,
HAM,Mercedes,3.0,2.0,18.0,Finished,,
LEC,Ferrari,12.0,3.0,15.0,Finished,,
PER,Red Bull Racing,9.0,4.0,12.0,Finished,,
RUS,Mercedes,4.0,5.0,11.0,Finished,,
NOR,McLaren,6.0,6.0,8.0,Finished,,
ALO,Alpine,14.0,7.0,6.0,Finished,,
VET,Aston Martin,10.0,8.0,4.0,Finished,,
MAG,Haas F1 Team,13.0,9.0,2.0,Finished,,
TSU,AlphaTauri,19.0,10.0,1.0,Finished,,
OCO,Alpine,0.0,11.0,0.0,Finished,,
ZHO,Alfa Romeo,18.0,12.0,0.0,Finished,,
ALB,Williams,8.0,13.0,0.0,Finished,,
GAS,AlphaTauri,11.0,14.0,0.0,Finished,,
MSC,Haas F1 Team,16.0,15.0,0.0,Finished,,
RIC,McLaren,15.0,16.0,0.0,Finished,,
LAT,Williams,17.0,17.0,0.0,Finished,,
STR,Aston Martin,5.0,18.0,0.0,Collision,,
BOT,Alfa Romeo,7.0,19.0,0.0,Spun off,,
SAI,Ferrari,1.0,20.0,0.0,Collision damage,,
