Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:02:40.170000,1.0
VER,1.0,MEDIUM,0 days 01:04:21.760000,2.0
VER,1.0,MEDIUM,0 days 01:06:03.456000,3.0
VER,1.0,MEDIUM,0 days 01:07:45.349000,4.0
VER,1.0,MEDIUM,0 days 01:09:27.930000,5.0
VER,1.0,MEDIUM,0 days 01:11:10.800000,6.0
VER,1.0,MEDIUM,0 days 01:12:53.626000,7.0
VER,1.0,MEDIUM,0 days 01:14:35.940000,8.0
VER,1.0,MEDIUM,0 days 01:16:18.770000,9.0
VER,1.0,MEDIUM,0 days 01:18:01.182000,10.0
VER,1.0,MEDIUM,0 days 01:19:43.674000,11.0
VER,1.0,MEDIUM,0 days 01:21:26.257000,12.0
VER,1.0,MEDIUM,0 days 01:23:09.268000,13.0
VER,2.0,HARD,0 days 01:24:51.943000,1.0
VER,2.0,HARD,0 days 01:26:54.055000,2.0
VER,2.0,HARD,0 days 01:28:36.479000,3.0
VER,2.0,HARD,0 days 01:30:18.384000,4.0
VER,2.0,HARD,0 days 01:32:00.867000,5.0
VER,2.0,HARD,0 days 01:34:00.587000,6.0
VER,2.0,HARD,0 days 01:36:44.685000,7.0
VER,2.0,HARD,0 days 01:39:20.804000,8.0
VER,2.0,HARD,0 days 01:42:02.706000,9.0
VER,2.0,HARD,0 days 01:44:04.876000,10.0
VER,2.0,HARD,0 days 01:46:56.611000,11.0
VER,2.0,HARD,0 days 01:49:49.525000,12.0
VER,2.0,HARD,0 days 01:52:26.589000,13.0
VER,2.0,HARD,0 days 01:54:07.967000,14.0
VER,2.0,HARD,0 days 01:55:49.472000,15.0
VER,2.0,HARD,0 days 01:57:31.010000,16.0
VER,2.0,HARD,0 days 01:59:12.055000,17.0
VER,2.0,HARD,0 days 02:00:53.239000,18.0
VER,2.0,HARD,0 days 02:02:34.650000,19.0
VER,2.0,HARD,0 days 02:04:15.988000,20.0
VER,2.0,HARD,0 days 02:05:57.709000,21.0
VER,2.0,HARD,0 days 02:07:38.951000,22.0
VER,3.0,MEDIUM,0 days 02:09:20.240000,1.0
VER,3.0,MEDIUM,0 days 02:11:27.952000,2.0
VER,3.0,MEDIUM,0 days 02:13:07.493000,3.0
VER,3.0,MEDIUM,0 days 02:14:47.704000,4.0
VER,3.0,MEDIUM,0 days 02:16:28.041000,5.0
VER,3.0,MEDIUM,0 days 02:18:08.149000,6.0
VER,3.0,MEDIUM,0 days 02:19:48.226000,7.0
VER,3.0,MEDIUM,0 days 02:21:28.236000,8.0
VER,3.0,MEDIUM,0 days 02:23:08.012000,9.0
VER,3.0,MEDIUM,0 days 02:24:48.422000,10.0
VER,3.0,MEDIUM,0 days 02:26:28.408000,11.0
VER,3.0,MEDIUM,0 days 02:28:08.353000,12.0
VER,3.0,MEDIUM,0 days 02:29:48.411000,13.0
VER,3.0,MEDIUM,0 days 02:31:28.682000,14.0
VER,3.0,MEDIUM,0 days 02:33:08.912000,15.0
VER,3.0,MEDIUM,0 days 02:34:49.742000,16.0
VER,3.0,MEDIUM,0 days 02:36:29.894000,17.0
VER,3.0,MEDIUM,0 days 02:38:10.325000,18.0
VER,3.0,MEDIUM,0 days 02:39:50.622000,19.0
VER,3.0,MEDIUM,0 days 02:41:30.790000,20.0
VER,3.0,MEDIUM,0 days 02:43:11.464000,21.0
GAS,1.0,MEDIUM,0 days 01:02:40.170000,1.0
GAS,1.0,MEDIUM,0 days 01:04:28.825000,2.0
GAS,1.0,MEDIUM,0 days 01:06:13.326000,3.0
GAS,1.0,MEDIUM,0 days 01:07:56.928000,4.0
GAS,1.0,MEDIUM,0 days 01:09:40.499000,5.0
GAS,1.0,MEDIUM,0 days 01:11:26.934000,6.0
GAS,1.0,MEDIUM,0 days 01:13:11.374000,7.0
GAS,1.0,MEDIUM,0 days 01:14:54.978000,8.0
GAS,1.0,MEDIUM,0 days 01:16:39.574000,9.0
GAS,1.0,MEDIUM,0 days 01:18:24.593000,10.0
GAS,1.0,MEDIUM,0 days 01:20:08.823000,11.0
GAS,2.0,HARD,0 days 01:21:53.151000,2.0
GAS,2.0,HARD,0 days 01:23:56.099000,3.0
GAS,2.0,HARD,0 days 01:25:39.907000,4.0
GAS,2.0,HARD,0 days 01:27:23.650000,5.0
GAS,2.0,HARD,0 days 01:29:07.624000,6.0
GAS,2.0,HARD,0 days 01:30:51.502000,7.0
GAS,2.0,HARD,0 days 01:32:35.089000,8.0
GAS,2.0,HARD,0 days 01:34:43.566000,9.0
GAS,2.0,HARD,0 days 01:37:04.556000,10.0
GAS,2.0,HARD,0 days 01:39:35.583000,11.0
GAS,2.0,HARD,0 days 01:42:06.082000,12.0
GAS,2.0,HARD,0 days 01:44:14.531000,13.0
GAS,2.0,HARD,0 days 01:47:07.524000,14.0
GAS,2.0,HARD,0 days 01:49:58.904000,15.0
GAS,2.0,HARD,0 days 01:52:29.801000,16.0
GAS,2.0,HARD,0 days 01:54:14.013000,17.0
GAS,2.0,HARD,0 days 01:55:57.446000,18.0
GAS,2.0,HARD,0 days 01:57:41.711000,19.0
GAS,2.0,HARD,0 days 01:59:24.561000,20.0
GAS,2.0,HARD,0 days 02:01:08,21.0
GAS,2.0,HARD,0 days 02:02:51.032000,22.0
GAS,3.0,HARD,0 days 02:04:34.115000,2.0
GAS,3.0,HARD,0 days 02:06:42.899000,3.0
GAS,3.0,HARD,0 days 02:08:25.441000,4.0
GAS,3.0,HARD,0 days 02:10:07.773000,5.0
GAS,3.0,HARD,0 days 02:11:50.310000,6.0
GAS,3.0,HARD,0 days 02:13:32.807000,7.0
GAS,3.0,HARD,0 days 02:15:15.910000,8.0
GAS,3.0,HARD,0 days 02:16:58.384000,9.0
GAS,3.0,HARD,0 days 02:18:40.786000,10.0
GAS,3.0,HARD,0 days 02:20:23.408000,11.0
GAS,3.0,HARD,0 days 02:22:06.128000,12.0
GAS,3.0,HARD,0 days 02:23:48.709000,13.0
GAS,3.0,HARD,0 days 02:25:30.920000,14.0
GAS,3.0,HARD,0 days 02:27:13.796000,15.0
GAS,3.0,HARD,0 days 02:28:56.319000,16.0
GAS,3.0,HARD,0 days 02:30:39.019000,17.0
GAS,3.0,HARD,0 days 02:32:21.367000,18.0
GAS,3.0,HARD,0 days 02:34:03.536000,19.0
GAS,3.0,HARD,0 days 02:35:45.605000,20.0
GAS,3.0,HARD,0 days 02:37:28.509000,21.0
GAS,3.0,HARD,0 days 02:39:11.820000,22.0
GAS,3.0,HARD,0 days 02:40:55.995000,23.0
GAS,3.0,HARD,0 days 02:42:39.752000,24.0
GAS,3.0,HARD,0 days 02:44:21.426000,25.0
PER,1.0,MEDIUM,0 days 01:02:40.170000,1.0
PER,1.0,MEDIUM,0 days 01:04:27.940000,2.0
PER,1.0,MEDIUM,0 days 01:06:11.113000,3.0
PER,1.0,MEDIUM,0 days 01:07:53.583000,4.0
PER,1.0,MEDIUM,0 days 01:09:36.262000,5.0
PER,1.0,MEDIUM,0 days 01:11:20.053000,6.0
PER,1.0,MEDIUM,0 days 01:13:02.805000,7.0
PER,1.0,MEDIUM,0 days 01:14:45.543000,8.0
PER,1.0,MEDIUM,0 days 01:16:28.618000,9.0
PER,1.0,MEDIUM,0 days 01:18:11.796000,10.0
PER,1.0,MEDIUM,0 days 01:19:55.117000,11.0
PER,1.0,MEDIUM,0 days 01:21:38.541000,12.0
PER,1.0,MEDIUM,0 days 01:23:22.068000,13.0
PER,1.0,MEDIUM,0 days 01:25:05.815000,14.0
PER,2.0,HARD,0 days 01:26:48.625000,1.0
PER,2.0,HARD,0 days 01:28:50.785000,2.0
PER,2.0,HARD,0 days 01:30:32.737000,3.0
PER,2.0,HARD,0 days 01:32:15.250000,4.0
PER,2.0,HARD,0 days 01:34:15.606000,5.0
PER,2.0,HARD,0 days 01:36:48.984000,6.0
PER,2.0,HARD,0 days 01:39:24.176000,7.0
PER,2.0,HARD,0 days 01:42:04.049000,8.0
PER,2.0,HARD,0 days 01:44:07.294000,9.0
PER,2.0,HARD,0 days 01:47:00.163000,10.0
PER,2.0,HARD,0 days 01:49:51.247000,11.0
PER,2.0,HARD,0 days 01:52:27.952000,12.0
PER,2.0,HARD,0 days 01:54:10.343000,13.0
PER,2.0,HARD,0 days 01:55:52.152000,14.0
PER,2.0,HARD,0 days 01:57:33.829000,15.0
PER,2.0,HARD,0 days 01:59:16.141000,16.0
PER,2.0,HARD,0 days 02:00:59.531000,17.0
PER,2.0,HARD,0 days 02:02:41.255000,18.0
PER,2.0,HARD,0 days 02:04:23.492000,19.0
PER,2.0,HARD,0 days 02:06:05.536000,20.0
PER,2.0,HARD,0 days 02:07:47.131000,21.0
PER,2.0,HARD,0 days 02:09:29.073000,22.0
PER,2.0,HARD,0 days 02:11:11.319000,23.0
PER,2.0,HARD,0 days 02:12:52.976000,24.0
PER,3.0,MEDIUM,0 days 02:14:34.446000,1.0
PER,3.0,MEDIUM,0 days 02:16:35.486000,2.0
PER,3.0,MEDIUM,0 days 02:18:15.642000,3.0
PER,3.0,MEDIUM,0 days 02:19:55.949000,4.0
PER,3.0,MEDIUM,0 days 02:21:35.606000,5.0
PER,3.0,MEDIUM,0 days 02:23:15.507000,6.0
PER,3.0,MEDIUM,0 days 02:24:55.070000,7.0
PER,3.0,MEDIUM,0 days 02:26:35.380000,8.0
PER,3.0,MEDIUM,0 days 02:28:15.685000,9.0
PER,3.0,MEDIUM,0 days 02:29:55.621000,10.0
PER,3.0,MEDIUM,0 days 02:31:35.663000,11.0
PER,3.0,MEDIUM,0 days 02:33:15.743000,12.0
PER,3.0,MEDIUM,0 days 02:34:56.470000,13.0
PER,3.0,MEDIUM,0 days 02:36:36.981000,14.0
PER,3.0,MEDIUM,0 days 02:38:17.836000,15.0
PER,3.0,MEDIUM,0 days 02:39:58.475000,16.0
PER,3.0,MEDIUM,0 days 02:41:39.199000,17.0
PER,3.0,MEDIUM,0 days 02:43:19.632000,18.0
ALO,1.0,HARD,0 days 01:02:40.170000,1.0
ALO,1.0,HARD,0 days 01:04:31.139000,2.0
ALO,1.0,HARD,0 days 01:06:16.378000,3.0
ALO,1.0,HARD,0 days 01:08:00.879000,4.0
ALO,1.0,HARD,0 days 01:09:45.420000,5.0
ALO,1.0,HARD,0 days 01:11:30.359000,6.0
ALO,1.0,HARD,0 days 01:13:14.864000,7.0
ALO,1.0,HARD,0 days 01:14:59.136000,8.0
ALO,1.0,HARD,0 days 01:16:43.771000,9.0
ALO,1.0,HARD,0 days 01:18:28.242000,10.0
ALO,1.0,HARD,0 days 01:20:12.907000,11.0
ALO,1.0,HARD,0 days 01:21:57.602000,12.0
ALO,1.0,HARD,0 days 01:23:42.448000,13.0
ALO,1.0,HARD,0 days 01:25:27.312000,14.0
ALO,1.0,HARD,0 days 01:27:11.275000,15.0
ALO,1.0,HARD,0 days 01:28:55.279000,16.0
ALO,1.0,HARD,0 days 01:30:39.889000,17.0
ALO,1.0,HARD,0 days 01:32:24.329000,18.0
ALO,2.0,MEDIUM,0 days 01:34:27.541000,1.0
ALO,2.0,MEDIUM,0 days 01:37:05.540000,2.0
ALO,2.0,MEDIUM,0 days 01:39:37.348000,3.0
ALO,2.0,MEDIUM,0 days 01:42:06.391000,4.0
ALO,3.0,HARD,0 days 01:44:25.134000,1.0
ALO,3.0,HARD,0 days 01:47:24.734000,2.0
ALO,3.0,HARD,0 days 01:50:14.370000,3.0
ALO,3.0,HARD,0 days 01:52:34.924000,4.0
ALO,3.0,HARD,0 days 01:54:20.433000,5.0
ALO,3.0,HARD,0 days 01:56:05.415000,6.0
ALO,3.0,HARD,0 days 01:57:48.869000,7.0
ALO,3.0,HARD,0 days 01:59:32.488000,8.0
ALO,3.0,HARD,0 days 02:01:16.471000,9.0
ALO,3.0,HARD,0 days 02:03:00.034000,10.0
ALO,3.0,HARD,0 days 02:04:43.652000,11.0
ALO,3.0,HARD,0 days 02:06:26.922000,12.0
ALO,3.0,HARD,0 days 02:08:10.096000,13.0
ALO,3.0,HARD,0 days 02:09:53.182000,14.0
ALO,3.0,HARD,0 days 02:11:36.417000,15.0
ALO,3.0,HARD,0 days 02:13:19.395000,16.0
ALO,3.0,HARD,0 days 02:15:02.370000,17.0
ALO,3.0,HARD,0 days 02:16:45.487000,18.0
ALO,3.0,HARD,0 days 02:18:28.122000,19.0
ALO,3.0,HARD,0 days 02:20:11.020000,20.0
ALO,3.0,HARD,0 days 02:21:53.657000,21.0
ALO,3.0,HARD,0 days 02:23:36.372000,22.0
ALO,3.0,HARD,0 days 02:25:19.104000,23.0
ALO,3.0,HARD,0 days 02:27:01.109000,24.0
ALO,3.0,HARD,0 days 02:28:43.329000,25.0
ALO,3.0,HARD,0 days 02:30:25.827000,26.0
ALO,3.0,HARD,0 days 02:32:07.856000,27.0
ALO,3.0,HARD,0 days 02:33:50.034000,28.0
ALO,3.0,HARD,0 days 02:35:32.186000,29.0
ALO,3.0,HARD,0 days 02:37:13.990000,30.0
ALO,3.0,HARD,0 days 02:38:56.182000,31.0
ALO,3.0,HARD,0 days 02:40:38.450000,32.0
ALO,3.0,HARD,0 days 02:42:20.917000,33.0
ALO,3.0,HARD,0 days 02:44:04.765000,34.0
LEC,1.0,MEDIUM,0 days 01:02:40.170000,1.0
LEC,1.0,MEDIUM,0 days 01:04:29.891000,2.0
LEC,1.0,MEDIUM,0 days 01:06:14.029000,3.0
LEC,1.0,MEDIUM,0 days 01:07:57.386000,4.0
LEC,1.0,MEDIUM,0 days 01:09:41.519000,5.0
LEC,1.0,MEDIUM,0 days 01:11:25.479000,6.0
LEC,1.0,MEDIUM,0 days 01:13:08.495000,7.0
LEC,1.0,MEDIUM,0 days 01:14:51.164000,8.0
LEC,1.0,MEDIUM,0 days 01:16:35.078000,9.0
LEC,1.0,MEDIUM,0 days 01:18:18.765000,10.0
LEC,1.0,MEDIUM,0 days 01:20:02.231000,11.0
LEC,1.0,MEDIUM,0 days 01:21:45.741000,12.0
LEC,1.0,MEDIUM,0 days 01:23:28.909000,13.0
LEC,1.0,MEDIUM,0 days 01:25:12.730000,14.0
LEC,1.0,MEDIUM,0 days 01:26:55.977000,15.0
LEC,1.0,MEDIUM,0 days 01:28:38.648000,16.0
LEC,1.0,MEDIUM,0 days 01:30:21.194000,17.0
LEC,1.0,MEDIUM,0 days 01:32:04.430000,18.0
LEC,2.0,HARD,0 days 01:34:00.019000,1.0
LEC,2.0,HARD,0 days 01:36:52.484000,2.0
LEC,2.0,HARD,0 days 01:39:25.800000,3.0
LEC,2.0,HARD,0 days 01:42:04.499000,4.0
LEC,2.0,HARD,0 days 01:44:08.173000,5.0
LEC,2.0,HARD,0 days 01:47:01.392000,6.0
LEC,2.0,HARD,0 days 01:49:52.798000,7.0
LEC,2.0,HARD,0 days 01:52:28.379000,8.0
LEC,2.0,HARD,0 days 01:54:11.099000,9.0
LEC,2.0,HARD,0 days 01:55:53.166000,10.0
LEC,2.0,HARD,0 days 01:57:34.734000,11.0
LEC,2.0,HARD,0 days 01:59:17.013000,12.0
LEC,2.0,HARD,0 days 02:00:58.592000,13.0
LEC,2.0,HARD,0 days 02:02:40.615000,14.0
LEC,2.0,HARD,0 days 02:04:22.256000,15.0
LEC,2.0,HARD,0 days 02:06:04.447000,16.0
LEC,2.0,HARD,0 days 02:07:46.043000,17.0
LEC,3.0,MEDIUM,0 days 02:09:28.222000,1.0
LEC,3.0,MEDIUM,0 days 02:11:27.189000,2.0
LEC,3.0,MEDIUM,0 days 02:13:06.920000,3.0
LEC,3.0,MEDIUM,0 days 02:14:47.187000,4.0
LEC,3.0,MEDIUM,0 days 02:16:28.685000,5.0
LEC,3.0,MEDIUM,0 days 02:18:08.927000,6.0
LEC,3.0,MEDIUM,0 days 02:19:49.153000,7.0
LEC,3.0,MEDIUM,0 days 02:21:29.146000,8.0
LEC,3.0,MEDIUM,0 days 02:23:08.984000,9.0
LEC,3.0,MEDIUM,0 days 02:24:49.758000,10.0
LEC,3.0,MEDIUM,0 days 02:26:30.815000,11.0
LEC,3.0,MEDIUM,0 days 02:28:12.065000,12.0
LEC,3.0,MEDIUM,0 days 02:29:52.555000,13.0
LEC,3.0,MEDIUM,0 days 02:31:33.102000,14.0
LEC,3.0,MEDIUM,0 days 02:33:13.804000,15.0
LEC,3.0,MEDIUM,0 days 02:34:54.631000,16.0
LEC,3.0,MEDIUM,0 days 02:36:35.197000,17.0
LEC,3.0,MEDIUM,0 days 02:38:15.737000,18.0
LEC,3.0,MEDIUM,0 days 02:39:56.196000,19.0
LEC,3.0,MEDIUM,0 days 02:41:37.111000,20.0
LEC,3.0,MEDIUM,0 days 02:43:18.173000,21.0
STR,1.0,MEDIUM,0 days 01:02:40.170000,2.0
STR,1.0,MEDIUM,0 days 01:04:24.670000,3.0
STR,1.0,MEDIUM,0 days 01:06:07.959000,4.0
STR,1.0,MEDIUM,0 days 01:07:51.039000,5.0
STR,1.0,MEDIUM,0 days 01:09:34.335000,6.0
STR,1.0,MEDIUM,0 days 01:11:19.617000,7.0
STR,1.0,MEDIUM,0 days 01:13:03.843000,8.0
STR,1.0,MEDIUM,0 days 01:14:47.450000,9.0
STR,1.0,MEDIUM,0 days 01:16:31.705000,10.0
STR,1.0,MEDIUM,0 days 01:18:15.576000,11.0
STR,1.0,MEDIUM,0 days 01:19:59.336000,12.0
STR,1.0,MEDIUM,0 days 01:21:42.985000,13.0
STR,1.0,MEDIUM,0 days 01:23:26.955000,14.0
STR,1.0,MEDIUM,0 days 01:25:11.450000,15.0
STR,1.0,MEDIUM,0 days 01:26:57.205000,16.0
STR,2.0,MEDIUM,0 days 01:28:41.181000,2.0
STR,2.0,MEDIUM,0 days 01:30:44.418000,3.0
STR,2.0,MEDIUM,0 days 01:32:28.088000,4.0
STR,2.0,MEDIUM,0 days 01:34:33.389000,5.0
STR,2.0,MEDIUM,0 days 01:37:00.571000,6.0
STR,2.0,MEDIUM,0 days 01:39:32.407000,7.0
STR,2.0,MEDIUM,0 days 01:42:05.596000,8.0
MAG,1.0,HARD,0 days 01:02:40.170000,1.0
MAG,1.0,HARD,0 days 01:04:34.091000,2.0
MAG,1.0,HARD,0 days 01:06:20.921000,3.0
MAG,1.0,HARD,0 days 01:08:07.044000,4.0
MAG,1.0,HARD,0 days 01:09:52.006000,5.0
MAG,1.0,HARD,0 days 01:11:37.247000,6.0
MAG,1.0,HARD,0 days 01:13:21.944000,7.0
MAG,1.0,HARD,0 days 01:15:06.674000,8.0
MAG,1.0,HARD,0 days 01:16:51.880000,9.0
MAG,1.0,HARD,0 days 01:18:36.684000,10.0
MAG,1.0,HARD,0 days 01:20:21.401000,11.0
MAG,1.0,HARD,0 days 01:22:05.958000,12.0
MAG,1.0,HARD,0 days 01:23:50.770000,13.0
MAG,1.0,HARD,0 days 01:25:36.355000,14.0
MAG,1.0,HARD,0 days 01:27:21.226000,15.0
MAG,1.0,HARD,0 days 01:29:05.727000,16.0
MAG,1.0,HARD,0 days 01:30:50.474000,17.0
MAG,1.0,HARD,0 days 01:32:36.098000,18.0
MAG,2.0,MEDIUM,0 days 01:34:44.156000,1.0
MAG,2.0,MEDIUM,0 days 01:37:24.233000,2.0
MAG,2.0,MEDIUM,0 days 01:39:47.691000,3.0
MAG,2.0,MEDIUM,0 days 01:42:09.045000,4.0
MAG,2.0,MEDIUM,0 days 01:44:21.151000,5.0
MAG,2.0,MEDIUM,0 days 01:47:14.949000,6.0
MAG,2.0,MEDIUM,0 days 01:50:05.437000,7.0
MAG,2.0,MEDIUM,0 days 01:52:32.816000,8.0
MAG,2.0,MEDIUM,0 days 01:54:17.112000,9.0
MAG,2.0,MEDIUM,0 days 01:56:01.026000,10.0
MAG,2.0,MEDIUM,0 days 01:57:45.086000,11.0
MAG,2.0,MEDIUM,0 days 01:59:28.795000,12.0
MAG,2.0,MEDIUM,0 days 02:01:12.218000,13.0
MAG,2.0,MEDIUM,0 days 02:02:56.026000,14.0
MAG,2.0,MEDIUM,0 days 02:04:39.778000,15.0
MAG,2.0,MEDIUM,0 days 02:06:23.546000,16.0
MAG,2.0,MEDIUM,0 days 02:08:06.446000,17.0
MAG,2.0,MEDIUM,0 days 02:09:48.992000,18.0
MAG,2.0,MEDIUM,0 days 02:11:32.190000,19.0
MAG,2.0,MEDIUM,0 days 02:13:15.773000,20.0
MAG,2.0,MEDIUM,0 days 02:14:58.548000,21.0
MAG,2.0,MEDIUM,0 days 02:16:41.712000,22.0
MAG,2.0,MEDIUM,0 days 02:18:24.601000,23.0
MAG,2.0,MEDIUM,0 days 02:20:08.034000,24.0
MAG,2.0,MEDIUM,0 days 02:21:50.697000,25.0
MAG,2.0,MEDIUM,0 days 02:23:33.576000,26.0
MAG,2.0,MEDIUM,0 days 02:25:16.429000,27.0
MAG,2.0,MEDIUM,0 days 02:26:59.280000,28.0
MAG,2.0,MEDIUM,0 days 02:28:42.329000,29.0
MAG,2.0,MEDIUM,0 days 02:30:25.038000,30.0
MAG,2.0,MEDIUM,0 days 02:32:08.877000,31.0
MAG,2.0,MEDIUM,0 days 02:33:53.141000,32.0
MAG,2.0,MEDIUM,0 days 02:35:36.301000,33.0
MAG,2.0,MEDIUM,0 days 02:37:19.288000,34.0
MAG,2.0,MEDIUM,0 days 02:39:02.417000,35.0
MAG,2.0,MEDIUM,0 days 02:40:45.829000,36.0
MAG,2.0,MEDIUM,0 days 02:42:29.924000,37.0
MAG,2.0,MEDIUM,0 days 02:44:13.015000,38.0
TSU,1.0,MEDIUM,0 days 01:02:40.170000,1.0
TSU,1.0,MEDIUM,0 days 01:04:32.078000,2.0
TSU,1.0,MEDIUM,0 days 01:06:17.511000,3.0
TSU,1.0,MEDIUM,0 days 01:08:02.109000,4.0
TSU,1.0,MEDIUM,0 days 01:09:46.868000,5.0
TSU,1.0,MEDIUM,0 days 01:11:31.768000,6.0
TSU,1.0,MEDIUM,0 days 01:13:16.413000,7.0
TSU,1.0,MEDIUM,0 days 01:15:00.976000,8.0
TSU,1.0,MEDIUM,0 days 01:16:46.621000,9.0
TSU,1.0,MEDIUM,0 days 01:18:31.839000,10.0
TSU,2.0,MEDIUM,0 days 01:20:16.008000,1.0
TSU,2.0,MEDIUM,0 days 01:22:19.032000,2.0
TSU,2.0,MEDIUM,0 days 01:24:02.182000,3.0
TSU,2.0,MEDIUM,0 days 01:25:45.842000,4.0
TSU,2.0,MEDIUM,0 days 01:27:29.102000,5.0
TSU,2.0,MEDIUM,0 days 01:29:13.504000,6.0
TSU,2.0,MEDIUM,0 days 01:30:57.050000,7.0
TSU,2.0,MEDIUM,0 days 01:32:40.503000,8.0
TSU,2.0,MEDIUM,0 days 01:34:51.046000,9.0
TSU,2.0,MEDIUM,0 days 01:37:13.499000,10.0
TSU,2.0,MEDIUM,0 days 01:39:42.658000,11.0
TSU,2.0,MEDIUM,0 days 01:42:07.245000,12.0
TSU,2.0,MEDIUM,0 days 01:44:16.905000,13.0
TSU,2.0,MEDIUM,0 days 01:47:10.334000,14.0
TSU,2.0,MEDIUM,0 days 01:50:00.583000,15.0
TSU,2.0,MEDIUM,0 days 01:52:31.282000,16.0
TSU,2.0,MEDIUM,0 days 01:54:14.799000,17.0
TSU,2.0,MEDIUM,0 days 01:55:58.268000,18.0
TSU,2.0,MEDIUM,0 days 01:57:42.426000,19.0
TSU,2.0,MEDIUM,0 days 01:59:25.543000,20.0
TSU,2.0,MEDIUM,0 days 02:01:08.752000,21.0
TSU,2.0,MEDIUM,0 days 02:02:51.985000,22.0
TSU,2.0,MEDIUM,0 days 02:04:34.973000,23.0
TSU,3.0,HARD,0 days 02:06:17.770000,1.0
TSU,3.0,HARD,0 days 02:08:20.021000,2.0
TSU,3.0,HARD,0 days 02:10:02.344000,3.0
