Driver,LapNumber,PitInTime,PitOutTime,PitLaneTime,PitStopDurationSeconds
PER,1.0,0 days 01:04:13.705000,0 days 01:02:25.722000,-1 days +23:58:12.017000,-107.983
PER,2.0,0 days 01:06:25.251000,0 days 01:04:31.424000,-1 days +23:58:06.173000,-113.827
SAR,2.0,0 days 01:06:24.563000,0 days 01:04:30.611000,-1 days +23:58:06.048000,-113.952
SAR,55.0,0 days 02:54:43.754000,0 days 02:53:05.443000,-1 days +23:58:21.689000,-98.311
MAG,8.0,0 days 01:17:25.946000,0 days 01:14:40.995000,-1 days +23:57:15.049000,-164.951
DEV,55.0,0 days 02:54:46.645000,0 days 02:53:06.599000,-1 days +23:58:19.954000,-100.046
TSU,55.0,0 days 02:41:50.732000,0 days 02:39:53.186000,-1 days +23:58:02.454000,-117.546
ZHO,55.0,0 days 02:41:46.482000,0 days 02:39:52.030000,-1 days +23:58:05.548000,-114.452
SAI,8.0,0 days 01:17:07.009000,0 days 01:14:22.542000,-1 days +23:57:15.533000,-164.467
RUS,8.0,0 days 01:16:58.696000,0 days 01:14:19.276000,-1 days +23:57:20.580000,-159.42
BOT,1.0,0 days 01:04:14.643000,0 days 01:02:26.863000,-1 days +23:58:12.220000,-107.78
BOT,54.0,0 days 02:40:43.060000,0 days 02:38:21.937000,-1 days +23:57:38.877000,-141.123
BOT,55.0,0 days 02:54:39.426000,0 days 02:53:02.396000,-1 days +23:58:22.970000,-97.03
PIA,55.0,0 days 02:41:19.185000,0 days 02:39:25.077000,-1 days +23:58:05.892000,-114.108
