driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,25.0,Finished,,
HAM,Mercedes,3.0,2.0,18.0,Finished,,
ALO,Aston Martin,4.0,3.0,15.0,Finished,,
STR,Aston Martin,6.0,4.0,12.0,Finished,,
PER,Red Bull Racing,20.0,5.0,11.0,Finished,,
NOR,McLaren,13.0,6.0,8.0,Finished,,
HUL,Haas F1 Team,10.0,7.0,6.0,Finished,,
PIA,McLaren,16.0,8.0,4.0,Finished,,
ZHO,Alfa Romeo,17.0,9.0,2.0,Finished,,
TSU,AlphaTauri,12.0,10.0,1.0,Finished,,
BOT,Alfa Romeo,19.0,11.0,0.0,Finished,,
SAI,Ferrari,5.0,12.0,0.0,Finished,,
GAS,Alpine,9.0,13.0,0.0,Finished,,
OCO,Alpine,11.0,14.0,0.0,Finished,,
DEV,AlphaTauri,15.0,15.0,0.0,Finished,,
SAR,Williams,18.0,16.0,0.0,Finished,,
MAG,Haas F1 Team,14.0,17.0,0.0,Finished,,
RUS,Mercedes,2.0,18.0,0.0,Retired,,
ALB,Williams,8.0,19.0,0.0,Retired,,
LEC,Ferrari,7.0,20.0,0.0,Retired,,
