🏎️ AUSTRIAN GRAND PRIX 2023

🏆 Race Results:
1.0. VER (Red Bull Racing) - 26.0 pts - Status: Finished
2.0. LEC (Ferrari) - 18.0 pts - Status: Finished
3.0. PER (Red Bull Racing) - 15.0 pts - Status: Finished
4.0. NOR (McLaren) - 12.0 pts - Status: Finished
5.0. ALO (Aston Martin) - 10.0 pts - Status: Finished
6.0. SAI (Ferrari) - 8.0 pts - Status: Finished
7.0. RUS (Mercedes) - 6.0 pts - Status: Finished
8.0. HAM (Mercedes) - 4.0 pts - Status: Finished
9.0. STR (Aston Martin) - 2.0 pts - Status: Finished
10.0. GAS (Alpine) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:04.391000
2.0. LEC (Ferrari) - Q3: 0 days 00:01:04.439000
3.0. SAI (Ferrari) - Q3: 0 days 00:01:04.581000
4.0. NOR (McLaren) - Q3: 0 days 00:01:04.658000
5.0. HAM (Mercedes) - Q3: 0 days 00:01:04.819000

🛞 Pit Stops:
MAG pitted on Lap 1.0 - Duration: -77.718 sec
MAG pitted on Lap 2.0 - Duration: -108.842 sec
TSU pitted on Lap 2.0 - Duration: -92.795 sec

🛞 Tire Stints:
Driver Compound  Stint
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER     SOFT    5.0
   VER     SOFT    5.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    2.0
